No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
41,"A_buyer has subcontracted a critical component of their product and wants to ensure strict oversight over its development and manufacturing. To address this need, it has been suggested to carry out periodic performance reviews. During which project management process will the buyer conduct these reviews?",,Conduct Procurements,Control Procurements,Control Scope,Plan Procurement Management,B,"Performance reviews for contracts measure, compare, and analyze quality, resource, schedule and cost performance against the agreement. The Control Procurements process is contained in the Monitoring and Controlling Process Group. It is the process of managing procurement relationships, monitoring contract performance, making changes and corrections as needed and closing out contracts. Therefore, the buyer would administer the performance reviews of the seller as part of the Control Procurements process."
42,"A_project manager is leading an agile software development project to create a new inventory tracking system. During an iteration review meeting, the project manager notices that the data entry screen has extra features, which were not part of the initial design. What is the best course of action for the project manager to find the contact information of the developer who added the features?",,Check with the human resources department,Consult the team management plan,Review the project team directory,Check the team register,C,"The question indicates that a project team member has developed features which should not have been included in the product. This practice is sometimes referred to as gold plating, which should not be permitted and needs to be addressed by the project manager. At this point, the project manager needs a list of project team members along with their project roles and communication information in order to determine who developed the extra features and then be able to contact the responsible project team member to address the issue. The project team directory is a documented list of project team members, their project roles, and communication information. Therefore, of the available choices, reviewing the project team directory is the best answer to the question asked. Note, the project team directory is not the same as the project team assignments. The project team directory is a document that lists the project team members, their roles on the project, and contact information (e.g., email address, location, etc.). Project team assignments is a wider document that may contain the project team directory and additional information such as the specific responsibilities of and activities assigned to each team member, as well as their knowledge, skills, and abilities. While the scenario mentions an agile project, the project team directory can be used on any project regardless of the project management approach taken."
43,There have been quality problems with one of the deliverables on your project. A_project team member has informed you they have discovered a workaround that will bring the product back into acceptable limits. The possibility of quality issues with this product was not identified as a risk. Both the workaround and the rework requires an increase in costs. Which of the following is correct when funding this unforeseen workaround and rework?,,The use of the contingency reserves and submission of a change request to adjust the cost baseline,The use of the contingency reserves without adjusting the cost baseline,The use of the management reserves and submission of a change request to adjust the cost baseline,The use of the management reserve without adjusting the cost baseline,C,"The quality issues encountered on the project were unforeseen. Management reserves are an amount of the project budget withheld for management control purposes and are reserved for 'unknown unknowns' that can affect a project. When an amount of management reserves is used to fund unforeseen work, the amount of management reserve used is added to the cost baseline, thus requiring an approved change request to update the cost baseline."
44,"A_project manager is planning a project, which will take several years to complete. The project manager is concerned that anticipated technology changes will impact the project before it is completed. The project manager can plan near-term activities in detail but activities further in the future can only be planned at a higher level. What tool or technique should the project manager use in this scenario?",,Schedule compression techniques,Rolling wave planning,Multicriteria decision analysis,Resource leveling techniques,B,"Define Activities is the project management process being described in this scenario. The PMBOK® Guide identifies the tools and techniques associated with this process as expert judgment, decomposition, rolling wave planning, and meetings. Rolling wave planning is an iterative planning technique where near-term activities are planned in detail, while work further in the future is planned at a higher level. Therefore, the project manager should use rolling wave planning in this scenario."
45,You have just finalized the project management plan. It must now be reviewed and approved by the relevant stakeholders. What is the best way to present the project management plan to have it reviewed and approved?,,Send an email with an electronic copy of the project management plan to the relevant stakeholders,Conduct a meeting with the relevant stakeholders,Review the project management plan with the project team during the next team meeting,"The project manager approves the project management plan, so no further action is needed",B,"The Project Management Professional (PMP)® Examination Content Outline contains a list of tasks for each domain, with which PMP aspirants are expected to be familiar. Task #11 of the planning domain states, ""Present the project management plan to the relevant stakeholders according to applicable policies and procedures in order to obtain approval to proceed with project execution."" Therefore, of the available options, conducting a meeting with the relevant stakeholders is the best way to present the project management plan and have it reviewed and approved."
46,"You are leading a project to develop a video game based on an upcoming movie. The sales director asks you if the demo version of the game will be ready by the date of the movie premiere screening. You know the movie premiere was scheduled a few months before the release of the full version of the game, but you don't remember the exact date. What is your best course of action to find this information?",,Ask the project sponsor for the information,Review the project work breakdown structure (WBS),Consult the resource requirements document,Check the milestone list for the release date of the movie,D,"The milestone list shows the scheduled dates for specific milestones related to the project. Since the game described by the question is tied to the movie, it is reasonable to assume that key dates like the screening of the movie premiere as well as the release of the demo and full versions of the game will be captured in the milestone list. You should check the milestone list as it is the best place to find important dates associated with the project."
47,Your company policy states that all projects must incorporate the use of a change control board (CCB). Where do you document the level of authority given to the CCB for your project?,,It should be captured in the change management plan,Document it in the configuration management plan,No need to document this information as it is already included in the company policies,Consult with the project management office (PMO),A,"The change management plan is a component of the project management plan that establishes the change control board (CCB), documents the extent of its authority, describes how changes will be managed and controlled, and defines the process the CCB will use to review and decide on changes. Therefore, to address the question of where to document the level of authority given to the CCB, you should capture the information in the change management plan."
48,"You and your team are in the process of determining, documenting, and managing stakeholder needs and requirements to meet project objectives. As part of this process, you would use all of the following tools or techniques except for:",,Document analysis,Alternatives analysis,Nominal group technique,Multicriteria decision analysis,B,"Determining, documenting, and managing stakeholder needs and requirements to meet project objectives is the definition of the Collect Requirement process. The process provides the basis for defining the project scope. All of the answers, except alternatives analysis, are tools and techniques used when collecting requirements. Alternatives analysis is an example of the data analysis technique that can be used during the Define Scope process to select the final project requirements that will best meet the objectives identified in the project charter. Alternatives analysis is not a technique used in the Collect Requirements process and is, therefore, the best answer to the question asked."
49,"The final product has been accepted by the customer. Using the customer acceptance documentation from the Validate Scope process, the project manager ensures all the project requirements have been met and begins work on documenting the formal transfer of the completed product to the operations group and completion of the project. This information will become part of which of the following?",,Enterprise environmental factors,Organizational process assets,Quality reports,Project register,B,"Upon completion of a project, the project manager ensures all project requirements are completed and then begins finalizing the closure of the project. Formal documentation that indicates completion of the project and transfer of the product to others, such as the operations department, is part of project closure documents. Organizational process assets include project closure documentation."
50,A_project to renovate a city park affects the residents of the neighboring condominium complex. A website is being used to keep the residents informed of the progress of the renovation. Which communication method is being used in this scenario to share information with the residents?,,Push communication,Pull communication,Interactive communication,A communication model,B,"Several communication methods can be used to share information among project stakeholders. The methods are broadly classified as interactive, pull, and push communication. The number and type of stakeholders determine the best approach to use to communicate project information. Pull communication is typically used for large audiences and requires the recipients to access the content at their discretion. In the scenario, a website is used to provide information to a large group of residents who may be interested in the project's progress. A website is an example of a pull communication method. Therefore, of the choices provided, pull communication is the method used in this scenario."
51,A_project manager closes out the contracts for a project. A review of vendor performance suggests that it would have been beneficial to understand vendor capabilities better before conducting contract negotiations. What should the project manager do first?,,Capture the information in the lessons learned register,Update the project management plan,Recommend that the same vendor is never used again,Begin the Close Project or Phase process,A,The scenario implies the project manager is performing the Control Procurements process. The lessons learned register could be updated as an output of this process. Capturing lessons learned to enable continuous improvement should happen on every project so that the knowledge gained is converted into actions. Taking proactive steps can help project managers avoid past mistakes on future projects. Updating the lessons learned register to include more time and resources for the vetting of suppliers will serve as a reminder for future projects. This action represents a proactive measure that ensures the lessons learned are incorporated into future projects.
52,"At a meeting with key stakeholders, the project manager aims to gain approval for the form factor of a new product. The vice president (VP) of engineering loves the new form factor but states that the aesthetic of products falls under the purview of the VP of marketing. The VP of marketing was not invited to the meeting since the project manager did not know that the VP of marketing holds this decision-making power. What factor did the project manager most likely miss when planning the meeting?",,Organizational process assets,Cultural awareness,Political awareness,Conflict management,C,The project manager is involved in the project management process of Manage Stakeholder Engagement. One of the tools and techniques used in this process is interpersonal and team skills with one factor being political awareness. Political awareness is the understanding of power relationships within and around the project. The project manager’s unawareness that the vice president of marketing is a key decision maker indicates that the factor of political awareness was overlooked.
53,"On a project that you are managing, you have solicited bids from professional design firms and selected the vendor that met all of the source selection criteria. However, during the project, you faced some significant challenges with the selected vendor. The project is now in closure, and you want to document and communicate overall project performance. What should you do?",,Prepare the final report and share it with the stakeholders,Document lessons learned in the lessons learned repository,Evaluate the satisfaction of the project stakeholders,"Collect, index, and file procurement documentation",A,"According to the scenario, the project is in the Close Project or Phase process. The final report is an output from this process and can include information such as scope objectives, quality objectives, cost objectives, schedule objectives, and the degree to which these goals were met. In other words, the final report provides a summary of the overall project performance. Therefore, preparing the final report and sharing it with the stakeholders best addresses the question asked that calls you to document and communicate overall project performance. Note, much of the information in the scenario is concerned with the selection of a professional design firm and the fact there were challenges with the selected vendor. This information might have led you to choose the answer ""Collect, index, and file procurement documentation."" Such extraneous details may lead you astray unless you carefully read the question to determine what is actually being asked."
54,"As a project manager, you are in the initiation stage of a new project. You are currently preparing for a meeting to conduct a benefit analysis with relevant stakeholders to validate project alignment with organizational goals and expected business value. What should the project manager do to prepare for the meeting?",,Review the project management plan,Examine the project business documents,Read the stakeholder engagement plan,Study the project alignment plan,B,"The project business documents include the business case and benefits management plan which are created as part of pre-project work. The business case is a documented economic feasibility study used to establish the validity of the benefits of a selected component lacking sufficient definition, and that is used as a basis for the authorization of further project management activities. The benefits management plan is the documented explanation defining the processes for creating, maximizing, and sustaining the benefits provided by a project. These documents will contain the relevant information which can be used in preparation for the meeting described by the question. Additionally, with the project in the initiation stage, items described in the other answer choices are not yet available to be used as a source of information. Note that the project charter and stakeholder register are created during project initiation. The question does not state whether or not these documents have already been produced, but they would also provide relevant information for the meeting if they are available. However, the project charter and stakeholder register were not listed as answer choices."
55,"A_project manager is seeking a vendor. In an effort to streamline the seller selection process, the project manager checks the company's organizational process assets for a document that will provide the names of vendors that have already been properly vetted. What document is the project manager searching for in this situation?",,Vendor register,Preapproved seller lists,Lessons learned register,Stakeholder register,B,The question suggests that the project team is performing the Plan Procurement Management process. Organizational process assets including preapproved seller lists are an input to the Plan Procurement Management process. A_preapproved seller list is a project document containing the names of sellers that have been properly vetted. The advantage of using a preapproved seller list is that it can streamline the steps needed to advertise the opportunity and shorten the duration of the seller selection process. The preapproved seller list is the document that the project manager needs to refer to in this case.
56,"Due to a large number of team members working remotely and the time differences between them, you are having difficulty coordinating meetings with team members. This situation negatively impacts team cohesion. Which of the following tools would be the most beneficial for you to use?",,Interpersonal skills,Conflict management,Communication technology,Team performance assessments,C,"The Develop Team process has the following tools and techniques: • Colocation • Virtual teams • Communication technology • Interpersonal and team skills • Recognition and rewards • Training • Individual and team assessments • Meetings In this scenario, the project is having communication and coordination challenges resulting from being a virtual team. Communication technology is the best answer choice because it can provide virtual team members with shared repositories for information sharing and more interactive forms of communication, such as video and audio conferencing, to enhance understanding and coordination. The other answer choices are also tools used to develop project teams, but they focus on issues that are not as relevant to the problem here, such as enhancing interpersonal relations among team members, resolving conflict, or evaluating team performance. Therefore, communication technology is the best answer choice."
57,"As a project is about to close, you arrange a meeting with one of the vendors who delivered low-quality parts. You express your dissatisfaction with the vendor’s performance and try to find a solution to the issue. However, the meeting does not result in a positive outcome. What is the best thing for you to do now?",,Pay the vendor to avoid a conflict,Appoint a lawyer and go to court,Ignore the vendor until they agree to your demands,Seek alternative dispute resolution,D,"The scenario mixes up two processes: the Close Project or Phase process and the Control Procurements process. As part of the Close Project or Phase process, you need to finalize all open claims, while an output from the Control Procurements process is closed procurements. However, procurements cannot be closed until all open claims are finalized which is an activity of the Close Project or Phase process. In this scenario, there is a dispute in the claim, and direct negotiations between your company and the vendor have been unsuccessful. Whenever a settlement cannot be achieved through negotiation, some form of alternative dispute resolution (ADR) including mediation or arbitration should be explored. Claims administration, such as ADR, can be used as a tool or technique during the Control Procurements process. Of the choices provided, seeking alternative dispute resolution is the best thing for you to do in this situation and is, therefore, the best answer to the question asked."
58,"The following Gantt chart displays the current schedule status for a construction project. At this point in the project, the first two activities, Select Site and Negotiate Lease, should have been completed along with 50% of the work associated with the third activity, Perform Civil Works. However, only the first two activities have been completed, and no work has been done on the third activity. The method used to determine the earned value is based on percent complete. What is the project's current SPI and what does this mean for the project?",images\test_2\q_58.png,The project is currently behind schedule with an SPI of 0.5,The project is currently behind schedule with an SPI of 2.0,The project is on schedule with an SPI of 1.0 due to the fast-tracking of activities,"The project is currently behind schedule with an SPI of -$10,000",A,"The schedule performance index (SPI) is equal to the earned value (EV) divided by planned value (PV). The current EV is the sum of the earned values for every activity that either has been completed or is in progress. As only the first two activities have been completed, the project's current earned value is $10,000. However, according to the plan, the third activity should also have been 50% complete. Note, since the scenario mentions that the method used to determine the earned value is based on percent complete, the earned value of a partially completed work package is calculated by multiplying the planned value of the work package by its the percent complete. Therefore, the total current planned value is ($5000 * 100%) + ($5000 * 100%) + ($20,000 * 50%) = $20,000. Therefore, the SPI = EV / PV = $10,000 / $20,000 = 0.5. Since the SPI of 0.5 is less than 1.0, the project is currently behind schedule. Note that the information regarding the fast-tracking of activities later in the project is not relevant in calculating the current SPI. Therefore, an SPI of 0.5 with the project currently behind schedule is the best answer to the question asked."
59,"Project team members develop a document that describes values that are important to the team's success such as sharing best practices, listening to each other with an open mind, and communicating respectfully during meetings. What would be the result of the team's effort?",,Team management plan,Team charter,Resource management plan,Resource requirements,B,"The question asks about a document that defines the team's values and guidelines. This document is the team charter. The team charter establishes clear expectations regarding acceptable behavior by project team members and is an output of the Plan Resource Management process. Did you notice that the team charter is developed during project planning, but the scenario describes the presence of a team, suggesting the Acquire Resources process, an executing process, has already occurred? This situation illustrates the iterative nature of project management. Ideally, you want the team to create the team charter or at least have the team's input during the charter development. However, it is not always possible. To overcome this, the iterative nature of the project management allows the Plan Resource Management process, or any other process for that matter, to be performed several times during the project life cycle. New documents may be developed, or existing documents may be updated as the project progresses and more information becomes available."
60,"Your project is behind schedule. To get the project back on track, you implemented the previously planned risk response of crashing the schedule. With the project back on schedule, you and your team perform a variance analysis to compare the planned risk response to the actual impact on the schedule and cost. What have you and your team produced as the result of this analysis?",,Work performance information,Risk register,Risk management plan,Risk abatement report,A,"Based on the information provided in the question, the project team is carrying out the Monitor Risks process. One output of the Monitor Risks process is work performance information. Work performance information includes information on how project risk management is performing by comparing the individual risks that have occurred with the expectation of how they would occur. This information indicates the effectiveness of the response planning and response implementation process. The project team has created work performance information by applying variance analysis which is the review of the differences between the actual work performance data and the planned metrics."
61,"A_project manager has developed the following earned value analysis chart for a software development project. Based on the current trend, what action should the project manager take immediately?",images\test_2\q_61.png,Submit a change request to increase funding for the project,Look for options to reduce costs and improve schedule performance to meet project objectives,No immediate action is required in this case,Crash the schedule to bring it back into alignment with project objectives,C,"The earned value analysis chart indicates that the earned value (EV) is currently exceeding the actual costs (AC) and planned value (PV). Thus, the project is currently ahead of schedule and under budget. If the current trend is expected to continue, and there is no information presented to suggest that it will not, then the project should meet the project objectives without any corrective or preventive action. Therefore, no immediate action is necessary based on the information presented in this scenario. It should be noted that any variance should be analyzed and understood. In this case, the project manager should gain an understanding of what caused the project cost and schedule plans to be so far off from actual performance. It is possible that the cost and schedule estimates were padded, which is against project management best practices. Regardless, analyzing and understanding the variances was not listed as an answer choice."
62,"You are managing a medical research project, which requires the collection and freezing of blood samples. The stability of the blood samples depends on the freezer maintaining a constant temperature. You have decided to split the samples and place them in two separate freezers in case one of the freezers fails. You have also plugged both freezers into power outlets that will be supported by an emergency generator in case of a power outage. Which risk response strategy have you applied?",,Mitigate,Transfer,Escalate,Accept,A,"Several strategies can be used in the Plan Risk Responses process as tools and techniques to deal with threats in projects. The five strategies that may be used are: escalate, avoid, transfer, mitigate, and accept. In this scenario, you have taken two different actions to deal with the risk of losing blood samples due to instability. The freezers have been plugged into emergency power receptacles that will keep them running in case of a power outage. Doing this will reduce the impact of a potential power outage. The samples are being split and placed into different freezers. This action reduces the probability of the blood samples being impacted by the failure of one of the freezers. Both of these actions are examples of risk mitigation."
63,"A_project manager reviews surveys from participants of a recent project meeting. Based on the feedback provided, it is evident that attendees in the back of the meeting room had difficulty hearing the speakers and seeing the slide presentation. Some have suggested having the presenters use microphones as well as distributing hard copies of the presentation before the meeting, so all of the attendees can better follow along. What should the project manager do next?",,Update the lessons learned repository,Revise the stakeholder register,Reduce the number of participants invited to future meetings,Capture the information in the issue log,D,"The feedback from the participants that describes problems encountered during the meeting can be described as issues and, therefore, should be captured in the issue log. The issue log will help the project manager effectively track and manage the issue, ensuring it is investigated and resolved. Actions that might be taken to address the issue described in the scenario include sharing the meeting minutes and slide presentation with the participants, so they can review any information that may have been missed. Alternatively, the project manager might follow up individually or as a group with those that expressed difficulty during the meeting to ensure their understanding and address any questions or concerns. Whatever action is taken to resolve the issue, the final solution should also be captured in the issue log. It is important to note that the situation and its resolution should also be captured in the lessons learned register. This step will enable corrective action to be taken for future meetings including, for example, the use of microphones and distribution of hard copies of the presentation before the start of the meeting. However, updating the lessons learned register was not listed as an option. Therefore, of the available choices, updating the issue log is the best answer to the question asked."
64,A_project to build a new amusement park has incurred price hikes in fuel and materials which have eroded the profitability of the venture. What is the best course of action for the project manager to ensure these issues do not recur in the future?,,Purchase the materials in advance to lock in the price and submit a change request to update the,Set up contracts with suppliers that specifies the cost in advance and capture the information in the,Use the commodities markets to offset the price fluctuations and update the issue log,Accept the price fluctuations as a cost of doing business,B,"All of the answer choices except accepting the risk represent actions that may address the issue of price fluctuations for the current project. Regardless of the action that is taken to reduce or eliminate the risk of cost increases, the knowledge gained should be captured in the lessons learned register. This information can then be used for the remainder of the current project. At the end of the project, the information contained in the lessons learned register is transferred to the lessons learned repository for use on future projects. Of the available options, capturing the knowledge gained in the lessons learned registry is the best way to avoid similar problems from occurring in the future for the current or subsequent projects. Note, the question does not specify whether the project manager wants to make sure the issues described in the scenario do not recur for the remainder of the current project, or for the remainder of the current project ‘and’ future projects. The question just says, “do not recur in the future.” Therefore, while selecting the correct answer, one should consider both the current and the subsequent projects."
65,A_project has been initiated and is being planned. The project sponsor is anxious for the project to move into execution and suggests that the project manager not spend any more time on the development of the communications management plan. How should the project manager respond to the sponsor to support the completion of the communications management plan?,,The communications management plan is a required part of the project management plan.,The communications management plan is required by The Standard for Project Management.,The communications management plan assists with stakeholder engagement.,The communications management plan will improve quality.,C,"The communications management plan describes how project communications will be handled. However, the key benefit of the communications management plan is a documented approach to effectively and efficiently engage stakeholders by presenting relevant information promptly. Since the strategies to effectively engage stakeholders are often fulfilled through communications, the best response the project manager can provide to the sponsor is that the communications management plan assists with stakeholder engagement."
66,A_project team is developing the quality management plan for a high-profile project. The project management office (PMO) wants to ensure that all project management best practices are followed. When should quality planning take place in relation to other planning processes?,,After the Plan Cost Management process,In parallel with the other planning processes,After the Determine Budget process,After the Develop Schedule process,B,"The question states that the quality management plan is being developed. With some exceptions, there are no strict guidelines on when chronologically each planning process should take place. However, since quality planning will influence other aspects of project planning, quality planning should typically be performed in parallel with the other planning processes. For example, changes proposed in the deliverables in order to meet identified quality standards may require cost or schedule adjustments and a detailed risk analysis of the impact to plans."
67,"You and your project team hold a meet-and-greet with the key stakeholders from a distant country to help build rapport. Feedback after the meeting indicates that your project team felt the stakeholders were distant and aloof as they kept stepping back when engaged in conversation. Whereas, some of the stakeholders thought you and the project team were too pushy and did not respect their personal space. What could have helped you to avoid these perceptions?",,Better cultural awareness,Improved political awareness,Conducting the meeting virtually,Applying conflict management skills,A,"Cultural awareness is an understanding of the differences between individuals, groups, and organizations and adapting the project's communications strategy in the context of these differences. This awareness and any consequent actions minimize misunderstandings and miscommunication that may result from cultural differences within the project’s stakeholder community. The scenario implies that each group, project team and key stakeholders, possessed different norms regarding personal space. For example, some cultures communicate closer in proximity to one another, while other cultures value greater personal space. Better cultural awareness most likely would have helped you understand those differences and enabled you and your project team to allow the key stakeholders to have more personal space eventually reducing or avoiding the misperceptions."
68,"You are managing a project that is nearing its end and planning to settle all pending claims with the vendors. In one case, you are not satisfied with the delivery of their final product. All conversations with the vendor have ended in an impasse. What should you do in this situation?",,Pay the vendor as some products were delivered,Take the vendor to court,Discontinue further meetings with the vendor and hold back payment,Identify some form of alternative dispute resolution,D,"Contested charges where the buyer and seller cannot reach an agreement are called claims. The contract usually has terms to handle claims administration. If the parties cannot resolve the claim, it should be handled by alternative dispute resolution (ADR), typically following procedures established in the contract. There are two types of ADR, arbitration and mediation. Direct negotiation between the parties is the preferred method. Litigation in the courts is the last option that a project manager should choose. Based on the scenario described, the project manager has negotiated directly with the seller. However, all conversations have ended in an impasse. In this situation, the next step for the project manager to take is to identify some form of alternative dispute resolution."
69,You have been hired by a start-up company that is about to undertake its first software development project. You are in the process to determine what resources will be required to carry out the project work. What tools or techniques would be most useful for you to complete this process?,,Resource leveling,Resource histogram,Analogous estimating,Bottom-up estimating,D,"The question implies that the Estimate Activity Resources process is being carried out. Bottom-up estimating is one of the tools and techniques that may be used during this process. Bottom-up estimating is a technique in which team and physical resources are estimated at the activity level and then aggregated to develop the estimates for work packages, control accounts, and summary project levels. Of the available options, bottom-up estimating is the best tool or technique to use in the situation described by the question."
70,"A_project manager is executing the quality management plan of a project to develop a prototype medical device. Given the nature of the project, the quality standards are very stringent. With no known cause, it becomes apparent that the product quality does not meet project requirements. What is the best course of action for the project manager to take in this situation?",,Direct the project team to improve the quality of their work,Ask the project sponsor what to do,Create an affinity diagram,Develop an Ishikawa diagram,D,"Manage Quality is the process of translating the quality management plan into executable quality activities that incorporate the organization's quality policies into the project. The question states, ""A_project manager is executing the quality management plan of a project..."" This implies that the Manage Quality process is being performed. Data representation techniques including the cause-and- effect diagram can be useful during this process. Cause-and-effect diagrams are also known as fishbone diagrams, why-why diagrams, or Ishikawa diagrams. This type of diagram breaks down the causes of the problem statement identified into discrete branches, helping to identify the main or root cause of the problem. Of the available choices, the cause-and-effect or Ishikawa diagram is the most useful in determining the main cause of a quality issue, making the development of an Ishikawa diagram the best answer to the question asked."
71,A_project manager is in the process of identifying quality requirements and reviews the lessons learned from a similar past project. The other project ran significantly over budget due to the high cost of nonconformance resulting from inadequate spending on the cost of conformance. The project manager does not want his project to suffer the same fate as the failed project. Which data analysis technique should the project manager use in this situation?,,Cost of quality,Benchmarking,Testing and inspection planning,Risk register,A,The question implies that the Plan Quality Management process is underway and the cost of quality (COQ) is a data analysis technique that may be used in this process. The optimal COQ reflects the appropriate balance for investing in the cost of prevention and appraisal (cost of conformance) to avoid failure costs (cost of nonconformance). The project manager should use the COQ data analysis technique in the scenario described by the question.
72,"On a project, work performance data is being regularly collected and shared with the project team. Which of the following processes will use this data?",,Develop Project Charter,Plan Quality Management,Monitor Stakeholder Engagement,Analyze Performance Data,C,"As implied by the scenario, the project is performing one of the processes of the Executing Process Group where work performance data is collected. The work performance data is an input to various processes in the Monitoring and Controlling Process Group, such as Monitor Stakeholder Engagement, where the work performance data is analyzed in context and integrated to become work performance information. Which stakeholders are supportive of the project, and their level and type of engagement are examples of work performance data that can be used during the Monitor Stakeholder Engagement process. The question is asking which process will use the project data collected during execution, or, stated another way, which process has work performance data as an input. Monitor Stakeholder Engagement is the only answer choice that is in the Monitoring and Controlling Process Group and is one of the processes that have work performance data as an input. Therefore, of the choices provided, Monitor Stakeholder Engagement is the best answer to the question asked."
73,"To comply with the customer's contract, the project must use a certified agile practitioner to lead and coach the project team. However, the only certified agile practitioner employed by the company was just assigned to another project. The project manager must now hire an independent contractor to serve as the agile coach, which delays the start of project execution. Which of the following may have helped to avoid the delay in executing the project?",,Using different verbiage in the resource management plan to remove the requirement for an agile,Documenting the potential unavailability of the agile coach in the project assumption log,Securing the internal agile certified practitioner with a pre-assignment when this requirement was first,Assigning a different team member from the company to serve as the agile coach,C,"The question suggests that the project manager is performing the Acquire Resources process. Pre- assignment is one of the tools and techniques that may be used in this process. When physical or team resources for a project are determined in advance, they are considered pre-assigned. This situation can occur if the project is the result of specific resources being identified as part of a competitive proposal or if the project is dependent upon the expertise of a particular person. Had the qualified agile coach employed by the company been pre-assigned, the resource may have been available for the other project and the situation described by the question may have been avoided."
74,"A_vendor notifies you that they will be unable to fulfill the terms of the contract after their manufacturing plant was severely damaged by a tornado. After reviewing the contract, you inform the vendor that they will have to fulfill the agreement or face litigation. What clause was most likely missing from the contract?",,Force majeure clause,Escape clause,Arbitration clause,Gold clause,A,"Force majeure is a common clause in contracts, which essentially frees both parties from liability or obligation when an extraordinary event or circumstance beyond the control of the parties, such as a war, strike, riot, crime, or an event described by the legal term 'act of God' (e.g., flooding, earthquake, volcanic eruption) prevents one or both parties from fulfilling their obligations under the contract. While the topic of this question is not included in the PMBOK® Guide, the Project Management Professional (PMP)® Examination Content Outline, June 2015, covers knowledge and skills, such as contract management techniques, with which prospective PMP aspirants are expected to be familiar. The force majeure clause is one of these topics and may appear on the exam."
75,"As part of the routine activities to monitor and control the performance of your project, you determine that the project SPI is 0.8. In order to get the schedule back into alignment with the plan, you authorize the overtime pay for the project team. Which of the following best describes the tool or technique you used to align the schedule?",,Scheduling tool,Schedule compression,Leads and lags,Fast tracking,B,One of the tools and techniques associated with the Control Schedule process is schedule compression. One type of schedule compression technique is crashing. Crashing involves adding resources to an activity on the critical path to shorten the duration. The payment of overtime as described in the question is an example of crashing. The schedule compression technique of crashing is being used in this scenario to bring the schedule back into alignment with the plan.
76,"Senior management is considering a project to replace the company's inventory tracking system, and the pre-project work is underway. At this point, the project needs assessment has just been completed. What should be done next?",,Selecting a new inventory tracking system,Acquiring project team members,Carrying out the project kick-off meeting,Identifying key project deliverables,D,"The Project Management Professional (PMP)® Examination Content Outline is a document that contains a list of tasks for each project domain tested on the PMP exam. To successfully pass the exam, the prospective PMP aspirants should be familiar with this document. The question indicates that task #1 of the initiating domain has just been completed, which includes the project needs assessment. Task #2 is to identify key deliverables based on the business requirements. While the Examination Content Outline does not specify the order of the tasks, of the choices provided, only the identification of key project deliverables is an activity performed during project initiation, which is the stage of the project described by the scenario. The other answer choices represent activities, which take place later in the project life cycle."
