No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
43,"At the end of a design project, a competitor has gained market share with a new technology that has rendered the project’s deliverable obsolete. The project sponsor is pleased with the work of the project team who finished within budget and on time but thinks that the project should have been terminated much sooner. What might have the manager of the project done differently in this situation?",,Used phases and phase gates,Established a change control board (CCB) to review and render decisions for all submitted,Terminated the project when the new technology was introduced,Scheduled more frequent lessons learned meetings with the project team,A,"During project integration, a project manager needs to consider how to tailor the way that Project Integration Management processes are applied. Among these considerations is the project life cycle including the appropriate use of phases and phase gates. A phase gate is a review at the end of a phase in which a decision is made to continue to the next phase, to continue with modification, or to end a project. During a phase gate, the business case should be examined to determine if it is still valid or needs to be modified. In some cases, for example, changes in the competitive landscape may lead to a decision to terminate the project as the business case has been invalidated. In this scenario, the business case is no longer valid due to new technology, which was introduced in the marketplace and rendered the current product in development obsolete. Of the available options, only using a phased approach with phase gates introduces a periodic structured review of the viability of the project, making this the best answer to the question asked."
44,"Your current project is coming to a close. You are highly satisfied with the performance of the vendors and consider to create a database of pre-qualified vendors for use in future similar projects. You have delivered the product and received formal acceptance from your customer. You are also finalizing the contractual agreements with your vendors. In addition to these activities, what else might you do as part of this process?",,Thank all vendors for the work performed and add incentives to the payment,Update the procurement documents with vendor details and their performance,Capture the vendor details and their performance in the project management plan,Issue a final report and transfer its contents to the project charter,B,"Based on the scenario described, you are closing procurements, an activity which is performed as part of the Control Procurements process. All procurement documentation is collected, indexed, and filed when a contract is closed. The question implies the company has plans for creating a vendor database with pre-qualified vendors. Details of these vendors such as contract, schedules, scope, quality, cost performance, payment details, and inspection details are included in the procurement documents. All this information can be used for evaluating vendors for future contracts and for building a database as suggested by the scenario."
45,"As a project manager for a small company, you have been responsible for negotiating and issuing contracts. Although your company has pre-qualified vendors, and the agreements are standard, you think the procurements should be handled by someone with more knowledge on the subject rather than the project managers. Which of the following will you recommend?",,Decentralized purchasing,Centralized purchasing,Pre-qualified vendors,Supply chain management,B,"For smaller organizations or startup companies and those without a purchasing, contracting, or procurement department, the project manager may assume the purchasing authority role to negotiate and sign contracts directly. This is called decentralized purchasing and is the situation described in the scenario. More mature organizations have a separate department responsible for the actual procurement and contracting functions which is referred to as centralized purchasing. Even though the organization described in the scenario is small, implying procurements can be managed by project managers, you feel there is a lack of relevant knowledge in procurement among the project managers. Therefore, under the circumstances provided in the question, it is reasonable for you to recommend that the organization switch to a centralized purchasing environment."
46,"One of the key deliverables on a project has been found to contain a defect, and it does not meet the project requirements. To scrap the deliverable and replace it would cost $12,000 and take five days to complete. To repair the defect would cost $4,000 and take two days to complete. What should the project manager do first?",,Submit a change request,Repair the defective deliverable as it will have the least impact on the budget and schedule,Consult with the project sponsor,Scrap and replace the defective deliverable as it will increase customer satisfaction,A,"In this scenario, a key deliverable does not meet project requirements. Whether the deliverable is replaced or repaired, a change request is required. In the scenario provided, only cost and schedule constraints have been analyzed so far. Additional project aspects, such as risk, quality, customer satisfaction, etc. should be considered to render a decision. Therefore, in this situation, of the choices provided, a change request should be submitted first to conduct further analysis and assess the impacts of the change on all project constraints."
47,"The project you are leading is in planning, and you know that some of the stakeholders are unsupportive. What is your best course of action to increase the support of these stakeholders?",,Perform a communication styles assessment,Remove the unsupportive stakeholders from the project,Escalate the issue to the project sponsor,Update the stakeholder engagement assessment matrix,A,"According to the scenario, the project is in planning. A communication styles assessment is one of the tools and techniques that can be employed as part of the Plan Communications Management process. Often used with unsupportive stakeholders, a communication styles assessment may follow a stakeholder's engagement assessment to identify gaps in stakeholder engagement. As a result, communications can be tailored to the stakeholders' preferences. The adjustment in communications can lead to more positive interactions, build trust, increase support, minimize resistance and thereby influence the stakeholders in a positive way. For those reasons, performing a communication styles assessment is the best answer among the choices given."
48,"A_project manager presents a project status update in a steering committee weekly meeting. A senior executive who attends the meeting for the first time, asks various questions about all aspects of the project and insists on extensive changes. After the meeting, the sponsor informs the project manager that the senior executive joined the company just a few days ago. What should the project manager do first?",,"Ask the sponsor to increase management reserves to cover the cost of the changes requested
by the executive","Update the stakeholder register and power/interest grid to account for changes in the
stakeholder community","Instruct the project team to implement all the changes that have been requested by the senior
executive","Look for ways to limit the senior executive's involvement since she was not involved in the
initial planning",B,"Part of the Monitor Stakeholder Engagement process is updating project documents. At the steering committee meeting, when the project manager presented the project update to keep the stakeholders informed, engaged, and supportive, the project manager identified the senior executive as a new stakeholder. The senior executive appears to be an interested and influential stakeholder that has joined the company just a few days ago and obviously had not been part of the project earlier during the Identify Stakeholders process. Therefore, the first thing the project manager should do after the meeting is to add the senior executive to the stakeholder register and record her power and influence."
49,"The project manager arranges a series of planning meetings with the functional manager, project sponsor, and key project team members to determine the type and quantity of materials and hardware needed to complete the project. They also discuss the required skill levels of each team resource to be brought to the project and the level of effort needed to complete each activity in the work packages. Which of the following documents is the project team least likely to produce as a result of these planning meetings?",,Resource requirements,Project team assignments,Basis of estimates,Resource breakdown structure,B,"According to the scenario, the team is performing the Estimate Activity Resources process by holding planning meetings to determine resource needs for the project. Project team assignments, however, are a key output of the Acquire Resources process which is carried out later in the project life cycle, as part of project execution. Project team assignments is a project document that records the team members and their roles and responsibilities for the project. Recording this information can only be done after the team is acquired. Since the project is still in planning, and no information is provided in the scenario as to whether or not pre-assignment took place earlier in the project, it can be assumed that the project team assignments document cannot be created at this point, making it the least likely outcome of the planning meetings described in the scenario. All of the other answer choices are key outputs of the Estimate Activity Resources process and can, therefore, be eliminated. If you have selected an incorrect answer, this could be because you may have missed the word 'least' in the last sentence of the question. This could be a frustrating experience. However, it is important to understand that these types of questions may appear on the actual exam. Therefore, carefully reading the question text is an important part of practicing and preparing for the exam."
50,Which statement would you use to correctly explain the tools and techniques of the Manage Communications process to your project team?,,"Political awareness can be useful in helping the project manager maintain stakeholder support
throughout a project.","An organization's culture is not a factor that influences the organization's communication
technology.","Once a communication method is established with the membership of the stakeholder
community, it should not be changed.","Presentations should consider the needs and expectations of the audience rather than the needs
of the project team.",A,"The key benefit to properly managing project communication is that it enables an efficient and effective flow of information between the project team and stakeholders. This often requires effective use of interpersonal and team skills such as political awareness to understand the power structures and relationships and how to work within them. These skills can assist project managers in properly engaging stakeholders to maintain their support throughout the project. When managing communication, a project manager must take into account the flexibility and possible adjustments that may be required to accommodate the needs and maintain the support of the stakeholder community."
51,"During the closure of an internal process improvement project, the project manager confirms that one of the improved processes transitioned into operations resulted in a significant improvement in that unit’s efficiency. In which of the following would the project manager record this information?",,The benefits management plan,The project management plan,The final report,The business case,C,"According to the question, the project is in the Close Project or Phase process. The final report is an output of this process and provides the summary of the project performance, including information such as the summary level description of the project or phase, scope, cost, schedule, and quality objectives, and the summary of how the final product, service or result achieved the business needs identified in the business plan. Since news of this benefit/objective was received during project closure, it is recorded in the projects final report as a tangible benefit and an example of project success. The final report is reviewed with business documents created during initiation to aid in determining overall project success."
52,A_project manager is about to start the process of identifying quality requirements and standards for an infrastructure project. The project manager examines the project charter to gain a high- level understanding of project objectives and reviews relevant information from the available components of the project management plan. What else should the project manager do to gather inputs to the process?,,Review the requirements documentation to gain an understanding of the project and product,Conduct a brainstorming session with the project team and subject matter experts to develop,Perform a cost-benefit analysis to determine if the planned quality activities are cost-effective,Update the lessons learned register with information on challenges encountered in the quality,A,"Plan Quality Management is the process of identifying quality requirements and standards for the project and its deliverables which is what is described in the scenario provided. The project charter and components of the project management plan are inputs to the Plan Quality Management process, which have already been reviewed as per the scenario. Project documents including the requirements documentation are also inputs to the Plan Quality Management process. Project management best practices include gathering all relevant information in the form of inputs before applying the tools and techniques to produce the outputs. Therefore, of the available options, to begin the Plan Quality Management process, reviewing the requirements documentation is the next logical step for the project manager to take. Note, requirements documentation is not a component of the project management plan. Rather, requirements documentation is considered a project document. Therefore, this part of the question text, ""The project manager has reviewed... relevant information from the available components of the project management plan."" refers only to the components of the project management plan, not the project documents, implying requirements documentation has not yet been reviewed."
53,"You are the project manager for a project that is in its early stages. During a meeting, your boss informs you that senior management would like you to include a particular staff member on your project team because of their necessary expertise. You have not recruited any other team members, and the project has not even been formally authorized yet. How should you handle senior management's request?",,Deny the request because the project manager should be the one to acquire project resources.,"Accept the request, since identifying specific resources for the project can occur as part of the
early planning process.",Accept the request only after you have finished creating the project management plan.,"Deny the request since you have not had an opportunity to verify that the individual has the
proper skills.",B,"Pre-assignment is a formally defined tool of the Acquire Resources process. It involves identifying physical or team resources for a project in advance and is often used when a project is dependent upon the expertise of particular persons. In this scenario, senior management has requested a particular individual for the project team because of their necessary expertise. Therefore, the project manager should accept the request. Although denying the request until the project manager has had a chance to verify the skills of a pre-assigned resource may seem like the best answer of those provided, it is not. The project manager can make that assessment if necessary without denying the pre-assignment request and it shouldn't be assumed the project manager has the expertise to verify the resources expertise."
54,You are selecting the appropriate contract agreement for your project. The services to be provided will be well-defined. The schedule and price will be agreed up front. You expect that there will be no significant change in the work to be performed. The contract will include criteria that you and the seller agree on that will allow the seller additional earnings for completing the project work early. What type of contract should you select?,,Firm fixed price (FFP),Cost plus incentive fee (CPIF),Cost plus award fee (CPAF),Fixed price incentive fee (FPIF),D,"Contract types are split into two broad categories, fixed-price and cost-reimbursable. A third hybrid contract type, time and material, combines aspects of both fixed-price and cost- reimbursable. The elements described in this question point to the fixed price incentive fee (FPIF) contract as the most appropriate selection. This type of contract involves the buyer and the seller agreeing on a set price for the work to be performed at the outset of the contract and ties incentives to achieving agreed-upon performance metrics. Under this contract type, a price ceiling can be set, and the seller is responsible for costs that exceed the ceiling."
55,"Which of the following, once approved, does not require an approved change request to be modified?",,Policies or procedures in the project management plan,Contract terms,"Cost, scope, or schedule baselines",Project charter,D,"This question is tricky and counter-intuitive because the project charter once completed and signed typically does not change except under very unusual circumstances; for example, the change of a project sponsor or project manager mid-project, both of which are rare occurrences. In those instances, however, typically an addendum is added to the project charter rather than a change made to the charter. The addition reflects the change, and all project stakeholders should be informed. Before signature, the project charter can and will change, but these changes do not require change control procedures either as the charter is not final until it is signed. A change request is required to modify formally controlled project documents, typically the components of the project management plan. Table 4-1. Project Management Plan and Project Documents, specifies the list of the components of the project management plan as well as project documents. Unless stated otherwise in the scenario, the components of the project management plan require a change request to be modified, while an update to the project documents does not require a change request. Since the project charter is not a component of the project management plan, a change request is not required to modify the project charter."
56,"On October 3rd (represented by the red line on the Gantt chart below), the project sponsor asks you to provide a progress report including the CPI for a project status meeting the following morning. You update the project schedule management tool, which produces the following chart. The method used to determine the earned value is based on percent complete. What are the project's current CPI and status?",images\test_1\q_56.png,"The CPI is $650, and the project is running under planned costs.","The CPI is 0.83, and the project is running over budget.","The CPI is 1.21, and the project is running under planned costs.","The CPI is 1.0, and the project is on budget.",C,"The current cost performance index (CPI) can be calculated by dividing the current earned value (EV) by the current actual costs (AC). Because the question is asking for the current CPI, only the activities (tasks) that should have been completed by the end of October 3rd should be considered, which are the first three activities. Since the scenario mentions that the method used to determine the earned value is based on percent complete, the earned value of a partially completed work package is calculated by multiplying the planned value of the work package by its the percent complete. The EV is the sum of the planned work completed for each activity multiplied by the percentage of completion of the corresponding activity, which, in this case, is: • 100% for System Analysis • 75% for System Design • 50% for System Development EV = (100% * $500) + (75% * $1,000) + (50% * $5,000) = $500 + $750 + $2,500 = $3,750 The AC is the sum of the costs for the first three activities: • $600 for System Analysis • $500 for System Design • $2,000 for System Development AC = $600 + $500 + $2,000 = $3,100 Therefore, the CPI can be calculated as: CPI = EV / AC = $3,750 / $3,100 = 1.21 Since the CPI of 1.21 is greater than 1.0, the project is running under planned costs."
57,"During a daily stand-up meeting, one of the programmers mentions that she had some extra time and added functionality, which was not included in the original design. She believes the customer will appreciate the added functionality. What is your best course of action?",,"
Remove the added functionality and ensure that the project team builds the software as designed going forward 

","
Thank the programmer for the extra effort and notify the customer of the new functionality that has been added 

","
Update the cost baseline since the project will run over budget due to the cost of adding new functionality 

","
Accept the added functionality, but ask the programmer to build only what has been designed going forward 

",A,"The extra code that was written to add the functionality should be removed from the build, and the project manager should ensure software is written as designed going forward. Adding unplanned functionality, sometimes referred to as gold plating, will increase the overall project risk. For example, there may have been a good reason the client did not want this added functionality. Perhaps the client's computer system cannot support more advanced functionality. Additionally, the added code may interfere with other functionality since it was not integrated with the original build plan. Of the available choices, the best course of action is to remove the added functionality and ensure that the design plan is followed in the future. Note that if the project manager believes that this added functionality would benefit the customer, then the suggestion can be made to the customer. The customer can then decide whether or not to add the functionality and accept any impact on other project constraints. If the customer approves the added functionality, a change request should be submitted and processed through the Perform Integrated Change Control process. Ideally, a risk of removing the functionality should be assessed first including the impact on all project constraints, and then a decision would have to be made accordingly. However, this answer choice is not provided. Therefore, as we always recommend, we have to select the best answer of those provided, even if it does not look/sound like the perfect/ideal answer or the answer one would want to see among the options."
58,Your project has just begun its execution when hurricane warnings are issued for the area. The possibility of a hurricane was one of the risks identified during risk management planning. Which of the following should you review first to determine how to address this risk?,,Risk register,Risk management plan,Risk audit,Risk contingency plan,A,"As risks are identified, they are analyzed, and responses are planned and implemented. The resulting information from each risk management process is recorded in the risk register. During execution, the risk register has the response plan for any identified risk. Therefore, the risk register would be the place to find the response to be implemented in the case of a hurricane."
59,"You are managing a project for a customer with whom you have signed an Intellectual Property (IP) agreement requiring that the component design be unique. When the vendor to whom you outsourced the design makes a delivery, you are surprised to see that it is the same as one that the vendor had delivered to another of your clients. You review your contract with the vendor and realize that it does not include the uniqueness clause that would protect your customer's IP. Which of the following actions should you take to resolve this situation?",,"Include the vendor in client meetings and make them realize the importance of protecting
intellectual property",Use the contract change control system,"Show the designs to the customer to get approval before beginning the manufacturing of the
components",Cancel the contract with the vendor,B,"In this scenario, you are a project manager at the company executing the project. Your contract with the customer includes specific conditions to ensure that the IP for the design is protected. You have outsourced the design work to a vendor. Unfortunately, your contract with the vendor does not specify the conditions that establish and protect the customer's IP. The vendor has done nothing wrong by submitting the previous design to your company, and nothing in the question indicates that you have either discussed or by contract bound the vendor to protect the client's IP. Therefore, it was a lapse on the part of your company not to inform or contractually bind the vendor to the same IP restrictions that your company agreed to protect. You need to use your company's contract change control system to modify the contract to include the IP considerations of your customer and present the amendment to your vendor for approval."
60,"An organization has established a threshold for all projects that the expected incremental revenue must exceed costs by at least 25%. The current project is projected to have a benefit-cost ratio (BCR) of 1.75. Based on this information, what can be said about the project?",,"The BCR does not meet the minimum threshold established by the organization; therefore, the
project should not be undertaken.","The BCR meets but does not exceed the minimum threshold; therefore, the project should not
be undertaken.","The BCR exceeds the minimum threshold and is in alignment with corporate strategy;
therefore, the project can be undertaken.","There is not enough information in the question to calculate the BCR and make an informed
decision about the project.",C,"In order to correctly answer the question, one must understand benefit-cost ratio. The benefit- cost ratio (BCR) represents the benefits divided by the costs. In this case, the benefits are the expected incremental revenues from the project, and the costs are represented by the project budget. Typically, the revenues and costs are adjusted for inflation by using the net present value (NPV), but that is not stated in the question. In this scenario, the organization has established a threshold for all projects that the expected incremental revenue must exceed costs by at least 25%. Therefore, the project's BCR must exceed 1.25. Since the project's anticipated BCR of 1.75 exceeds the minimum threshold of 1.25, the project is in alignment with the organization's strategic goals and can be undertaken. While the topic of this question is just briefly mentioned in the PMBOK® Guide, the Project Management Professional (PMP)® Examination Content Outline, June 2015, covers knowledge and skills with which PMP aspirants are expected to be familiar. Project finance principles are among these knowledge and skills."
61,"A_request for proposal (RFP) which includes a procurement statement of work (SOW) has been prepared and forwarded to three of the prospective sellers. You have just received the last of the seller responses, and after reviewing all three responses, you see there is a 100% difference between the lowest and highest estimates. What should you do first?",,Select the seller with the highest estimate,Take the seller with the highest estimate to court,Select the seller with the lowest estimate,Review the procurement statement of work,D,"The procurement SOW is developed from the project scope baseline and describes the item of acquisition in sufficient detail to allow prospective sellers to provide an estimate for the work. A significant discrepancy between sellers' responses suggests the information furnished to them did not wholly or clearly describe the procurement item. The prospective sellers either misunderstood or failed to respond adequately to the procurement SOW. Expert judgment and data analysis can be used as tools and techniques to evaluate the seller responses during the Conduct Procurement process described in the scenario. The procurement SOW can be reviewed, revised and refined as required until it has been incorporated into a signed agreement with a seller. The variance in the received seller responses strongly suggests a review of the procurement SOW is conducted prior to taking further action."
62,"As a project manager, you monitor resource availability and determine that a machine, which is needed for the testing is down for unscheduled maintenance, which will cause a two-day delay. To avoid the delay, you check alternatives and discover that you can swap this type of test with another activity. What tool or technique did you use?",,Acquire Resources,Problem solving,Contingency reserve,Control Resources,B,"The question implies that the Control Resources process is underway in this scenario. Problem solving is one of the tools and techniques that can help the project manager solve problems that arise during the Control Resources process. Problem solving involves identifying the problem, defining the problem, investigating, analyzing, solving, and checking the solution. Although the question does not explicitly describe these steps, it is reasonable to assume that the project manager has applied the problem solving set of tools, and therefore, of the choices given, problem solving is the best answer to the question asked."
63,"Your sponsor has committed to building a high-speed rail from one major inland city, Azules, to the coast. You have two possible routes, either Brazos or Corazon. Given each route's costs, odds, and rewards of high demand and low demand in this decision tree, how would you quantify the expected monetary value of the route to Corazon?",images\test_1\q_63.png,7.2 billion,-4.8 billion,-18 billion,-8.8 billion,D,"The expected monetary value is an important calculation in performing decision tree analysis as part of the Perform Quantitative Risk Analysis process. You must account for not only the cost of the decision but the probability and payoff for each effect. In a decision tree, the EMV for a decision is calculated by multiplying the value of each possible profit outcome by its probability of occurrence and adding the products together. The value of each possible outcome is the net path value. Remember: when you net something, you must consider all positive & negative flows. The formula to compute net path value is to subtract the path reward minus the cost of its decision. For building the route to Corazon, here are the steps to compute the expected monetary value: EMV = 0.6(-8B) + 0.4(-10B) = -4.8B + (-4.0)B = -8.8B Other answer choices do not properly factor the net path value (the payoff minus the cost of the decision) and sum the effects. Below is the completed decision tree with all the net path values and the resulting expected monetary value of each choice. The EMV for the Corazon route is -8.8 billion (note this is a negative number). The EMV for the Brazos route is 0.8 billion. Since the path with the largest expected monetary value is the Brazos route at 0.8 billion, that is the best choice."
64,"A_project has just completed the first of three phases. During a recent meeting with the customer, the project manager learns that the customer is concerned that the quality process, as laid out in the quality management plan, is not being followed. As a result, the customer is thinking about canceling the project. What is the best way for the project manager to verify the customer's claim?",,Conduct a quality audit,Check the quality metrics,Run statistical sampling,Carry out a performance review,A,"Audits are performed as part of the Manage Quality process to make sure that the work is being performed in accordance with the required quality standards as laid out in the quality management plan. Since the quality process is what the customer is concerned about, the project manager's best course of action is to perform an audit to verify the customer's claim."
65,A_roject manager wants to take advantage of knowledge available within the organization to better manage their current project. What is the best course of action for the project manager in order to achieve this goal?,,Make sure the knowledge management plan is agreed upon by all project stakeholders,Document lessons learned in the lessons learned register throughout the project life cycle,Create an atmosphere of trust so that people are motivated to share their knowledge,Empower your project team and encourage them to be self-organizing and self-managing,C,"From an organizational perspective, knowledge management is about making sure the skills, experience, and expertise of the project team members and other stakeholders are used before, during, and after the project. Knowledge resides within organizational knowledge bases and in the minds of people. Organizational knowledge bases can be accessed and the information retrieved. However, people cannot be forced to share what they know. Ideally, to take advantage of knowledge available within the organization to better plan and manage their upcoming project, the project manager should do both: retrieve the knowledge from the knowledge base and create an atmosphere of trust so that people are motivated to share their knowledge. However, no answer choice with both options is available. Therefore, creating an atmosphere of trust so that people are motivated to share their knowledge, is the best answer to the question asked."
66,A_large project will be broken down into four phases. The project sponsor is very enthusiastic about the project and asks the project manager when the project kick-off meeting will be held. What is the best response to the project sponsor's question?,,During execution of the first phase,As part of the Planning Process Group of the first phase,At the start of each phase,As part of pre-project work,C,"The scenario describes a large project which will be conducted in four phases. Multiphase projects, like the one described by the question, will typically include a kick-off meeting at the beginning of each phase. Consider that each phase of a multiphase project is treated much like an individual project in that most or all of the processes are repeated for each phase. Therefore, the best response to the project sponsor's question is to conduct a kick-off meeting at the start of each phase."
67,Your project to build a new production line is in execution. A change request was submitted and approved to apply corrective action to an element of the new production line. The implementation of the change request requires technical knowledge that no one on the project team has. What should the project manager do to resolve this situation?,,Bring in a qualified consultant,Escalate the issue to the project sponsor,Defer the change request,Document the issue in the issue log,A,"Approved change requests are implemented through the Direct and Manage Project Work process. Expert judgment is one of the tools and techniques associated with the Direct and Manage Project Work process. Specialized knowledge or training is an example of expert judgment. Since the project team members do not possess this technical knowledge, the project manager should seek out someone that has the technical knowledge to implement the corrective action described by the question. Of the available options, only bringing in a qualified consultant would resolve the issue in a timely manner and is, therefore, the best answer to the question asked."
68,"During your most recent conference call, the key stakeholders suggest that it would be more helpful to them if the status reports were sent via email instead of the weekly call. What area of communications management will you have to change to address the stakeholders' request?",,The communication method,The communication model,The project communications,The communication channels,A,"Communication methods describe how information is transferred one-to-one or to groups of individuals. These methods are grouped into the following categories: interactive communication, push communication, and pull communication. Email is an example of push communication. When choosing a communication method, it is advisable to include the stakeholders in the final decision, so their communication needs will be met. Communication models describe the process by which information is shared and has three main parts: the sender, the message, and the receiver. Considering both communication models and communication methods will lead to the most effective communication. In the scenario provided, the stakeholders are requesting the project manager to use email as a method in which the information is shared with them. Therefore, of the choices given, the communication method is the best answer."
69,"As an experienced project manager, you are aware there are potential risks that could impact the success of your project. You want to ensure there is a process in place to identify and manage risks throughout the project life cycle. Where will you document this process?",,Risk register,Risk management plan,Issue log,Risk report,B,"All projects contain an inherent set of risks. A risk management plan is developed to ensure there is a process in place to manage risks on a project. The risk management plan provides guidelines on how risk management will be structured and performed throughout the project and defines an approach to managing risk. Therefore, of the choices offered, the risk management plan is the best answer to the question asked."
70,Your project is midway into execution when a new executive joins the company. The sponsor tells you the executive will play a significant role in your project. What should you do first?,,Perform the Develop Project Management Plan process,Record the new executive as an issue in the issue log,Meet with the executive to review the project charter,Update the resource breakdown structure,C,"Meeting with stakeholders as early as possible helps ensure the stakeholders understand how the project will impact them, which reduces the likelihood of conflict during or after the project. Therefore, of the choices provided, meeting with the executive to review the project charter and ensure a common understanding of the key project deliverables and milestones is the best answer to the question asked."
71,You have been provided a list of concerns some stakeholders have with your project. You meet with them to address the concerns in hopes of gaining their support and cooperation. You pay close attention by actively and effectively listening. You focus on each person's input to ensure you are aware of and are taking all perspectives into consideration. You then clearly articulate your point and your position and ask for their support. Which tool or technique best describes the skills you are using?,,Influencing,Team performance assessments,Conflict management,Emotional intelligence,A,"Influencing skills is a component of interpersonal and team skills which is a tool and technique used in the Manage Team process. Influencing skills are often critical to the success of a project in a matrix environment because of the limited authority project managers have in those environments. Influencing skills can help the project manager obtain resources and solve issues promptly. Vital influencing skills include an ability to be persuasive, clearly articulating points and positions, high levels of active and effective listening, awareness of, and consideration for, the various perspectives in any situation, and gathering relevant information to address issues and reach agreements while maintaining mutual trust. The PMBOK® Guide groups many process tools and techniques, like influencing skills, based on their purpose. Useful information and tables that categorize these tools and techniques by group and tie them to their respective process can be found using the included page reference."
72,"Early into a project, the project manager is frustrated with the slow progress the project team is making. Which of the following theories or models may alleviate his frustrations by clarifying how a team develops throughout the project?",,Theory X,Hierarchy of needs,Three needs theory,Tuckman ladder,D,"The Tuckman ladder includes five stages of development that teams may go through. The stages include: forming, storming, norming, performing, and adjourning. Understanding the Tuckman ladder concept is an important concept of the Develop Team process because the project manager's management style can change from stage to stage. The project manager's frustrations may be alleviated by understanding the natural progression of the Tuckman ladder, especially team development efforts that are typical at the beginning of a project."
73,"You have been assigned to a large and complex project, and you are in the process of monitoring the overall progress of project work. During this process, you have captured details of an effective response to a variance encountered on the project. What is the main reason for documenting this knowledge gained during the project?",,To ensure project goals remain aligned with business needs,To keep stakeholders engaged and informed,To support continuous improvement efforts,To satisfy requirements set forth by the project management office (PMO),C,"The Project Management Professional (PMP)® Examination Content Outline contains a list of tasks for each domain, with which PMP aspirants are expected to be familiar. Task #6 from the Monitoring and Controlling domain states, ""Capture, analyze, and manage lessons learned, using lessons learned management techniques in order to enable continuous improvement."" The question implies that the lessons learned register had been updated with an effective response to a variance encountered during the Monitor and Control Project Work process. Lessons learned during the project should be captured in the lessons learned register where it can be used to improve performance on the current project. At the end of the project, the information documented in the lessons learned register is then transferred to an organizational process asset called the lessons learned repository, where the information can be used to benefit future projects. Therefore, of the available choices, the main reason for documenting knowledge gained during the project is to support continuous improvement efforts."
74,"You are managing a project to develop an application on two platforms. Your team has been struggling with the functionality of the application on one of the platforms. This issue has been identified as a possible risk during risk management planning. Now that the risk is realized, the agreed-upon risk response plan is being implemented. What should be your next step?",,"Determine and document individual project risks and sources of overall project risk that may
affect the project","Observe the implementation of risk response plans, track identified risks, and identify and
analyze new risks",Define how to conduct risk management activities for a project,Assess the priority of identified risks using their probability of occurrence and impact,B,"After carrying out the Implement Risk Responses process, where agreed-upon risk responses are executed to address overall project risk exposure, individual project threats are minimized, and individual project opportunities are maximized, you would monitor the actions to see if they were effective. Monitor Risks is the process of monitoring the implemented risk response plans, tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project."
75,"While updating the monthly cost reports, you have discovered that an error was made in the original funding request. The budgeted amount approved was based on salary rates instead of the billing rates causing a $20,500 overstatement of budgeted cost. You understand that the cost baseline should be updated. What should you do next?",,Issue a change request,Update the cost baseline,Prepare cost estimates,Issue work performance reports,A,"When issues are found while project work is being performed, change requests can be submitted to modify some of the project artifacts, for example, the cost baseline. In this scenario, you have found an error in the original funding request, which has caused the cost baseline to be erroneously increased. The next step required to correct the cost baseline and realign it with the correct budgeted amounts would be to issue a change request."
