No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
69,"If change requests can occur throughout a project but must be approved by the change control board, all of the following are true except? Top of Form",,Change requests are outputs of many processes of the Executing Process Group and Monitoring,"New change requests are inputs to the Perform Integrated Change Control process, while","New change requests are inputs to the Direct and Manage Project Work, while approved change","Approved change requests are inputs to three processes: Direct and Manage Project Work,",C,"Many processes produce change requests as outputs, but only the Perform Integrated Change Control process has change requests as inputs. Likewise, only the Perform Integrated Change Control process has approved change requests as outputs. Approved change requests are inputs to the Direct and Manage Project Work, Control Quality, and Control Procurements processes. During the Direct and Manage Project Work process, approved changes are implemented, and during the Control Quality and Control Procurements processes, implementation of the approved changes is verified."
70,Which of the following is an input to the Estimate Activity Durations process?,,Resource calendars,Basis of estimates,Requirements documentation,Verified deliverables,A,"The Estimate Activity Durations process has the following four inputs: ● Project management plan ● Project documents (e.g., resource calendars) ● Enterprise environmental factors ● Organizational process assets"
71,The project has reached a stage where work is being done in seven countries. Project team members need to know in which currency they are to report their cost data. Which of the following should they reference? Top of Form,,Cost baseline,Cost management plan,Cost estimates,Cost breakdown structure,B,"The cost management plan provides information and guidance on how the project manager and project team are to plan, structure, account, and control the project costs. The contents of the plan vary based on the needs of the particular project. The project in the scenario is operating in many countries and currencies. To align all the project documents and communications, it is important for this project's cost management plan to detail the currencies to use or not use, when, in which circumstances, and other pertinent requirements of the project. The plan is the go-to location for the team to use the proper cost denotations."
72,Which of the following is often required by the buyer and should be supported by the seller to verify compliance of the seller's work processes and deliverables? Top of Form,,Performance reporting,Payment systems,Inspections and audits,Seller compliance evaluations,C,"Inspections and audits are tools and techniques of the Control Procurements process, which are used to verify compliance and the seller's work processes or deliverables. An inspection is a structured review of the work being performed by the seller. This may involve a simple review of the deliverables or an actual physical review of the work itself. Audits are a structured review of the procurement process. Rights and obligations related to audits should be described in the procurement contract."
73,Which of the following is an output of the Monitor Communications process? Top of Form,,Organizational process assets updates (OPAs),Work performance information,Team performance assessments,Work performance reports,B,Monitor Communications is the process of ensuring that the information needs of the project and its stakeholders are met. It has the following four outputs: ● Work performance information ● Change requests ● Project management plan updates ● Project documents updates
74,Which of the following is not an input to the Validate Scope process? Top of Form,,Requirements documentation,Business case,Requirements traceability matrix,Requirements management plan,B,"The Validate Scope process is where the completed project deliverables are formally accepted. The process has the following five inputs: ● the project management plan (especially the scope management plan, requirements management plan, and scope baseline), ● project documents (especially the lessons learned register, quality reports, requirements documentation, and requirements traceability matrix), ● verified deliverables (from the Control Quality process), and ● work performance data from the Direct and Manage Project Work process (including the degree of compliance with requirements, number of nonconformities, the severity of the nonconformities, or the number of validation cycles performed in a period). In contrast, a business case is a phase gate document including an economic feasibility study, business needs and requirements, basic scope, project objectives, and benefits, normally used in Initiating a project. Therefore, a business case serves as an input business document for the Develop Project Charter, Close Project or Phase, Collect Requirements, Determine Budget, Plan Procurement Management and Identify Stakeholders processes, but not in the Validate Scope process."
75,"The Monitor Risks process has four inputs, including: ● Project management plan ● Project documents ● Work performance reports Which of the following inputs is missing from the list? Top of Form",,Work performance data,Change requests,Reserve analysis,Risk acceptance,A,"The Monitor Risks process has four inputs, including: ● Project management plan (e.g., the risk management plan) ● Project documents (including the issue log, the lessons learned register, the risk register, and the risk report) ● Work performance data ● Work performance reports"
76,Which of the following is an output from the Develop Project Management Plan process? Top of Form,,Organizational process assets,Component plans from other processes in the Planning Process Group,Project documents updates,Project management plan,D,"The Develop Project Management Plan is the process of defining, preparing, and coordinating all plan components and consolidating them into an integrated project management plan. This process has only one output, which is the Project Management Plan."
77,The project manager in charge of the construction of a manufacturing plant in Asia is concerned about the communications flow in the project because there are stakeholders from different countries and cultures. Which of the following should she use to be more efficient at facilitating discussions with timely data? Top of Form,,Work performance reports,Historical information,Communications performance reporting,Stakeholder register,A,"The scenario suggests the project manager is performing the Manage Communications process. Work performance reports are an input to this process. Work performance reports are a collection of project performance and status information that may be used to facilitate discussion and create communications. Reports that are comprehensive, accurate, and available promptly may help the project manager in facilitating discussions with timely data as asked by the question, making work performance reports the best answer to the question asked."
78,"You are looking for information on personnel rates, travel costs, and other costs that are needed to estimate the overall project budget. Where is the best place to find this information? Top of Form",,Work breakdown structure (WBS),Resource calendars,Resource management plan,Cost baseline,C,"The scenario suggests you are carrying out the Determine Budget process. The resource management plan is one of the inputs into that process. The resource management plan provides information on rates (personnel and other resources), estimation of travel costs, and other foreseen costs that are necessary to estimate the overall project budget. Therefore, the resource management plan is the best place to find information on costs related to estimating the project budget."
79,Which of the following is a tool or technique of the Control Procurements process? Top of Form,,Product analysis,Advertising,Earned value analysis,Market research,C,"Control Procurements. The process of managing procurement relationships, monitoring contract performance, making changes and corrections as appropriate, and closing contracts. It has the following five tools and techniques: ● Expert judgment ● Claims administration ● Data analysis (e.g., earned value analysis) ● Inspections ● Audits"
80,Which of the processes below do not use meetings as a tool or technique? Top of Form,,Define Scope,Plan Stakeholder Engagement,Monitor Risks,Identify Stakeholders,A,"Meetings are used as a tool and technique in many project management processes. However, as far as the Project Scope Management Knowledge Area is concerned, meetings are only used in the Plan Scope Management process. None of the other five processes of this Knowledge Area, including the Define Scope process, uses meetings as their tools or techniques."
81,Which of the following is a tool or technique of the Direct and Manage Project Work process? Top of Form,,Project management information system (PMIS),Focus groups,Approved change requests,Product analysis,A,The Direct and Manage Project Work is defined as the process of leading and performing the work defined in the project management plan and implementing approved changes to achieve the project's objectives. This process has the following three tools and techniques: ● Expert judgment ● Project management information system ● Meetings
82,Which of the following is an output of the Control Costs process? Top of Form,,Project funding requirements,Activity duration estimates,Cost performance baseline,Cost forecasts,D,Control Costs is the process of monitoring the status of the project to update the project costs and manage changes to the cost baseline. The Control Costs process has the following outputs: ● Work performance information ● Cost forecasts ● Change requests ● Project management plan updates ● Project documents updates
83,Which of the following is an output of the Estimate Activity Durations process? Top of Form,,Milestone list,Project documents updates,Project management plan updates,Work performance data,B,The Estimate Activity Durations process has the following three outputs: ● Duration estimates ● Basis of estimates ● Project documents updates
84,Which of the following is a tool or technique used in the Develop Project Charter process? Top of Form,,Project management information system (PMIS),Conflict management,Trend analysis,Needs assessment,B,"The Develop Project Charter is the process of developing a document that formally authorizes the existence of a project and provides the project manager with the authority to apply organizational resources to project activities. This process has the four following tools and techniques: ● Expert judgment ● Data gathering ● Interpersonal and team skills (e.g., conflict management) ● Meetings"
85,Which of the following is an input to the Monitor and Control Project Work process? Top of Form,,Approved change requests,Change requests,Work performance information,Accepted deliverables,C,"The Monitor and Control Project Work process is the process of tracking, reviewing, and reporting overall progress to meet the performance objectives defined in the project management plan. It has the following six inputs: ● Project management plan ● Project documents ● Work performance Information ● Agreements ● Enterprise environmental factors ● Organizational process assets"
86,"Throughout the project, the stakeholders have been raising various problems, gaps, inconsistencies, and conflicts. Which of the following should be used to capture this information? Top of Form",,Change log,Risk register,Issue log,Stakeholder register,C,"The problems, gaps, inconsistencies, and conflicts are collectively known as issues. Issues are recorded in the issue log. The issue log is created as an output of the Direct and Manage Project Work process as a place to document problems, gaps, inconsistencies, or conflicts that occur unexpectedly and may threaten the project objectives. Data on issues may include the issue type, issue originator, description, priority, issue owner, target resolution date, status, final solution, etc. Issues should be proactively monitored and tracked, and their status communicated to stakeholders."
87,Which of the following is not an input to the Control Costs process? Top of Form,,Teaming agreements,Project funding requirements,Project management plan,Work performance data,A,"The Control Costs process has the following four inputs: ● Project management plan (primarily the cost management plan, cost baseline, and performance measurement baseline) ● Project funding requirements ● Project documents (primarily lessons learned register) ● Work performance data ● Organizational process assets"
88,"During the activities performed to carry out project work, observations and measurements are recorded and then become an input to all of the following processes except: Top of Form",,Perform Integrated Change Control,Monitor Communications,Validate Scope,Control Quality,A,"The Direct and Manage Project Work process is the process of leading and performing the work defined in the project management plan and implementing approved changes to achieve the project's objectives. It has the following seven outputs: ● Deliverables ● Work performance data ● Issue log ● Change requests ● Project management plan updates ● Project document updates ● Organizational process assets updates The Direct and Manage Project Work process is the 'only' process that has work performance data as an output. Work performance data is then used, as an input, in all the Monitoring and Controlling processes 'except' the Perform Integrated Change Control process and the Monitor and Control Project Work process."
89,Which of the following is a tool or technique of the Collect Requirements process? Top of Form,,Project charter,Alternative analysis,Inspection,Interviews,D,"The Collect Requirements process has the following tools and techniques: ● Expert judgment ● Data gathering (brainstorming, interviews, focus groups, questionnaires and surveys, and benchmarking) ● Data analysis ● Decision making ● Data representation ● Interpersonal and team skills ● Context diagram ● Prototype Collect Requirements is the process of determining, documenting, and managing stakeholder needs and requirements to meet project objectives."
90,Which of the following is not a tool and technique used during the Monitor Risks process? Top of Form,,Technical performance analysis,Reserve analysis,Risk audits,Decision tree analysis,D,"Monitor Risks is the process of monitoring the implementation of agreed-upon risk response plans, tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project. The Monitor Risks process has the following three tools and techniques: ● Data analysis (including technical performance analysis and reserve analysis) ● Audits (e.g., risk audits) ● Meetings (e.g., risk review meetings)"
91,Which of the following is an output of the Plan Stakeholder Engagement process? Top of Form,,Stakeholder register,Risk management plan,Stakeholder engagement plan,Change log,C,"Plan Stakeholder Engagement is the process of developing approaches to involve project stakeholders based on their needs, expectations, interests, and potential impact on the project. The single output of this process is the stakeholder engagement plan, which is a component of the project management plan that identifies the strategies and actions required to promote the productive involvement of the project's stakeholders in both decision making and execution."
92,Which of the following is an input to the Plan Quality Management process? Top of Form,,Contracts,Stakeholder register,Resource calendars,Risk report,B,"The Plan Quality Management process has the following five inputs: ● Project charter ● Project management plan ● Project documents (e.g., stakeholder register) ● Enterprise environmental factors ● Organizational process assets Plan Quality Management is the process of identifying quality requirements and/or standards for the project and its deliverables, and documenting how the project will demonstrate compliance with quality requirements and/or standards."
93,"What components of the project management plan may encourage iterative practices, such as a product backlog and a sprint review, to be included in the scope management plan? Top of Form",,Management reviews and the schedule baseline,The project life cycle description and development approach,The requirements management plan and the project charter,The quality management plan and the cost management plan,B,"The scope management plan is a component of the project or program management plan that describes how the scope will be defined, developed, monitored, controlled, and validated. The development of the scope management plan begins with the analysis of information contained in the project charter, the latest approved subsidiary plans of the project management plan, as well as EEFs and OPAs. However, the question is asking specifically for components of the project management plan, which rules out items that are not project management plan components. Then, you must narrow the choices to components that may drive the use of iterative practices such as a product backlog and a sprint review. Of the project management plan components shown, the project life cycle description and the development approach are most influential regarding iterative practices in scope management."
94,Which of the following is an output of the Sequence Activities process? Top of Form,,Work performance data,Project schedule network diagrams,Project scope statement,Activity list,B,"The Sequence Activities process is where relationships among the project activities are identified and documented. The process has the following two outputs: ● Project schedule network diagrams ● Project documents updates (e.g., activity list)"
95,Which of the following is an output of the Develop Project Charter process? Top of Form,,Assumption log,Business case,Constraints log,Agreements,A,The Develop Project Charter process has the following two outputs: ● Project charter ● Assumption log This process is where a document that formally authorizes the existence of a project is developed. The charter provides the project manager with the authority to apply organizational resources to project activities.
96,Which of the following is an input to the Estimate Costs process? Top of Form,,Activity cost estimates,Quality management plan,Project schedule network diagrams,Resource calendars,B,The Estimate Costs process has the following inputs: ● Scope baseline ● Quality management plan ● Cost management plan ● Lessons learned register ● Project schedule ● Resource requirements ● Risk register ● Enterprise environmental factors ● Organizational process assets Estimate Costs is the process of developing an approximation of the monetary resources needed to complete project work.
97,"Using the decision matrix shown below, what is the EMV for the upgrade option? Top of Form",images\test_8\q_97.png,$36M,$46M,$70M,$10M,B,"Decision trees are used to support the selection of the best of several alternative courses of action. Typically, the option or branch with the highest calculated expected monetary value (EMV). To calculate the branch EMV, the payoff minus costs are calculated for each path within the option. In this example, that would be $70M for the Upgrade Plant, Strong demand path ($70M = $120M - $50M), and $10M for the Upgrade Plant, Weak Demand path ($10M = $60M - $50M). Then each path value is multiplied by the probability of the path, and all path values are summed. For the Upgrade/Strong Demand path the result is $42M ($42M = $70M x 0.60), and the Upgrade/Weak Demand path result is $4M ($4M = $10M x .040). When the two are added, the resulting EMV for the Upgrade Plant option is $46M."
98,Which tool or technique used during the Monitor Stakeholder Engagement process helps the project manager understand the strategies of the organization and determine who wields power and influence? Top of Form,,Networking,Political awareness,Active listening,Multicriteria decision analysis,B,"Political awareness is a powerful technique that concerns the recognition of formal and informal power relationships, and the willingness to operate within these relationships. An understanding of the strategies of the organization, knowing who wields power and influence, and developing an ability to communicate with key stakeholders are all aspects of this technique."
99,Which of the following is an output of the Identify Risks process? Top of Form,,Activity duration estimates,Scope baseline,Risk register,Project schedule network diagrams,C,Identify Risks is the process of identifying individual risks as well as sources of overall risk and documenting their characteristics. This process has three outputs: ● Risk register ● Risk report ● Project documents updates
100,Which of the following is an output of the Collect Requirements process? Top of Form,,Change requests,Deliverables,Requirements documentation,Stakeholder register,C,"The Collect Requirements is the process of determining, documenting, and managing stakeholder needs and requirements to meet project objectives. This process has the following two outputs: ● Requirements documentation ● Requirements traceability matrix"
101,"During the past few weeks, there have been many changes to the project deliverables and the project manager is not sure which changes add real business value. Which of the following could the project manager use to evaluate the impact that changes may have on the project objectives? Top of Form",,Change log,Requirements log,Requirements traceability matrix,Business case,C,"Serving as an output of the Collect Requirements process, the requirements traceability matrix is a grid that links product requirements from their origin to the deliverables that satisfy them. The implementation of a requirements traceability matrix helps ensure that each requirement adds business value by linking it to the business and project objectives. It provides a means to track requirements throughout the project life cycle, helping to ensure that requirements approved in the requirements documentation are delivered at the end of the project. Finally, it provides a structure for managing changes to the product scope."
102,Which of the following is not an input to the Implement Risk Responses process? Top of Form,,Project team assignments,Risk management plan,Risk report,Lessons learned register,A,"Implement Risk Responses is the process of implementing agreed-upon risk response plans. Implement Risk Responses is the process of implementing agreed-upon risk response plans. It has the following three inputs: ● Project management plan (e.g., the risk management plan) ● Project documents (including the lessons learned register, the risk register, and the risk report) ● Organizational process assets"
103,What is the purpose of resource calendars? Top of Form,,Resource calendars are created during the Develop Team process to show when team members,Resource calendars are outputs of the Acquire Resources process to show when team members,"When estimating activity resources, you create resource calendars to present the resource",Resource calendars track when you are assigned to the project but do not account for,B,"The resource calendars identify the working days and shifts when each specific resource is available. After you acquire the project team, you are ready to document the time periods when each team member is available to work on the project."
104,Which of the following is not an input to the Identify Risks process? Top of Form,,Cost management plan,Scope management plan,Schedule management plan,Quality management plan,B,"The cost management plan, the schedule management plan, and the quality management plan are all inputs to the Identify Risks process. Of the choices provided, only the scope management plan is not an input to the Identify Risks process and is, therefore, the best answer to the question asked. Note, the scope baseline is an input to the Identify Risks process because it includes deliverables and criteria for their acceptance, some of which might introduce risk. However, the scope baseline is not part of the scope management plan. The scope baseline is part of the project management plan which includes the subsidiary plans, such as the scope management plan, the baselines, such as the scope baseline, and some other components."
105,Which of the following is an output of the Identify Stakeholders process? Top of Form,,Project charter,Resource calendars,Stakeholder register,Quality metrics,C,"Identify Stakeholders is the process of identifying project stakeholders regularly and analyzing and documenting relevant information regarding their interests, involvement, interdependencies, influence, and potential impact on project success. The Identify Stakeholders process has the following four outputs: ● Stakeholder register ● Change requests ● Project management plan updates ● Project documents updates"
106,Which of the following is a tool or technique of the Manage Team process? Top of Form,,Conflict management,Work performance reports,Expert judgment,Communication technology,A,"Manage Team is the process of tracking team member performance, providing feedback, resolving issues, and managing team changes to optimize project performance. The Manage Team process has the following two tools and techniques: ● Interpersonal and team skills (conflict management, decision making, emotional intelligence, influencing and leadership) ● Project management information system"
107,"As a project manager, you are developing a resource management plan for your software development project, and you need to find a way to document and communicate the detailed descriptions of the team members' roles and responsibilities. What tool will best meet your needs? Top of Form",,Role-responsibility-authority form,RACI chart,Resource breakdown structure,Hierarchical chart,A,"The question implies that the Plan Resource Management process is underway. Data representation techniques that may be used for this process include charts. Various formats exist to document and communicate team member roles and responsibilities, but most fall into hierarchical, matrix, or text-oriented formats. A hierarchical format may be used to represent high-level roles, while a text-based format may be better suited to document the detailed team member responsibilities. Text-oriented documents provide detailed information such as responsibilities, authority, competencies, and qualifications. These documents are known by various names including position descriptions and role-responsibility-authority forms. Since the question is asking to find a way to document and communicate the 'detailed' descriptions of the team members' roles and responsibilities, using a role-responsibility-authority form is the best answer to the question asked."
108,All of the following are included in the scope baseline except: Top of Form,,Project scope statement,Work breakdown structure,WBS dictionary,Requirements traceability matrix,D,"The scope baseline is a principal output of the Create WBS process. It encompasses the approved version of a scope statement, work breakdown structure (WBS), and its associated WBS dictionary. A baseline can be changed only through formal change control procedures and is used as a basis for comparison during Monitoring and Controlling. In contrast, the requirements traceability matrix is a project document that serves as an output of the Collect Requirements process. The requirements traceability matrix is used to link each requirement with the deliverables that should fulfill the requirement. Unlike the scope baseline, this matrix needs to be updated throughout both the Execution and the Monitoring and Controlling process groups as the project progresses and the status of the requirement fulfillment changes."
109,Which of the following is a tool or technique used in the Manage Project Knowledge process? Top of Form,,Problem solving,Information management,Data analysis,Historical information review,B,The Manage Project Knowledge Manage is the process of using existing knowledge and creating new knowledge to achieve the project's objectives and contribute to organizational learning. This process has the following four tools and techniques: ● Expert judgment ● Knowledge management ● Information management ● Interpersonal and team skills
110,Which of the following is a tool or technique of the Control Schedule process? Top of Form,,Organizational process assets (OPAs),Performance reviews,Meetings,Expert judgment,B,"The Control Schedule process is where project status is monitored to update the project schedule and manage changes to the schedule baseline. It has the following six tools and techniques: ● Data analysis (e.g., performance reviews) ● Critical path method ● Project management information system ● Resource optimization ● Leads and lags ● Schedule compression"
111,Which of the following is an example of a result of the Determine Budget process? Top of Form,,"$100,000 is required by the project on a quarterly basis.",The services of a trusted shredding company are required every month to handle sensitive paper,The project is going to follow a similar structure as a similar implementation project previously,A signed agreement with a financial institution will be provided to finance the project.,A,"The Determine Budget process has the following outputs: cost baseline, project funding requirements, and project document updates (namely project schedule, cost estimates, and risk register). The correct answer lists quarterly project funding requirements. The rest of the choices represent different examples of inputs to the Determine Budget process."
112,Which of the following is not an output of the Control Quality process? Top of Form,,Work performance information,Checklists,Change requests,Quality control measurements,B,"Control Quality is the process of monitoring and recording results of executing the quality management activities to assess performance and ensure the project outputs are complete, correct, and meet customer expectations. The Control Quality process has the following six outputs: ● Quality control measurements ● Verified deliverables ● Work performance information ● Change requests ● Project management plan updates ● Project documents updates"
113,Expert judgment is a tool and technique used in all of the following processes except: Top of Form,,Develop Project Charter,Manage Communications,Conduct Procurements,Identify Stakeholders,B,"Manage Communications is the process of ensuring timely and appropriate collection, creation, distribution, storage, retrieval, management, monitoring, and the ultimate disposition of project information. The Manage Communications process has the following seven tools and techniques: ● Communication technology ● Communication methods ● Communication skills ● Project management information system ● Project reporting ● Interpersonal and team skills ● Meetings The PMBOK® Guide does not include expert judgment as a tool and technique under Manage Communications."
114,Which of the following is not an output of the Manage Stakeholder Engagement process? Top of Form,,Updates to the stakeholder register,Updates to the stakeholder engagement plan,Updates to the communications management plan,Meetings,D,"Manage Stakeholder Engagement is the process of communicating and working with stakeholders to meet their needs and expectations, address issues, and foster appropriate stakeholder involvement. There are three outputs of the Manage Stakeholder Engagement process: ● Change results ● Project management plan updates (including the communications management plan and the stakeholder engagement plan) ● Project documents updates (including the change log, the issue log, the lessons learned register, and the stakeholder register)"
115,Which of the following is not one of the tools and techniques for the Acquire Resources process? Top of Form,,Negotiation,Pre-assignment,Virtual teams,Decision tree analysis,D,"The Acquire Resources process has the following four tools and techniques: ● Decision making (multi-criteria decision analysis) ● Interpersonal and team skills (negotiation) ● Pre-assignment ● Virtual teams In the context of acquiring resources, multicriteria decision analysis serves as the decision-making technique. Using a decision matrix to systematically evaluate several characteristics (such as availability, cost, features, experience, knowledge, skills) shared among the choices, you then rank the choices by the resulting mathematical scores. In the context of quantifying risks, the decision tree analysis uses a diagram and specific formulas to evaluate the impact of a chain of multiple options for the purpose of prioritizing risks and their responses."
116,Which of the following data analysis techniques would be best for determining the resources needed at upcoming stages of the project and to see if performance has been improving or deteriorating over time? Top of Form,,Cost-benefit analysis,Trend analysis,Performance reviews,Project management information system (PMIS),B,"Trend analysis is a data analysis technique for several processes in the Monitoring and Controlling process group. In the Control Resources process, the project team may use trend analysis on current performance information to determine the resources needed at upcoming stages of the project. Trend analysis examines project performance over time and can be used to determine whether performance is improving or deteriorating."
117,"The Manage Communications process has seven tools and techniques, including: ● Communication technology ● Communication skills ● Project management information system ● Performance reporting ● Interpersonal and team skills ● Meetings Which of the following tools and techniques is missing from the list? Top of Form",,Communication methods,Communication competence,Project communications,Recognition and rewards,A,"Manage Communications is the process of ensuring timely and appropriate collection, creation, distribution, storage, retrieval, management, monitoring, and the ultimate disposition of project information. The Manage Communications process has the following seven tools and techniques: ● Communication technology ● Communication methods ● Communication skills (e.g., communication competence) ● Project management information system ● Performance reporting ● Interpersonal and team skills ● Meetings"
118,Which of the following tools or techniques is used by buyers during the Control Procurements process to verify the compliance of the seller's deliverables to the contract? Top of Form,,Audits,Inspections,Checklist analysis,Bidder conferences,B,"Control Procurements is the process of managing procurement relationships, monitoring contract performance, making changes and corrections as appropriate, and closing out contracts. The process has the following five tools and techniques: ● Expert judgment ● Claims administration ● Data analysis ● Inspections ● Audits"
119,Which of the following is an input to the Acquire Resources process? Top of Form,,Stakeholder management plan,Pre-assignment,Activity cost estimates,Enterprise environmental factors,D,"Acquire Resources is the process of obtaining team members, facilities, equipment, materials, supplies, and other resources necessary to complete project work. The Acquire Resources process has the following four inputs: ● Project management plan (resource management plan, procurement management plan and cost baselines) ● Project documents ● EEFs (costs, availability, locations, competence levels, experience, market conditions, organizational structure) ● OPAs"
120,The financial business analyst of an initial public offering (IPO) project meets with the stakeholders to agree on how business requirements will be documented. What is the expected result of this meeting? Top of Form,,Updates to the requirements management plan,Updates to the business analysis plan,Updates to the requirements documentation,Updates to the stakeholder register,A,"In this context, the requirements management plan is the most relevant outcome of the meeting described in the question. A critical output of the Plan Scope Management process, the requirements management plan describes how requirements will be analyzed, documented, and managed."
121,Which of the following is an output of the Monitor Stakeholder Engagement process? Top of Form,,Resource management plan updates,Project communications,Change management plan,Presentations,A,"Monitor Stakeholder Engagement is the process of monitoring project stakeholder relationships, and tailoring strategies for engaging stakeholders through the modification of engagement strategies and plans. This process has the following four outputs: ● Work performance information ● Change requests ● Project management plan updates (including the resource management plan, the communications management plan, and the stakeholder engagement plan) ● Project documents updates (including the issue log, the lessons learned register, the risk register, and the stakeholder register)"
122,Which of the following is an input to the Plan Procurement Management process? Top of Form,,Procurement management plan,Procurement strategy,Project charter,Stakeholder management strategy,C,"Plan Procurement Management is the process of documenting project procurement decisions, specifying the approach, and identifying potential sellers. The Plan Procurement Management process has the following six inputs: ● Project charter ● Business documents ● Project management plan ● Project documents ● Enterprise environmental factors ● Organizational process assets"
123,In which of the following processes could voting be used as a decision-making technique? Top of Form,,Collect Requirements and Validate Scope,Plan Scope Management and Define Scope,Define Scope and Control Scope,Control Scope and Create WBS,A,"Decision-making techniques is a team-based approach that useful for engaging stakeholders to define their requirements for the project during the Collect Requirements process, as well as to reach a decision on the validation method and who should perform the validation which is a part of validating scope. The other processes listed in the question do not often use this technique."
124,"The Acquire Resources process has eight outputs, including: ● Physical resource assignments ● Resource calendars ● Change requests ● Project management plan updates ● Project document updates ● EEF updates ● OPA updates Which of the following outputs is missing from the list? Top of Form",,Pre-assignment,Resource availability,Resource chain of custody documentation,Project team assignments,D,"Acquire Resources is the process of obtaining team members, facilities, equipment, materials, supplies, and other resources necessary to complete project work. The eight outputs of the Acquire Resources process include: ● Physical resource assignments ● Project team assignments (a project team directory, organization chart, roles, and responsibilities) ● Resource calendars ● Change requests ● Project management plan updates ● Project document updates ● EEF updates ● OPA updates"
125,Which of the following is an input to the Plan Communications Management process? Top of Form,,Communications management plan,Project management plan,Requirements traceability matrix,Communications requirement matrix,B,"Plan Communications Management is the process of developing an appropriate approach and plan for project communication activities based on the information needs of each stakeholder or group, available organizational assets, and the needs of the project. The Plan Communications Management process has the following five inputs: ● Project charter ● Project management plan ● Project documents ● Enterprise environmental factors ● Organizational process assets"
126,Which of the following statements is correct about the Plan Schedule Management process? Top of Form,,The process has two outputs: the schedule management plan and project documents updates.,"The process has three outputs: the schedule management plan, project management plan",The process has one output: the schedule management plan.,The process has two outputs: the schedule management plan and the schedule model,C,The Plan Schedule Management process has only one output: ● Schedule management plan
127,"The Plan Procurement Management process has ten outputs, including: ● Procurement management plan ● Procurement strategy ● Bid documents ● Procurement statement of work ● Source selection criteria ● Make-or-buy decisions ● Change requests ● Project documents updates ● Organizational process assets updates Which of the following outputs is missing from the list? Top of Form",,Risk report updates,Deliverables,Performance reports,Independent cost estimates,D,"Plan Procurement Management is the process of documenting project procurement decisions, specifying the approach, and identifying potential sellers. The Plan Procurement Management process has the following ten outputs: ● Procurement management plan ● Procurement strategy ● Bid documents ● Procurement statement of work ● Source selection criteria ● Make-or-buy decisions ● Independent cost estimates ● Change requests ● Project documents updates ● Organizational process assets updates"
128,Which of the following is not a tool or technique of the Estimate Activity Resources process? Top of Form,,Expert judgment,Pre-assignment,Project management information system,Alternative analysis,B,"Estimate Activity Resources is the process of estimating team resources and the type and quantities of material, equipment, and supplies necessary to perform project work. This process has the following seven tools and techniques: ● Expert judgment ● Bottom-up estimating ● Analogous estimating ● Parametric estimating ● Data analysis (alternative analysis) ● Project management information systems (PMIS) ● Meetings"
129,Which of the following is not an output of the Control Scope process? Top of Form,,Work performance data,Work performance information,Project documents updates,Change requests,A,"Work performance data is not an output of Control Scope, but an input. The Control Scope process has the following outputs: work performance information, change requests, project management plan updates, and project document plan updates."
130,Which of the following is not an input to the Sequence Activities process? Top of Form,,Approved change requests,Activity list,Milestone list,Activity attributes,A,"The Sequence Activities process has the following four inputs: ● Project management plan ● Project documents (e.g., activity list, activity attributes, milestone list) ● Enterprise environmental factors ● Organizational process assets The process is where the relationships among the project activities are identified and documented."
131,Which of the following outputs corresponds to the appropriate process? Top of Form,,Project charter: Plan Resource Management,Team performance assessments: Manage Team,Change requests: Develop Team,Resource requirements: Acquire Resources,C,"Change requests may result from the Manage Team process. In the Project Resource Management Knowledge Area, change requests are also outputs of the Acquire Resources, Develop Team, and Control Resources processes."
132,Which of the following is typically not addressed as part of the roles and responsibilities in the resource management plan? Top of Form,,Assigned function,Authority,Compensation,Competence,C,"The Plan Resource Management process has three outputs: the resource management plan, the team charter, and project document updates. A major component of the resource management plan is to provide guidance on resource roles and responsibilities, which typically cover four items: role, authority, responsibility, and competency. Salary or compensation is part of cost estimates for all resources but falls in the Project Cost Management Knowledge Area."
133,Which of the following is a tool or technique used in the Develop Project Management Plan process? Top of Form,,Data analysis,Decision making,Interviews,Document analysis,C,"The Develop Project Management Plan has the following four tools and techniques: ● Expert judgment ● Data gathering (e.g., interviews) ● Interpersonal and team skills ● Meetings Develop Project Management Plan is the process of defining, preparing, and coordinating all plan components and consolidating them into an integrated project management plan."
134,Which of the following is an input to the Develop Schedule process? Top of Form,,Agreements,Project schedule,Issue log,Schedule network analysis,A,"The Develop Schedule process is defined as ""the process of analyzing activity sequences, durations, resource requirements, and schedule constraints to create the project schedule model for project execution and monitoring and controlling"". The Develop Schedule process has the following five inputs: ● Project management plan ● Project documents ● Agreements ● Enterprise environmental factors ● Organizational process assets"
135,Which of the following is not an input to the Control Schedule process? Top of Form,,The status of activities,Project calendars,Scheduling software,Monitoring and reporting methods to be used,C,"The Control Schedule process is where the status of the project is monitored to update the project schedule and manage changes to the schedule baseline. The process has the following four inputs: ● Project management plan ● Project documents (e.g., project calendars) ● Work performance data (e.g., the status of activities) ● Organizational process assets (e.g., monitoring and reporting methods to be used)"
