No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
46,Following is a table containing information about the activity durations in days and predecessor activities on a project schedule. What is the critical path?,images\test_3\q_46.png,Start-A-D-G-I-Finish,Start-A-B-C-G-Finish,Start-D-E-F-G-Finish,Start-D-H-I-Finish,C,"The critical path is the sequence of activities that represents the longest path on a project, which also represents the shortest possible duration of a project. Given the details of each activity's predecessor in the activity list shown, you can use the precedence diagramming method to create a project schedule network diagram as shown below. The durations from the activity list table included in the question are mapped to each activity node. With practice, you can save time by just listing the paths that exist for the activities on the project. Following are paths for this scenario with the sum of their durations. Now that you know each of the project schedule network paths and their respective lengths, determining the critical path is easy since you simply select the longest path. In the scenario provided, the longest path is Start-D-E-F-G-Finish with a length of 17 days, making it the critical path."
47,"After applying various data gathering techniques to determine quality requirements on a bridge construction project, it was determined that the concrete bridge members must have a compressive strength of at least 10,000 pounds per square inch (PSI). What should the project manager do next?",,Perform an inspection of the concrete bridge members,Issue a change request,Produce test and evaluation documents,Plan test and inspection activities,D,"Plan Quality Management is the process of identifying quality requirements and/or standards for the project and its deliverables, and documenting how the project will demonstrate compliance with quality requirements and/or standards. The scenario describes activities to determine quality requirements on a bridge construction project, thus implying that the Plan Quality Management process is being carried out. The quality management plan is the main output of this process. During project planning, the project manager and project team determine how to test or inspect the project deliverables to meet the stakeholders' needs and expectations, as well as how to meet the goal for the product's performance and reliability. The project team will need to define the strength tests that will be used. Of the available options, only test and inspection activities are determined during project planning, and the other options describe activities that are conducted during project execution or monitoring and controlling. Note, the understanding of the technical details provided in the scenario is not required to answer this question."
48,"You are taking over a project after your predecessor was terminated. The reason for termination was that the previous project manager used templates from a former employer to develop the project management plan, and those templates were the intellectual property of the former employer. You now have to rewrite the previously approved project management plan based on the project repository of your organization. After the change request is approved, in what process group will you implement this change?",,"Initiating, because rewriting the project management plan essentially means starting the project","Planning, because you are rewriting the project management plan and are going to obtain new","Executing, because you are implementing an approved change request to rewrite the project","Closing, because you have to terminate activities that were executed based on an invalid project",C,"Change requests can be initiated throughout the project and then either approved, deferred, or rejected as part of the Perform Integrated Change Control process. There are only three processes where the resulting approved change requests are an input: Direct and Manage Project Work, Control Quality, and Control Procurements. However, it is during the Direct and Manage Project Work process, part of the Executing Process Group, where the approved change requests are implemented. The two other processes that have approved change requests as an input, Control Quality, and Control Procurements, are carried out for the purpose of verifying that the changes were implemented effectively. However, the implementation itself is not part of these two processes. While the violation of the PMI Code of Ethics and Professional Conduct is not related to the selection of the correct answer, that part of the question refers to the value of Responsibility, which reads, ""We protect proprietary or confidential information that is entrusted to us."" We do not take or abuse the property of others, including intellectual property."
49,A new program manager takes over a program and wants to review the original start dates as well as anticipated end dates for all projects in the program. What document should the program manager request from each project?,,Project scope statement,Activity attributes,Schedule management plan,Project charter,D,A project charter is the main output of the Develop Project Charter process. This process is
50,"In a large-scale corporate restructuring project for a multinational company, the project team consists of operations and human resource managers from each of the 13 countries, where the company has bases of operation. As it pertains to managing the project team, which tailoring consideration is the least important?",,Diversity,Physical location,Management of team,Earned value management,D,"The question implies that the Manage Team process is underway, which is one of the processes associated with the Project Resource Management Knowledge Area. All but one of the answer choices represent tailoring considerations typically related to resource management. Keep in mind that the question is asking which tailoring consideration is 'least' important to managing the project team. Earned value management represents a tailoring consideration more typically associated with the Project Cost Management processes rather than the Project Resource Management processes. All the incorrect answer choices represent tailoring considerations, which apply to managing a project team comprised of 13 different nationalities. Therefore, of the available options, earned value management is the best answer to the question asked."
51,"Your sponsor has committed to building a high-speed rail from one major inland city, Azules, to the coast. You have two possible routes, either Brazos or Corazon. You draw a decision tree that considers each route's costs, odds, and rewards of high demand and low demand. At this point, you do not want to calculate the expected monetary value. Rather, you want to find the net path value of each route to Brazos. How would you quantify the two net path values of the route to Brazos?",images\test_3\q_51.png,22 billion and 16 billion,2 billion and -4 billion,9.6 billion and 1.2 billion,1.6 billion and 0.8 billion,B,"The net path value is an important calculation in quantifying the expected monetary value when performing decision tree analysis as part of the Perform Quantitative Risk Analysis process. Note, the net path value is different from the expected monetary value (EMV). The calculation of the EMV takes into account the probabilities of each branch, while the net path value simply subtracts the investment (which is typically expressed as a negative value) from the value of the node (which is typically expressed as a positive value). The net path value is used in the formula for estimated monetary value for each decision. Also note, the net path value is not to be confused with the net present value. Remember: when you net something, you should consider both positive and negative flows. In a decision tree, the formula to compute net path value is to subtract the path reward minus the cost of the decision. Below is the completed decision tree with all the net path values and the resulting expected monetary value of each choice. Since the path with the largest expected monetary value is the Brazos route at 0.8 billion, that is the best choice."
52,"A construction project has been broken down into overlapping phases, including building design, site selection, construction, and transition phases. The deliverables for the first phase include architectural drawings, a scale model of the building, and a computer-animated virtual walkthrough. A project team completed the architectural drawings and the scale model, which have been accepted. But the computer animation was outsourced to a vendor and has been delayed by several weeks. What should the project manager do next?",,Have the project team work on the site selection phase,Perform the Close Project or Phase process for the first phase,Perform the Validate Scope process of the first phase,Wait for the vendor to complete the computer animation before proceeding,A,"A project phase is a collection of logically related project activities that culminates in the completion of one or more deliverables. In this scenario, the deliverables for the first phase include architectural drawings, a scale model of the building, and a computer-animated virtual walkthrough. Project phases may be sequential, iterative, or overlapping. When the phases are to be performed sequentially, a phase must be completed before the subsequent phase can begin. However, the question states that the phases in this scenario are overlapping. Therefore, the project manager can keep the project moving forward by having the project team work on the site selection phase while the vendor completes work on the final deliverable of the first phase."
53,Which of the following best describes interviews when they are used as part of the Plan Quality Management process?,,Should be conducted in an environment of trust and confidentiality,Useful for comparing the project's quality standards to those of comparable projects,Can be used to gather data creatively from a group of participants,Will be helpful in determining if planned quality activities are cost-effective,A,"Interviews are an example of a data gathering technique that can be used during the Plan Quality Management process to collect project and product quality needs and expectations. Project and product quality needs and expectations, implicit and explicit, formal and informal, can be identified by interviewing experienced project participants, stakeholders, and subject matter experts. Interviews should be conducted in an environment of trust and confidentiality to encourage honest and unbiased contributions. The incorrect answer choices describe characteristics of other tools and techniques associated with the Plan Quality Management process. Note, interviews should be conducted in an environment of trust and confidentiality regardless of the process in which they are to be used."
54,"The goal of the project is to construct chemical test boxes for two oil and gas exploration sites. Much of the equipment used in this industry is standardized, and as a licensed chemical engineer, the project manager had produced similar chemical apparatus before in her previous role. How should the project manager best estimate the required project resources to be as efficient as possible with her limited time?",,The project manager should not estimate anything until she has firm quotes from vendors in hand,The project manager should take the best guess now and take corrective action as the project,The project manager should ask senior management for their opinion.,The project manager should use her own expert judgment as well as analogous estimating to,D,"The scenario suggests that the project manager is about to carry out the Estimate Activity Resources process. This process relies on several tools and techniques to produce accurate estimates, such as expert judgment and analogous estimating. There are various clues given in the question text: the project manager is licensed (which indicates a standard for knowledge and expertise), has specific industry experience, and the equipment is standardized. In this case, applying the project manager's expert judgment as well as analogous estimating are the most efficient use of time during the planning stage of the project."
55,"After completing all the planning processes, acquiring the project team, and creating some of the deliverables, one of the key project team members is injured in a car accident. The team member will not be available for the rest of the project. What should the project manager do?",,Do nothing. It is an issue that occurred and should be accepted.,Ask the rest of the team members to work extra hours,Terminate the project as the key project team member is missing,Submit a change request,D,"The project is in its executing phase. Loss of the key project team member during the project execution would negatively affect the project performance, typically leading to the schedule to be extended or the budget to be exceeded. Ideally, the project manager would want to immediately acquire another team member with the same level of skills and experience as the one that became unavailable. However, this option is not given as an answer choice. Therefore, the only viable alternative among the choices given is to submit a change request to update the project management plan, specifically the Resource Management Plan and other project documents such as roles description and project staff assignments, to reflect the changes in the staffing and propose a potential solution."
56,"A project manager is currently in the process of determining, documenting, and managing stakeholder needs and requirements. Due to the sensitive nature of the project, there is a concern that some stakeholders will not provide candid feedback unless confidentiality is maintained. What is the project manager's best course of action?",,Use brainstorming to generate and collect multiple ideas related to project requirements,Conduct interviews to elicit information from stakeholders by talking to them directly,Hold a focus group to learn about stakeholder expectations and attitudes about the project,Use multicriteria decision analysis to provide a systematic analytical approach for establishing,B,"The question suggests that the project manager is performing the Collect Requirements process, which is the process of determining, documenting, and managing stakeholder needs and requirements to meet project objectives. In support of this process, the project manager will need to employ data gathering techniques to elicit feedback from the stakeholders to determine their needs and requirements. The question suggests that the project manager needs to use a data gathering technique where the responses will remain confidential. An interview is a formal or informal approach to elicit information from stakeholders by talking to them directly. Of the available choices, conducting interviews is the best tool for the project manager to use to obtain confidential information."
57,"While executing a project to develop a new computer game, the project manager determines that support for the project is waning among some of the key stakeholders. In order to recapture the stakeholders' initial enthusiasm, the project manager arranges an event for the stakeholders to experience the components of the game that have already been developed. Based on the feedback received, the event was an effective way to keep stakeholders engaged. What should the project manager do next?",,Update the risk register,Revise the communications management plan,Record the information in the lessons learned register,Submit a change request to update the lessons learned repository,C,"The question suggests that the project manager is performing the Manage Stakeholder Engagement process, and updates to the lessons learned register is one of the outputs of this process. The lessons learned register should be updated with effective or ineffective approaches to managing stakeholder engagement so that the knowledge gained can be used in the current project or future projects. In this scenario, the project manager should capture the stakeholder event as a best practice for use later in the current and future projects. Of the available choices, recording the information in the lessons learned register is the best answer to the question asked."
58,"You are managing a software development project, and you want to increase support from stakeholders on your project. A member of your project team suggests creating a weekly podcast as an innovative way to share project progress with stakeholders. What should you do to find out if this method can be used to share the information with the stakeholders?",,Read the change management plan,Review the stakeholder engagement plan,Look in the communications management plan,Ask the company's communication manager,C,"The question implies that you are performing the Manage Stakeholder Engagement process. The communications management plan is one of the components of the project management plan that serves as an input into this process. The communications management plan describes the methods, formats, and technologies used for stakeholder communication. To understand if the weekly podcast complies with these methods, formats, and technologies and whether or not it can be used to share the project progress with the stakeholders, the project manager should review the communications management plan."
59,A project manager combined and recorded work performance information. The project manager wants to share it with the project stakeholders to raise awareness and generate decisions and actions. Which of the following is the best course of action for the project manager to take to achieve this goal?,,Document this information in the lessons learned knowledge base,Present this information at the kick-off meeting in front of the key project stakeholders,Distribute this information in the form of work performance reports,Send this information to the project sponsor and request their approval,C,"Work performance reports are a physical or electronic representation of work performance information compiled in project documents. Work performance reports are one of the outputs from the Monitor and Control Project Work process as well as one of the inputs into several project management processes. Work performance reports are created by combining and recording work performance information and then distributed by the project manager among the project stakeholders. The main purpose of the work performance reports is to raise awareness and generate decisions and actions. Therefore, distributing combined and recorded work performance information in the form of work performance reports is the best answer to the question asked."
60,"On a project, a structural component was found to contain a defect and does not meet regulatory requirements. A change request to repair the defect has been approved and is ready for implementation. What should you do next?",,Complete the Control Quality process,Perform the Implement Risk Responses process,Carry out the Perform Integrated Change Control process,Conduct the Direct and Manage Project Work process,D,"Approved change requests are an output of the Perform Integrated Change Control process and include those requests reviewed and approved for implementation by the project manager or by the change control board (CCB) when applicable. The approved change requests may be a corrective action, a preventive action, or a defect repair. Approved change requests serve as an input into the Direct and Manage Project Work process and are scheduled and implemented by the project team as part of this process. Therefore, of the available choices, the next step for the project team to implement the defect repair is to conduct the Direct and Manage Project Work process."
61,"A project manager is implementing the quality management plan for a project to construct a natural gas pipeline. During this process, an internal audit discovers that while the project meets all applicable government regulations, there is a discrepancy with ISO 9000 criteria. Which tailoring consideration did the project manager most likely neglect earlier in the project?",,Continuous improvement,Standards and regulatory compliance,Project life cycle,"Since the project meets all applicable government regulations, nothing was missed earlier in the",B,"The question implies that the project manager is performing the Manage Quality process by implementing the quality management plan. Tailoring considerations for the quality management processes include standards and regulatory compliance, among others. The question states that an internal audit uncovered a discrepancy with International Organization for Standardization (ISO) 9000 standards. ISO 9000 represents a set of industry standards, which are widely followed by organizations. Many organizations have policies requiring adherence to ISO quality standards as an ISO certified organization. The tailoring consideration of standards and regulatory compliance includes industry standards of which ISO 9000 is an example. The fact that the discrepancy was uncovered during an internal audit implies that the performing organization complies with ISO 9000 standards. Otherwise, there would be no reason to include this review in an audit. Therefore, of the available choices, the project manager most likely neglected the tailoring consideration of standards and regulatory compliance earlier in the project."
62,"A key team member has left the project, and the planned risk response is implemented by replacing the team member with an individual that is very capable and highly productive. However, the project manager now feels there is a risk that the productivity of the team may suffer as a result of not having an established working relationship with the replacement team member. This new risk is an example of which type of risk?",,Residual risk,Risk enhancement,Secondary risk,Reserve risk,C,"
A secondary risk is a risk that arises as a direct result of implementing a risk response. The risk that the other team members' productivity may decrease emerged as a result of implementing the risk response for the loss of the original team member. So in this scenario, what is described by the question is a secondary risk."
63,"On a project, two change requests were recently submitted for review and approval. One change request was submitted to repair a defective system. The other change request was submitted to modify the terms and conditions of a contract with one of the suppliers. Both of the change requests have been reviewed and approved by the change control board (CCB). Which of the following processes is least likely to be performed as a result of the approved change requests?",,Direct and Manage Project Work,Control Quality,Perform Integrated Change Control,Control Procurements,C,"Approved change requests are an output of the Perform Integrated Change Control process. Once the change request has been approved, the Perform Integrated Change Control process is complete, and there is nothing more that needs to be done in this process pertaining to the approved change request. The approved change requests are then implemented through the Direct and Manage Project Work process. In the case of a defect repair, once the repair has been completed, the Control Quality process is performed to verify the repair has been correctly done. In case of the modifications to the terms and conditions of the contract, the change request is implemented as part of the Control Procurements process. Therefore, of the available choices, the Perform Integrated Change Control process is the least likely to be conducted at this point in the scenario."
64,"A project manager wants to ensure that the resources assigned and allocated to the project are available as planned. In order to complete this process, the project manager has to know when resources are needed, and the location where they are needed. What project document is the best source for this information?",,Project schedule,Resource requirements,Physical resource assignments,Project charter,A,"The question suggests that the project manager is conducting the Control Resources process. The project schedule is one of the inputs into the Control Resources process. As it relates to the Control Resources process, the project schedule shows the resources that are needed, when they are needed, and the location where they are needed. The project schedule is the document the project manager needs to review in this case."
65,"You are in the execution stage of a project to create a new order entry system. As you perform quality assurance for the new system, defects are reported in the process of performing sales transactions. How might you use the diagram below in this process?",images\test_3\q_65.png,Show the relationship between two variables,Break down the causes of the identified problem statement into discrete branches to identify the,Show the number of defects per transaction type,Show a series of steps that lead to a defect,D,"The question implies that the Manage Quality process, sometimes referred to as quality assurance, is being carried out. Flowcharts are one of the tools and techniques that may be used during the Manage Quality process. Flowcharts display the sequence of steps and the branching possibilities that exist for a process that transforms one or more inputs into one or more outputs. Of the available choices, the diagram shown in the question can be best described as a flowchart. A flowchart can show the series of steps that lead to a defect, making it useful for the Manage Quality process in general and for the scenario described in the question in particular."
66,The project manager is conducting a meeting to gain approval for the project management plan. The project sponsor notices that a component that was always included in the project management plans of previous projects is missing from the current plan and requests that the project manager add the component to the plan. How should the project manager respond?,,Ignore the sponsor's request since the project management plan is the responsibility of the,Explain that the needs of the project determine which components of the project management,Update the plan as requested by the project sponsor since the plan's components are determined,Ask the meeting participants to vote for those components of the project management plan they,B,"The needs of the project determine which components of the project management plan are needed. Some projects may not require all of the possible components of the project management plan, and their inclusion would be superfluous. In these cases, the project manager should determine the needs of the project and build a project management plan with the appropriate level of detail. Creating an overly elaborate project management plan is not an effective use of project resources."
67,"A project manager is leading a research and development project. The value of the work completed on the project thus far is $450,000, and the cost baseline is $2,000,000. At this point in the project, you have spent 22% of the budget at completion (BAC). The value of work planned to be completed at this point is $475,000. Based on this information, which of the following is not true?",,The SPI is 0.95,The CPI is 1.02,"The SV is $25,000","The CV is $10,000",C,"In order to answer the question correctly, the schedule performance index (SPI), cost performance index (CPI), schedule variance (SV), and cost variance (CV) must be accurately calculated based on the information provided. The earned value (EV) is stated as $450,000. The planned value (PV) is stated as $475,000. The actual cost (AC) is 22% of the budget at completion (BAC), which is 22% of $2,000,000 or $440,000. Note that the BAC is represented by the cost baseline. The formulas and calculations for each of the earned value measurements are as follows: SPI = EV / PV = $450,000 / $475,000 = 0.95 CPI = EV / AC = $450,000 / $440,000 = 1.02 SV = EV - PV = $450,000 - $475,000 = -$25,000 CV = EV - AC = $450,000 - $440,000 = $10,000 Note, the question is asking select an answer choice that represents a false statement. In this case, three out of four choices are correct. The exception is the schedule variance which is displayed as $25,000 while the correct value is -$25,000. Therefore, the schedule variance (SV) is calculated incorrectly making it the correct answer choice."
68,"The specifications call for a component to be 4.5 mm in thickness with specification limits set at 4 mm and 5 mm respectively. After producing the first batch, the thickness of the parts is measured and recorded on a control chart. Based on the chart below, what can be said about this process?",,In control since all of the measurements are between 4 mm and 5 mm,"Out of control based on the measurement of 4.1 mm, and corrective action should be taken","Out of control based on the rule of seven, and corrective action should be taken",In control because the average thickness is between 4.2 mm and 4.8 mm,B,"Control charts are used to determine whether or not a process is stable or has predictable performance. Upper and lower specification limits are based on the requirements and reflect the maximum, and minimum values allowed. Upper and lower control limits are different from specification limits. The control limits are determined using standard statistical calculations and principles to establish the natural capability for a stable process. The project manager and appropriate stakeholders may use the control limits to identify points at which corrective action should be taken to prevent performance that remains outside the control limits. In this scenario, one of the parts has a thickness of 4.1 mm which is below the lower control limit (LCL) of 4.2 mm; therefore, the process is out of control, and corrective action should be taken. While the topic of this question is only briefly mentioned in the PMBOK® Guide, the Project Management Professional (PMP)® Examination Content Outline, June 2015, covers knowledge and skills with which PMP aspirants are expected to be familiar. Various quality measurement tools and techniques are among these knowledge and skills."
69,"During an executive review meeting, the project manager is discussing the impact of various risk elements and presents an S-curve to represent the range of uncertainty for the total project cost. One of the executives interrupts the presentation with concerns that there is an 85% chance that the project will cost $2.45 million or greater, which is over budget. How should the project manager respond?",images\test_3\q_69.png,"Agree with the executive, but explain that this is what the risk model shows",Explain that there is an 85% chance the project will cost $2.45 million or less,Explain that there is an 85% chance the project will come in under budget,Suggest that a change request be submitted to increase the project budget,B,"The question describes an S-curve for a project where the range of uncertainty of the project costs is presented. An S-curve is a cumulative probability distribution representing the probability of achieving any particular outcome or 'less'. This curve can be created using a Monte Carlo simulation, which is an example of a data analysis technique used in the Perform Quantitative Risk Analysis process. In the scenario described, the executive apparently has misinterpreted the S-curve chart by stating that there is an 85% chance that the project will cost $2.45 million or 'greater' while the idea behind the S-curve is to show that the probability of achieving any particular outcome will be 'less' than as indicated by the S-curve, i.e. $2.45 million or less. Therefore, saying that there is an 85% chance the project will be less than that cost is what the project manager should explain to the executive."
70,A project manager has just received a signed formalized document as an output from one of the initiation processes in her project. This document was prepared by someone external to the project and will be utilized as a catalyst for the project to move forward. Which of the following describes this document?,,The business case,The scope statement,The project charter,The approved project plan,C,"The project charter is a document developed during the Initiating Process Group that formally authorizes the existence of a project and provides the project manager with the authority to apply organizational resources to project activities. In other words, the project charter is utilized as a catalyst for the project to move forward which is what is described in the scenario. The project charter is typically developed by an entity external to the project, such as the project initiator or sponsor, and is the primary output of the Develop Project Charter process. For these reasons, the project charter is the best answer to the question asked."
71,The cost baseline for the project you are leading has just been finalized and approved. Which of the following will require approval if it were to become a part of the cost baseline?,,Contingency reserves,Management reserves,Individual activity costs,Resource costs,B,"The key to interpreting and correctly answering this question is to notice that the question asks, ""Which of the following will require approval if it were to become a part of the cost baseline?"" Initially, the cost baseline does not contain management reserves. Management reserves are added to the cost baseline to produce the overall project budget. However, the cost baseline does not necessarily remain static; it changes according to project conditions and approved changes. If there is a situation that requires the use of management reserves after the cost baseline has been approved, the change control process is used to obtain approval to move the required part of management reserves into the cost baseline."
72,"A project manager needs to secure a vendor to supply the avionics for a new line of small aircraft. There are only two vendors that are capable of meeting the requirements based on the procurement statement of work, and only one of the vendors has responded to a request for proposal (RFP). The project manager needs to evaluate the vendor’s proposal. Which procurement document would provide a reasonableness check against the proposal submitted by the vendor?",,Bid documents,Proxy estimates,Independent cost estimates,Bidder conference,C,"The scenario described in the question indicates the project manager only received one proposal. With only one proposal it will be difficult to determine if the proposal is reasonable to produce the requirements from the procurement statement of work. In this scenario, an independent cost estimate would be of value to compare against the proposal. The independent cost estimate will also be helpful when conducting negotiations with the vendor."
73,You are managing a project that is nearing completion. You have asked one of your team members to collect status reports from your six vendors and add them to the lessons learned register and project management information system so that your project team can use these status reports for continuous improvement purposes. What process are you in?,,Manage Communications,Control Procurements,Conduct Procurements,Close Procurements,B,"Control Procurements is the process of managing procurement relationships, monitoring contract performance, and closing out contracts. In this scenario, the project manager is conducting performance reviews (in the form of status reports) to monitor the contract performance of his six vendors for the purposes of gathering work performance information and capturing lessons learned. Updates to the lessons learned register is one of the key outputs of the Control Procurements process."
74,"You are leading a meeting with the project sponsor and key stakeholders to review the recently completed project management plan. The goal of the meeting is to establish a common understanding of the plan, answer any questions or concerns, and gain formal approval of the project management plan. Which of the following interpersonal and team skills is the least beneficial to the project manager to use to achieve the meeting’s goal?",,Conflict management,Facilitation,Meeting management,Team building,D,"The question is asking to select an answer choice that represents the interpersonal and team skill which is least likely to be useful to the project manager in gaining approval for the project management plan. Conflict management, facilitation, and meeting management are all skills which will be essential for the project manager to use when presenting the project management plan to the stakeholders to gain approval for the project management plan. Team building is among the interpersonal and team skills typically used during the Develop Team process. Team building refers to a set of activities that enhance the team's social relations and build a collaborative and cooperative working environment. Of the choices provided, team building is less beneficial for the project manager in gaining approval for the project management plan, and is, therefore, the best answer to the question asked."
75,"A project is nearing the completion of its first phase. The project has been very well run, and the phase will wrap up on budget and schedule with no changes to the baselines. The customer is happy and eager to start phase two. Which of the following is not likely to happen?",,Updating the lessons learned register,Reviewing the change log,Reviewing the issue log,Updating the basis of estimates,D,"The basis of estimates includes supporting documentation outlining the details used in establishing project estimates such as assumptions, constraints, level of detail, ranges, and confidence levels. The basis of estimates is established during project planning and is not likely to be revised when the project or phase is being closed out. The basis of estimates is an input to the Close Project or Phase process as a reference for the evaluation of performance, but not so the basis of estimates can be updated."
76,"A project manager has submitted a change request which was reviewed and approved by the change control board (CCB). However, the committee chairperson overrules the decision and denies the change request on the basis of its budget and schedule impacts. How can the project manager verify if the chairperson has this authority?",,Check the project team assignments,Review the responsibility assignment matrix,Research the work breakdown structure,Examine the change management plan,D,"The project manager needs to verify whether or not the chairperson had the authority to overrule the CCB's decision on the change request. The responsibility assignment matrix, work breakdown structure, and project team assignments contain information about project roles and responsibilities, but not specifically about the change control process. For that information, the project manager should consult the change management plan, which is specifically designed to provide direction for managing the change control process and documenting the roles and responsibilities of the CCB. The change management plan would specify the number of people needed to pass a vote, who has the authority to break ties when voting on change requests, and who may have the ability to overrule the committee. Therefore, the change management plan would be the best document to reference for verification of the chairperson's scope of authority."
77,"Your project has been in execution for one month, and you have performed earned value analysis (EVA) to determine how the project is performing compared to the cost baseline. Which of the following is the result of your efforts?",,Work performance data,Work performance reports,Work performance information,Performance measurement baseline,C,"The scenario implies you have conducted the Control Costs process and used earned value analysis (EVA) as a tool to determine how the project has been performing compared to the cost baseline. Work performance data such as AC, PV, and BAC are used to generate work performance information such as cost variance (CV), the cost performance index (CPI), or the estimated budget at completion (EAC). The resulting work performance information will assist the project manager to determine how the project is performing compared to the cost baseline. Work performance information is among the outputs of the Control Costs process."
78,"You are a project team member on a project being managed by one of the senior project managers in your company. You are responsible for quality management of the project. You have found that some of the planned quality testing procedures are not consistently detecting the issues they were planned to detect. If these procedures are not corrected, the project may end up failing or require a lot of rework. What is the best way for you to deal with this situation?",,Do nothing as it's the project manager's responsibility to rectify problems,Issue a change request for the recommended changes to the quality processes,Talk to the project manager and ask her to rectify the situation,Report your findings to the project sponsor,B,"The scenario suggests you are in the Manage Quality process which focuses on whether the processes established in the quality management plan are adequate in meeting the quality requirements needed to satisfy the customer. The quality testing procedures described in the scenario that are providing inconsistent results are part of the quality management plan. If corrective actions to some of the planned quality testing procedures are required to ensure the project finishes successfully, then a change to the quality management plan is needed. Since the quality management plan is a component of the project management plan, any modification first requires an approved change request. Therefore, since you are responsible for quality management for the project, you should follow your company's change control process by issuing a change request for corrective action to the procedures in question."
79,You have just received an e-mail message that four project team members are arguing over project roles and there is confusion over who is in charge of what work. You decide that the team needs a way to clearly indicate project roles with respect to project activities. What is the best solution to this problem?,,"Create a framework to help the team restrain, ascertain, constrain, and explain project roles.","
Determine who is responsible, who is accountable, who should be consulted, and who simply needs to be informed about project activities.",Let the team naturally decide who does what.,"The team should rate, allocate, correlate, and integrate project activities.",B,"The question implies that the Plan Resource Management process is underway. Data representation techniques that can be used for this process include but are not limited to charts. In this scenario, a RACI chart quickly and efficiently identifies which team member or stakeholder is responsible or accountable for project activities and who should be consulted or informed about project work."
80,"The director of new business development has assigned you as the project manager, as well as pre-assigned project team members. You want to know more about the project, but all you have received so far was an email from your department manager with little detail about the project. In order to learn more about the project, which of the following options would be your best course of action in this situation?",,Interview the director of new business development,Hold a brainstorming session with your team members,Identify other stakeholders who will be impacted by the project,Obtain organizational process assets from the project management office,A,"It is your duty as project manager to thoroughly understand the project purpose, objective, its alignment with company strategy, and the conditions you will be operating under so that you can effectively manage the project. The director of new business development who initiated the project appears to be the project sponsor. During project initiation, project sponsors typically possess the most knowledge about the project. A conversation with the project sponsor would most likely provide you with the information you need at this point to understand the project on a high level. Therefore, of the choices provided, interviewing the director of new business development is the best course of action in this situation."
81,You and your project team are developing a comprehensive list of individual project risks and sources of overall project risk. The team is performing data analysis to identify threats by starting with a problem statement and exploring which threats might result in the problem occurring. The project team is finding that the use of a why-why diagram is especially useful for this analysis. Which data analysis technique is being used by the project team?,,Root cause analysis,Sensitivity analysis,Regression analysis,Reserve analysis,A,The question implies that the project team is performing the project management process of Identify Risks. Root cause analysis is a data analysis technique that is used in the Identify Risks process. Root cause analysis is typically used to discover the underlying causes that lead to a problem and develop preventive action. It can be used to identify threats by starting with a problem statement and exploring which threats might result in that problem occurring. Root cause analysis is the data analysis technique the project team is using in this situation.
