No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Hint,Explanation,Details for Answer A,Details for Answer B,Details for Answer C,Details for Answer D
47,"The Estimate Costs process has three outputs, including: ● Cost estimates ● Project documents updates Which of the following outputs is missing from the list?",,Cost management plan,Resource requirements,Basis of estimates,Organizational process assets updates,C,Estimate Costs is the process of developing an approximation of the monetary resources needed to complete project activities. Correct Answer: C,"Estimate Costs is the process of developing an approximation of the monetary resources needed to complete project work. It has the following three outputs: ● Cost estimates ● Basis of estimates ● Project document updates (assumption log, lessons learned register, and risk register) ---",Cost management planIncorrect. The cost management plan is an input that describes estimating methods that can be used and the level of precision and accuracy required for the cost estimate.,Resource requirementsIncorrect. Resource requirements is an input that identifies the types and quantities of resources required for each work package or activity.,Basis of estimatesCorrect. The basis of estimates documents how the estimates were established. The basis of estimates is a critical output of the Estimate Costs process.,Organizational process assets updatesIncorrect. The PMBOK® Guide does not identify any organizational process assets or OPAs to update.
48,Which of the following is a tool or technique of the Estimate Activity Durations process?,,Decomposition,Activity attributes,Parametric estimating,Facilitated workshops,C,What is the purpose of the Estimate Activity Durations process? Correct Answer: C,The Estimate Activity Durations Process is where the number of work periods needed to complete individual activities with the estimated resources are estimated. This process has the following eight tools and techniques: ● Expert judgment ● Analogous estimating ● Parametric estimating ● Three-point estimating ● Bottom-up estimating ● Data analysis ● Decision making ● Meetings ---,"DecompositionIncorrect. Decomposition is a technique used for dividing and subdividing the project scope into smaller, more manageable parts. Decomposition is performed during the Define Activities process, which precedes the Estimate Activity Durations process.",Activity attributesIncorrect. Activity attributes are considered a project document and are inputs to the Estimate Activity Durations process rather than a tool or technique.,Parametric estimatingCorrect. Parametric estimating is an estimating technique used in the Estimate Activity Durations process in which an algorithm is used to calculate duration based on historical data and project parameters.,Facilitated workshopsIncorrect. Facilitated workshops are an example of the interpersonal and team skills tool and technique and are not listed in the PMBOK® Guide as a tool and technique used in the Estimate Activity Durations process.
49,"The Perform Quantitative Risk Analysis process has five tools and techniques, including: ● Data gathering ● Expert judgment ● Interpersonal and team skills ● Data analysis Which of the following tools and techniques is missing from the list?",,Representations of uncertainty,Statistical sampling,Cost-benefit analysis,Assumption and constraint analysis,A,Perform Quantitative Risk Analysis is the process of numerically analyzing the effect of identified risks and other sources of uncertaintyon overall project objectives. Correct Answer: A,"Perform Quantitative Risk Analysis is the process of numerically analyzing the effect of identified individual project risks and other sources of uncertainty on overall project objectives. This process has five tools and techniques, including: ● Data gathering --- ● Expert judgment ● Representations of uncertainty ● Interpersonal and team skills ● Data analysis","Representations of uncertaintyCorrect. Representations of uncertainty is a technique employed during the Perform Quantitative Risk Analysis process that enables a variety of different ways to represent uncertainty for planned activities, including probability distributions (such as triangular, normal, lognormal, beta, uniform, and discrete), as well as probabilistic branches.",Statistical samplingIncorrect. Statistical sampling is a technique used during the Control Quality process to choose a limited part of a population for inspection. It is not a tool or technique used in the Perform Quantitative Risk Analysis process.,"Cost-benefit analysisIncorrect. Although cost-benefit analysis is a technique used during the Plan Risk Responses process, it is not used during the Perform Quantitative Risk Analysis process.",Assumption and constraint analysisIncorrect. Assumption and constraint analysis is a technique used during the Identify Risks process to explore the validity of assumptions and constraints. It is not a tool or technique used in the Perform Quantitative Risk Analysis process.
50,Which of the following processes uses expert judgment as a tool and technique?,,Validate Scope,Develop Schedule,Develop Team,Develop Project Management Plan,D,Expert judgment is a commonly used tool and technique in the Planning Process Group. Correct Answer: D,"The Develop Project Management Plan is the process of defining, preparing, and coordinating all plan components and consolidating them into an integrated project management plan. This process has the following four tools and techniques: ● Expert judgment ● Data gathering ● Interpersonal and team skills ● Meetings","Validate ScopeIncorrect. The Validate Scope process uses the tools and techniques of inspection and decision making, but not expert judgment.","Develop ScheduleIncorrect. The Develop Schedule process uses eight tools and techniques, but expert judgment is not one of them.","Develop TeamIncorrect. While the Develop Team process uses eight tools and techniques, expert judgment is not among them.",Develop Project Management PlanCorrect. Expert judgment is one of the tools and techniques used in the Develop Project Management Plan process.
51,What enterprise environmental factors can influence the Estimate Activity Resources process?,,Duration estimating databases,Staffing policies and procedures,"Resource location, availability, and skill",Productivity metrics,C,"Consider what choice is actually an EEF that would help identify the type and quantities of human resources, materials, equipment, and supplies necessary for members of your project teams to complete project activities in the environment where they work. Correct Answer: C","Resource location, resource availability, and skills are all enterprise environmental factors that can influence the Estimate Activity Resources process, along with organizational culture, published estimating data, and marketplace conditions. These factors help to identify the type and quantities of human resources, materials, equipment, and supplies necessary for members of your project teams to complete project activities in the environment where they work. ---","Duration estimating databasesIncorrect. Duration estimating databases are an EEF that influence the Estimate Activity Durations process, but not the Estimate Activity Resources process.","Staffing policies and proceduresIncorrect. Staffing policies and procedures are not enterprise environmental factors, but organizational process assets.","Resource location, availability, and skillCorrect. Resource location is an EEF that serves as an input to both the Estimate Activity Durations and Estimate Activity Resources processes, and resource availability is an EEF that serves as an input to Estimate Activity Durations process.","Productivity metricsIncorrect. Productivity metrics are an EEF that influence the Estimate Activity Durations process, but not the Estimate Activity Resources process."
52,Which of the following is a tool or technique of the Manage Quality process?,,Quality metrics,Problem solving,Reserve analysis,Meetings,B,The Manage Quality process is concerned with product design and process improvements. Correct Answer: B,The Manage Quality process has the following eight tools and techniques: ● Data gathering ● Data analysis ● Decision making ● Data representation ● Audits ● Design for X ● Problem solving ● Quality improvement methods ---,Quality metricsIncorrect. Quality metrics are inputs to the Manage Quality process. They are not classified as a tool or technique.,"Problem solvingCorrect. Effective and systematic problem solving is a fundamental element in quality assurance and quality improvement. Therefore, problem solving is a tool and technique used in the Manage Quality process.",Reserve analysisIncorrect. Reserve analysis is a technique used to determine the amount of contingency and management reserves needed for the project. The PMBOK® Guide does not include reserve analysis among the tools and techniques used in the Manage Quality process.,MeetingsIncorrect. The PMBOK® Guide does not include meetings among the tools and techniques used in the Manage Quality process.
53,Which of the following is not a tool or technique of the Develop Team process?,,Team-building activities,Virtual teams,Training,Resource optimization,D,"Develop Team is the process of improving the competencies, team interaction, and the overall team environment. Correct Answer: D","Develop Team is the process of improving competences, team member interaction, and overall team environment to enhance project performance. It has the following eight tools and techniques: ● Colocation ● Virtual teams ● Communication technology (shared portal, video conferencing, audio conferencing, email/chat) ● Interpersonal and team skills (conflict management, influencing, motivation, negotiation, team building) ● Recognition and rewards ● Training (competencies) --- ● Individual and team as","Team-building activitiesIncorrect. Team building activities, along with project orientation and team development, are among the meetings that serve as a tool for the Develop Team process. In addition, team building serves as an interpersonal and team skill that can be used for this process.",Virtual teamsIncorrect. Using technology to create an online team environment where the team can share digital resources and use conversation threads to discuss issues is a valid tool for the Develop Project Team process for improving interaction among remote team members.,TrainingIncorrect. Training is a tool designed to enhance the competencies of the project team members and is used to develop the team.,"Resource optimizationCorrect. Resource optimization is a tool of the Develop Schedule and Control Schedule processes, not the Develop Team process."
54,Which of the following is an input to the Perform Integrated Change Control process?,,Agreements,Work performance reports,Change request status updates,Change log,B,What type of information would be required to decide as to whether to approve change requests? Correct Answer: B,"The Perform Integrated Change Control process has the following six inputs: ● Project management plan ● Project documents ● Work performance reports ● Change requests ● Enterprise environmental factors ● Organizational process assets Perform Integrated Change Control is the process of reviewing all change requests; approving changes and managing changes to deliverables, organizational process assets, project documents, and the project management plan; and communicating the decisions. ---",AgreementsIncorrect. Agreements are not inputs to the Perform Integrated Change Control process.,"Work performance reportsCorrect. Work performance reports are inputs to the Perform Integrated Change Control process. Reports of interest to the process include resource availability, schedule and cost data, and earned value reports.",Change request status updatesIncorrect. 'Change request status updates' is not a term used in the PMBOK® Guide.,"Change logIncorrect. The change log is an output, not an input of the Perform Integrated Change Control process."
55,Which of the following is not an input to the Plan Resource Management process?,,Work performance information,Organizational process assets,Requirements documentation,Enterprise environmental factors,A,"Plan Resource Management belongs to the Planning Process Group, and the resource management plan should be created before execution begins. Correct Answer: A","The Plan Resource Management process has the following five inputs: ● Project charter ● Project management plan (quality management plan and scope baseline) ● Project documents (project schedule, requirements documentation, risk register, stakeholder register) ● Enterprise environmental factors or EEFs (culture, structure, geographic distribution, existing team’s competencies and availability, and market conditions) ● Organizational process assets or OPAs (policies and procedures for human resou","Work performance informationCorrect. Work performance information is generated during the Monitoring and Controlling Process Group but only after the processes in the Executing Process Group generate work performance data. In turn, work performance information serves as input to four processes, including Manage Team, not Plan Resource Management processes.",Organizational process assetsIncorrect. Organizational process assets or OPAs influence the guidance included in the resource management plan. OPAs are inputs to the Plan Resource Management process.,Requirements documentationIncorrect. Requirements documentation is a project document that serves as an input to the Plan Resource Management process. The type and amount of resources needed may dictate how the resources should be managed.,Enterprise environmental factorsIncorrect. Enterprise environmental factors or EEFs also influence the guidance provided in the resource management plan. EEFs are inputs to the Plan Resource Management process.
56,Which of the following components of the project management plan is an input to the Plan Risk Management process?,,Scope management plan,Schedule management plan,Communications management plan,All components of the project management plan,D,Is there a subsidiary plan of the project management plan that has zero influence on the Risk Management Plan? Correct Answer: D,"In planning risk management, all approved subsidiary management plans should be taken into consideration to make the risk management plan consistent with them. The methodologies outlined in the various project management plan components might influence the Plan Risk Management process. ---","Scope management planIncorrect. The scope management plan is an input to the Plan Risk Management process. Scope definition and change are important sources of risk for projects. However, this choice is not the best option for the question asked.","Schedule management planIncorrect. The schedule management plan is an input to the Plan Risk Management process. The timing of various risk management activities must be coordinated with the rest of the project schedule. However, this choice is not the best option for the question asked.","Communications management planIncorrect. The communications management plan is an input to the Plan Risk Management process. The communication of risks and risk responses needs to be coordinated and integrated with the other project communications activities. However, this choice is not the best option for the question asked.",All components of the project management planCorrect. This statement is true. Information in the various project management plan components might influence the Plan Risk Management process.
57,"The Manage Communications process has five inputs, including: ● Project documents ● Work performance reports ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list?",,Change log,Issue log,Resource management plan,Lessons learned register,C,Which of the answers are considered project documents? Correct Answer: C,"Manage Communications is the process of ensuring timely and appropriate collection, creation, distribution, storage, retrieval, management, monitoring, and the ultimate disposition of project information. This process has the following five inputs: ● Project management plan (e.g., resource management plan) ● Project documents --- ● Work performance reports ● Enterprise environmental factors ● Organizational process assets","Change logIncorrect. The change log is used to communicate changes and approved, rejected, and deferred change requests to the impacted stakeholders. The change log is an example of project documents, which are inputs to the Manage Communications process. Project documents are already listed in the question.","Issue logIncorrect. The issue log is used to communicate information about issues to stakeholders. The issue log is an example of project documents, which are inputs to the Manage Communications process. Project documents are on the list in the question.",Resource management planCorrect. The resource management plan describes the communications that are needed for management of the team or physical resources. The resource management plan is a component of the project management plan which is an input to the Manage Communications process. The project management plan is missing from the list in the question.,Lessons learned registerIncorrect. Lessons learned earlier in the project concerning communications can be applied later in the project to improve the communication process. The lessons learned register is an example of project documents which are inputs to the Manage Communications process. Project documents are on the list in the question.
58,Which element of the project management plan is not typically updated as an output of the Conduct Procurements process?,,Communications management plan,Change management plan,Scope baseline,Procurement management plan,B,Would the Conduct Procurements process affect the organization's formal change control policy? Correct Answer: B,"Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. This process has the following six outputs: ● Selected sellers ● Agreements ● Change requests ● Project management plan updates (e.g., communications management plan, scope baseline, procurement management plan) ● Project documents updates ● Organizational process assets --- While change requests can be submitted as a result of carrying out the Conduct Procurements process, the change ","Communications management planIncorrect. As sellers are hired, the communications management plan is updated to incorporate their communications needs and approaches.","Change management planCorrect. The change management plan describes how the change control system will be implemented. The Conduct Procurements process is not likely to have any impact on this plan. Therefore, the change management plan is the correct answer.",Scope baselineIncorrect. The project WBS and deliverables documented in the scope baseline may change during the procurement process.,Procurement management planIncorrect. The contracting and negotiating processes used during procurement may result in an update to the procurement management plan.
59,"The Control Schedule process has five outputs, including: ● Schedule forecasts ● Change requests ● Project management plan updates ● Project documents updates Which of the following outputs is missing from the list?",,Work performance reports,Work performance information,Organizational process assets updates (OPAs),Budget forecasts,B,The correct answer is a common output from the controlling processes. Correct Answer: B,"The Control Schedule process has the following five outputs: ● Work performance information ● Schedule forecasts ● Change requests ● Project management plan updates --- ● Project documents updates This process is defined as ""the process of monitoring the status of the project to update the project schedule and manage changes to the schedule baseline"".","Work performance reportsIncorrect. Work performance information produced by the controlling processes is combined into a physical or electronic representation and distributed as work performance reports. Work performance reports are outputs of the Monitor and Control Project Work process, not the Control Schedule process.","Work performance informationCorrect. Work performance information is an output from the Control Schedule process and includes information on how project work is performing compared to the schedule baseline. Work performance information is the output missing from the question, and, therefore, the correct answer.",Organizational process assets updates (OPAs)Incorrect. The PMBOK® Guide does not list OPAs updates as outputs of the Control Schedule process.,"Budget forecastsIncorrect. Schedule forecasts, not budget forecasts, are outputs from the Control Schedule process."
60,Which of the following is an output of the Monitor and Control Project Work process?,,Milestone list,Enterprise environmental factors updates,Organizational process assets updates,Project documents updates,D,Forecasts are likely to change as a result of the Monitor and Control Project Work process. Correct Answer: D,"The Monitor and Control Project Work process has the following four outputs: ● Work performance reports ● Change requests ● Project management plan updates ● Project documents updates Monitor and Control Project Work is the process of tracking, reviewing, and reporting overall progress to meet the performance objectives defined in the project management plan. ---","Milestone listIncorrect. The milestone list shows the scheduled dates for specific milestones and is used to check if the planned milestones have been met. The milestone list is an input to the Monitor and Control Project Work process, not an output.",Enterprise environmental factors updatesIncorrect. Enterprise environmental factors are only updated as a result of the executing processes in Project Resource Management.,Organizational process assets updatesIncorrect. Organizational process assets updates are not outputs from the Monitor and Control Project Work process.,"Project documents updatesCorrect. Cost forecasts, issue log, lessons learned register, risk register, and schedule forecasts are all examples of project documents that may be updated as a result of the Monitor and Control Project Work process."
61,"The Define Activities process has four tools and techniques, including: ● Decomposition ● Expert judgment ● Meetings Which of the following tools and techniques is missing from the list?",,Rolling wave planning,Alternative analysis,Audits,Project management information system,A,Define Activities is the process of identifying the specific actions to be performed to produce the project deliverables but sometimes a project cannot be planned completely. Correct Answer: A,The Define Activities process has the following four tools and techniques: ● Expert judgment ● Decomposition ● Rolling wave planning --- ● Meetings,"Rolling wave planningCorrect. Rolling wave planning is an iterative planning technique in which work to be accomplished in the near term is planned in detail, while work further in the future is planned at a higher level. Rolling wave planning is a tool and technique used in the Define Activities process.",Alternative analysisIncorrect. Alternative analysis is a data analysis tool and technique used to evaluate options to select the best approach for accomplishing project work. Alternative analysis is not a tool or technique listed in the PMBOK® Guide for the Define Activities process.,AuditsIncorrect. An audit is a structured review of a process. An audit may reveal if a process is complying with organizational policies or if contracts are accurate and complete. Audits are not a tool or technique listed in the PMBOK® Guide for the Define Activities process.,"Project management information systemIncorrect. A project management information system (PMIS) consists of the tools and techniques used to gather, integrate, and disseminate the outputs of project management processes. A PMIS is not a tool or technique listed in the PMBOK® Guide for the Define Activities process."
62,"The Determine Budget process has nine inputs, including: ● Cost management plan ● Resource management plan ● Scope baseline ● Basis of estimates ● Cost estimates ● Project schedule ● Risk register ● Benefits management plan ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list?",,Agreements,Stakeholder register,Project charter,Project staff assignments,A,"The Determine Budget process aggregates the estimated costs of individual activities, vendors, or work packages to establish an authorized cost baseline. Correct Answer: A ---",The Determine Budget process has the following inputs: ● Cost management plan ● Resource management plan ● Scope baseline ● Basis of estimates ● Cost estimates ● Project schedule ● Risk register ● Benefits management plan ● Agreements ● Enterprise environmental factors ● Organizational process assets Determine Budget is the process of aggregating the estimated costs of individual activities or work packages to establish an authorized cost baseline.,AgreementsCorrect. Agreements are also inputs to the Determine Budget process.,Stakeholder registerIncorrect. The Determine Budget process does not usually affect the stakeholder register.,Project charterIncorrect. The Determine Budget process does not normally affect the project charter.,Project staff assignmentsIncorrect. 'Project staff assignments' is not a term used in the PMBOK® Guide.
63,Which of the following processes assesses the quality of risk data?,,Identify Risks,Plan Risk Responses,Perform Qualitative Risk Analysis,Perform Quantitative Risk Analysis,C,Risk data should be assessed before performing risk analysis. Correct Answer: C,"Risk data quality assessment is part of the Perform Qualitative Risk Analysis process to evaluate risk data in terms of the accuracy, reliability, and integrity. It is very important because low-quality risk data may lead to poor qualitative risk analysis and subsequent response planning. An evaluation of the quality of the risk data also helps to clarify the assessment of each risk's importance to the project.",Identify RisksIncorrect. The Identify Risks process focuses on identifying potential project threats and opportunities but does not assess risk data quality.,"Plan Risk ResponsesIncorrect. The Plan Risk Response process determines how risk management (and all the other risk-related processes) will be conducted, but it does not assess the quality of risk data.",Perform Qualitative Risk AnalysisCorrect. The Perform Qualitative Risk Analysis process includes assessing the quality of risk data to ensure it is reliable and good for use.,"Perform Quantitative Risk AnalysisIncorrect. Quantitative risk analysis is focused on the numerical analysis of the combined effect of risks, and not on the quality of risk data."
64,Which of the following is a tool or technique of the Control Scope process?,,Work performance information,Audits,Inspection,Variance analysis,D,Control Scope is the process of monitoring the status of the project and product scope and managing changes to the Scope Baseline. Correct Answer: D,"The Control Scope process is where the status of the project is monitored. It is also where the product scope and changes to the scope baseline are managed. The process has only one tool and technique, data analysis, which includes variance analysis and trend analysis.",Work performance informationIncorrect. Work performance information is not a tool or technique but is instead an input of Monitor and Control Project Work process and output of many processes under the Monitoring and Controlling Process Group including the Control Scope process.,"AuditsIncorrect. For effectively executing quality activities and identifying causes of poor quality, audits are tools of the Manage Quality process, not the Control Scope process.","InspectionIncorrect. Inspection is a tool and technique for Validate Scope and other Monitoring and Controlling processes, but not for the Control Scope process, which is concerned with monitoring the status of the project and product scope and managing changes to the scope baseline, which involves analysis of work performance data instead of involving inspection of deliverables.",Variance analysisCorrect. Variance analysis is a data analysis tool used in the Control Scope process to compare the baseline to the actual results and determine if the variance is within the threshold amount or if corrective or preventive action is appropriate.
65,Which of the following is not an input to the Develop Project Management Plan process?,,Project charter,Organizational process assets,Work performance reports,Outputs from other processes,C,The Develop Project Management Plan process is in the Planning Process Group. Correct Answer: C,"The Develop Project Management Plan process has the following four inputs: ● Project charter ● Outputs from other processes ● Enterprise environmental factors ● Organizational process assets It is in this process where all plan components are defined, prepared, coordinated, and consolidated into an integrated project management plan. ---","Project charterIncorrect. The project team uses the project charter as a starting point for initial project planning. Therefore, the project charter is an input to the Develop Project Management Plan process.","Organizational process assetsIncorrect. Historical information, lessons learned repository, and project management plan templates are examples of organizational process assets that may be used as inputs to the Develop Project Management Plan process.","Work performance reportsCorrect. Work performance reports are inputs to the Perform Integrated Change Control process but not the Develop Project Management Plan process. Therefore, 'work performance reports' is the correct answer to the question asked.",Outputs from other processesIncorrect. Outputs from other processes are integrated to create the project management plan. Subsidiary plans and baselines that are outputs from other planning processes are inputs to the Develop Project Management Plan process.
66,Which of the following is not a tool or technique used in the Define Activities process?,,Bottom-up estimating,Decomposition,Rolling wave planning,Expert judgment,A,The correct answer is a tool or technique used after the Define Activities process is complete. Correct Answer: A,The Define Activities process has the following four tools and techniques: ● Expert judgment ● Decomposition ● Rolling wave planning ● Meetings,"Bottom-up estimatingCorrect. Bottom-up estimating is used to estimate activity costs and the resources required to execute an activity, which happens 'after' activities are defined.",DecompositionIncorrect. Decomposition is a technique used in the Define Activities process to divide or subdivide the project scope and project deliverables into smaller more manageable parts.,"Rolling wave planningIncorrect. Rolling wave planning is a technique used in the Define Activities process where the work to be accomplished in the near-term is planned in detail, while the work in the future is planned at a higher level.","Expert judgmentIncorrect. Expert judgment is a technique used in the Define Activities process where project team members or other experts, who are experienced and skilled in developing detailed project scope statements, the WBS, and project schedules, can provide expertise in defining activities."
67,"The Manage Stakeholder Engagement process has three outputs, including: ● Change requests ● Project documents updates Which of the following outputs is missing from the list?",,Project management plan updates,Work performance information,Meetings,Milestone list,A,What major artifacts from this process help guide it and will typically be updated during execution? Correct Answer: A,"Manage Stakeholder Engagement is the process of communicating and working with stakeholders to meet their needs and expectations, address issues, and foster appropriate stakeholder involvement. The Manage Stakeholder Engagement process has three outputs, including: ● Change requests ● Project management plan updates (e.g., the communications plan, the stakeholder engagement plan) --- ● Project document updates (including the change log, the issue log, the lessons learned register, and the stakeh",Project management plan updatesCorrect. Two components of the project management plan are updated during the Manage Stakeholder engagement process: the communications management plan and the stakeholder engagement plan.,Work performance informationIncorrect. Work performance information is not an output of the Manage Stakeholder Engagement process.,"MeetingsIncorrect. Although this process may involve a variety of meetings, a meeting is a technique, not an output.",Milestone listIncorrect. Milestone lists are outputs of the Define Activities process. Milestone lists are not outputs of the Manage Stakeholder Engagement process.
68,One of the project management processes results in only one output. This output specifies the level of precision. What output is that?,,Stakeholder engagement plan,Schedule management plan,Project management plan,Cost management plan,D,Think of the process in which stakeholders want to see the most precision. Correct Answer: D,"Level of precision is defined in the cost management plan. An important distinction should be noted. The 'level of precision' is the degree to which cost estimates will be rounded up or down (e.g., $9,995.59 to $10,000), based on the scope of the activities and magnitude of the project. The 'level of accuracy' is the acceptable range (e.g., 10%) used in determining realistic cost estimates is specified and may include an amount for contingencies. ---","Stakeholder engagement planIncorrect. The Plan Stakeholder Engagement process only has one output, which is the stakeholder engagement plan. However, this plan does not include the level of precision.","Schedule management planIncorrect. The Plan Schedule Management process only has one output, which is the schedule management plan. The schedule management plan only has one output but does not include the level of precision.","Project management planIncorrect. The Develop Project Management Plan process has only one output, but the project management plan does not include the level of precision.","Cost management planCorrect. The cost management plan includes the level of precision along with other key attributes, such as level of accuracy, units of measure, and control thresholds. The cost management plan is the sole output of the Plan Cost Management process."
69,"If change requests can occur throughout a project but must be approved by the change control board, all of the following are true except?",,Change requests are outputs of many processes of the Executing Process Group and Monitoring,"New change requests are inputs to the Perform Integrated Change Control process, while","New change requests are inputs to the Direct and Manage Project Work, while approved change","Approved change requests are inputs to three processes: Direct and Manage Project Work,",C,"There is only one process, where approved change requests are outputs and only three processes where those approved change requests are inputs. Remember, you are looking for the false statement that is the exception. Correct Answer: C","Many processes produce change requests as outputs, but only the Perform Integrated Change Control process has change requests as inputs. Likewise, only the Perform Integrated Change Control process has approved change requests as outputs. Approved change requests are inputs --- to the Direct and Manage Project Work, Control Quality, and Control Procurements processes. During the Direct and Manage Project Work process, approved changes are implemented, and during the Control Quality and Control P",Change requests are outputs of many processes of the Executing Process Group andMonitoring and Controlling Process Group. Incorrect. This statement is true. Carrying out processes that belong to the Executing Process Group and Monitoring and Controlling Process Group may result in change requests.,"New change requests are inputs to the Perform Integrated Change Control process, whileapproved change requests are its outputs. Incorrect. This statement is true. Perform Integrated Change Control is the only process where approved change requests are outputs. During this process, the change control board considers whether to approve change requests from other processes.","New change requests are inputs to the Direct and Manage Project Work, while approvedchange requests are outputs of this process. Correct. This statement is false. New change requests are not inputs to the Direct and Manage Project Work but are outputs. Perform Integrated Change Control is the only process where approved change requests are outputs.","Approved change requests are inputs to three processes: Direct and Manage Project Work,Control Quality, and Control Procurements. Incorrect. This statement is true. Approved change requests come to these processes from the Perform Integrated Change Control process for implementation and verification that the changes have been implemented."
70,Which of the following is an input to the Estimate Activity Durations process?,,Resource calendars,Basis of estimates,Requirements documentation,Verified deliverables,A,Estimate Activity Durations is the process of estimating the number of work periods needed to complete individual activities with estimated resources. Correct Answer: A,"The Estimate Activity Durations process has the following four inputs: ● Project management plan ● Project documents (e.g., resource calendars) ● Enterprise environmental factors ● Organizational process assets",Resource calendarsCorrect. Resource calendars specify when and how long identified project resources will be available during the project. Resource calendars are an example of the project documents that are inputs to the Estimate Activity Durations process.,Basis of estimatesIncorrect. The basis of estimates is supporting documentation providing a clear understanding of how the duration estimate was derived. The basis of estimates is an output (not an input) of the Estimate Activity Durations process.,"Requirements documentationIncorrect. Requirements documentation describes how individual requirements meet the business need for the project and is an output from the Collect Requirements process, not an input to the Estimate Activity Durations process.","Verified deliverablesIncorrect. Verified deliverables are deliverables that have been checked for correctness during the Control Quality process. Verified deliverables are inputs of the Validate Scope process, not the Estimate Activity Durations process."
71,The project has reached a stage where work is being done in seven countries. Project team members need to know in which currency they are to report their cost data. Which of the following should they reference?,,Cost baseline,Cost management plan,Cost estimates,Cost breakdown structure,B,Where would one find guidance on how to manage cost-related project processes? Correct Answer: B,"The cost management plan provides information and guidance on how the project manager and project team are to plan, structure, account, and control the project costs. The contents of the plan vary based on the needs of the particular project. The project in the scenario is operating in many countries and currencies. To align all the project documents and communications, it is important for this project's cost management plan to detail the currencies to use or not use, when, in which circumstance",Cost baselineIncorrect. The cost baseline is used as a comparison to gauge the progress and status of the project cost management. The cost baseline does not list the policies on currency denotations.,"Cost management planCorrect. The cost management plan contains information and guidance on how to best manage the cost elements and processes of the project. This includes information on the currencies and other symbols to use for reports, records, calculations, and other project management needs.",Cost estimatesIncorrect. Cost estimates are quantitative assessments of the probable costs required to complete project work. Cost estimates do not provide guidance of the currency to be used on the project. It is the cost management plan that specifies the currency in which costs are estimated during project planning and reported during execution and monitoring and controlling.,Cost breakdown structureIncorrect. 'Cost breakdown structure' is a made-up term.
72,Which of the following is often required by the buyer and should be supported by the seller to verify compliance of the seller's work processes and deliverables?,,Performance reporting,Payment systems,Inspections and audits,Seller compliance evaluations,C,What are the logical activities to verify compliance? Correct Answer: C,"Inspections and audits are tools and techniques of the Control Procurements process, which are used to verify compliance and the seller's work processes or deliverables. An inspection is a structured review of the work being performed by the seller. This may involve a simple review of the deliverables or an actual physical review of the work itself. Audits are a structured review of the procurement process. Rights and obligations related to audits should be described in the procurement contract.",Performance reportingIncorrect. Performance reporting provides management with information about how effectively the seller is achieving the contractual objectives. Performance reporting is not a --- means to verify the compliance of the seller's work processes or deliverables but rather a measure of the seller's overall performance to date.,Payment systemsIncorrect. Payment systems are used to process payments to the seller after certification of satisfactory work by an authorized person on the project team. Payment systems are not a means to verify compliance of the seller's work processes and deliverables.,Inspections and auditsCorrect. Inspections and audits are tools and techniques of Control Procurements process used to verify compliance and the seller's work processes or deliverables.,Seller compliance evaluationsIncorrect. 'Seller compliance evaluations' is a made-up term.
73,Which of the following is an output of the Monitor Communications process?,,Organizational process assets updates (OPAs),Work performance information,Team performance assessments,Work performance reports,B,Which answer is an output of many of the processes in the Monitoring and Controlling Process Group? Correct Answer: B,Monitor Communications is the process of ensuring that the information needs of the project and its stakeholders are met. It has the following four outputs: ● Work performance information ● Change requests ● Project management plan updates ● Project documents updates,"Organizational process assets updates (OPAs)Incorrect. While OPAs updates are outputs to many project management processes, the PMBOK® Guide does not include OPAs updates as an output from the Monitor Communications process.","Work performance informationCorrect. As with many of the processes in the Monitoring and Controlling Process Group, work performance information are outputs of the Monitor Communications process. ---","Team performance assessmentsIncorrect. Team performance assessments are outputs of the Develop Team process, not the Monitor Communications process.","Work performance reportsIncorrect. Work performance reports are outputs of the Monitor and Control Project Work process and an input to the Manage Communications process. However, work performance reports are not an output of the Monitor Communications process."
74,Which of the following is not an input to the Validate Scope process?,,Requirements documentation,Business case,Requirements traceability matrix,Requirements management plan,B,Validate Scope is the process of formalizing acceptance of the completed project deliverables. Correct Answer: B,"The Validate Scope process is where the completed project deliverables are formally accepted. The process has the following five inputs: ● the project management plan (especially the scope management plan, requirements management plan, and scope baseline), ● project documents (especially the lessons learned register, quality reports, requirements documentation, and requirements traceability matrix), ● verified deliverables (from the Control Quality process), and ● work performance data from the ",Requirements documentationIncorrect. The requirements documentation is one of the project documents that serve as an input to the Validate Scope process.,"Business case--- Correct. A business case is a phase gate document including an economic feasibility study, business needs and requirements, and basic scope, which often serves as the basis for authorizing the initiation of the project, not the Validate Scope process.",Requirements traceability matrixIncorrect. The requirements traceability matrix is also one of the project documents that serve as an input to the Validate Scope process.,Requirements management planIncorrect. The requirements management plan is a component of the project management plan that serves as an input to the Validate Scope process.
