No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
53,"A project manager is looking for options to execute some of the Manage Quality activities such as failure analysis, design of experiments, and quality improvement. Which of the following is the best approach for the project manager?",,Use the organization's quality assurance department,Develop a comprehensive communications management plan,Create the stakeholder engagement assessment matrix,Involve customer representatives in some of the quality activities,A,"Manage Quality is the process of translating the quality management plan into executable quality activities that incorporate the organization's quality policies into the project. Depending on the organizational structure, policies, and procedures, the project manager and project team may use the organization's quality assurance department, or other organizational functions, to execute some of those activities. Examples of the activities include but are not limited to failure analysis, design of experiments, and quality improvement. Quality assurance departments usually have cross-organizational experience in using quality tools and techniques and are a good resource for the project. Therefore, of the choices provided, using the organization's quality assurance department would be the best approach for the project manager."
54,"To test the deliverable, the team is using a testing device, which should be kept in a refrigerator. Recent test results show excellent precision; however, the accuracy varies with each test run. The project manager suspects there is a correlation between the testing results and the amount of time the device has been out of the refrigerator before testing begins. What is the best course of action for the project manager to confirm or reject her suspicions?",,Use control charts,Use a scatter diagram,Update the risk repository,Update the lessons learned register,B,"The scenario implies that the Manage Quality process is being performed. Scatter diagrams are an example of a data representation technique that can be used during this process. A scatter diagram is a graph that tracks two variables to determine their relationship. The scatter diagram can help decide if there is a relationship, or correlation, between the testing results and the amount of time the testing device has been out of the refrigerator. For example, the project manager can plot the dependent variable, the results, on the y-axis of a graph and the independent variable, the amount of time the testing device has been out of the refrigerator, on the x-axis. The graph will reveal either a positive correlation, a negative correlation, or no correlation between the two variables. If the scatter diagram shows any relationship between the testing results and the time the testing device has been out of the refrigerator, the information can be used to improve the process of testing with the device. Therefore, using a scatter diagram is the best answer to the question asked."
55,"As a project manager, you are planning the kick-off meeting for your current project. A project team member is assisting you with the arrangements for the meeting and asks you to describe the purpose of the meeting. Which of the following is least likely to be correct in response to the team member's question?",,Communicate the project objectives to the stakeholders,Identify the key project deliverables and success criteria,Gain the commitment of the stakeholders for the project,Explain the roles and responsibilities of key stakeholders,B,"The purpose of the project kick-off meeting is to communicate the objectives of the project, gain the commitment of the project team for the project, and explain the roles and responsibilities of each stakeholder. Each of these points is captured by the incorrect answer choices. However, the question is asking to select a response that is the 'least' likely to describe the purpose of the project kick-off meeting. The identification of the key project deliverables and success criteria happens during a meeting to develop the project charter rather than a project kick-off meeting, making the identification of the key project deliverables and success criteria the best answer to the question asked."
56,"During project planning, the project team rigorously defined the project scope. During project execution, a senior engineer calls the project manager and suggests a simpler and more efficient design which could benefit the project. What should the project manager do next?",,"Nothing, no changes are needed since the project scope was rigorously defined",Discuss the change with the project sponsor,Evaluate the impact of the proposed change on the project constraints,Ask that the engineer submit a change request,D,"A change request is a document to record an adjustment to project scope, schedule, cost, etc. Changes may include corrective action, preventive action, or defect repair, among others. The engineer is proposing what she believes to be a valid design change which can be further evaluated by the change control board. Although changes may be initiated verbally, they should be recorded in written form and entered into the change management and/or configuration management system. Thus, of the available choices, asking the engineer to create and submit a change request is what the project manager should do next, and is, therefore, the best answer to the question asked. One may argue that evaluating the change should come before submitting the change request. We had an extensive debate on the subject of change requests in general and on this question in particular. The reason being is that the PMBOK® Guide does not do a good job in explaining the exact process in detail. We have discussed this process among our team of certified project management professionals and have concluded that the first thing that should be done when a change is requested on a project is the physical creation of the change request, a document if you wish, filling out a form. Otherwise, on what basis would a project manager and the project team spend time evaluating a request that is not even documented?"
57,A project manager is working on a plan for how the project team will acquire goods and services from outside of the organization for an infrastructure development project. The project manager is seeking guidance on what type of contracts can be used on the project. What is the best course of action for the project manager?,,Review the procurement management plan,Check the lessons learned repository,Search for the information on the Internet,Research the organizational process assets,D,"The question implies that the project manager is conducting the Plan Procurement Management process and developing the procurement management plan. The procurement management plan is a component of the project or program management plan that describes how a project team will acquire goods and services from outside of the performing organization. Organizational process assets are one of the inputs into the Plan Procurement Management process. The organizational process assets serve as a source of information on formal procurement policies and procedures as well as approved contract types. Therefore, of the available choices, researching the organizational process assets is the best course of action in this scenario."
58,"You are planning a project, where you need several external contractors to complete the project deliverables. In past projects, internal developers have had disruptive personality conflicts with contractors. Therefore, before making any long-term commitments, you want to ensure that the contractors are a good fit for your corporate culture and work well with the internal team. What is your best course of action?",,Send potential contractors to team building workshops,Conduct a trial engagement with several potential contractors for initial deliverables,Cover the team charter with the contractors before engaging their services,Organize a meet and greet with potential contractors and the development team,B,"The question suggests that you are developing the procurement management plan as part of the Plan Procurement Management process. Trial engagements are one of the trends and emerging practices in procurement management. Conducting a trial engagement will involve several candidate sellers for initial deliverables and work products on a paid basis before making the full commitment to a larger portion of the project scope. This engagement may help accelerate momentum by allowing the buyer to evaluate potential providers, while simultaneously making progress on project work. The incorrect answer choices are all good ideas that should be incorporated into the procurement management plan. However, prospective PMP aspirants should always select the 'best' answer among the available options. Conducting a trial engagement is the best course of action in this scenario."
59,"While developing a project charter, the project manager recommends using seasoned team members from key functional areas to assist them in their efforts. She relays to the project sponsor that input from the seasoned team members would be critical in developing the project charter. Which of the following best matches the tool or technique that the project manager describes as critical?",,Analytical techniques,Project management information system,Expert judgment,Meetings,C,"In this question, the project manager recommends using seasoned or experienced team members to utilize their expertise in their particular areas to assist in the development of the project charter. The implication is that expert judgment from experienced staff in key areas would be beneficial to the process of developing the project charter. Expert judgment is defined as judgment provided based on a group or person's expertise in a particular application area, knowledge area, industry, etc. The group or individual expertise provided can be based on special education, knowledge, skill, training, or experience. Project managers frequently rely on expert judgment in many project processes to aid in the success of the project. Expert judgment along with meetings, interpersonal and team skills, and data gathering are all tools and techniques used in the Develop Project Charter process."
60,"A project manager has just completed the development of the quality management plan and determined quality metrics. During this process, the project manager and team identified numerous quality requirements and standards for the project and its deliverables. Which of the following would be the most likely outcome of this process?",,Updates to the requirements traceability matrix,Test and evaluation documents,Determination of the optimal cost of quality,Project team assignments,A,"In the scenario, the project manager and team identified numerous quality requirements and standards for the project and its deliverables. Identifying quality requirements and/or standards for the project and its deliverables is one of the main goals of the Plan Quality Management process. The quality management plan and quality metrics are among the outputs of this process. According to the scenario, the plan and the metrics have been produced. Other outputs of this process include project document updates, such as the requirements traceability matrix, which is updated with quality requirements that are determined during the Plan Quality Management process implied by the scenario. Therefore, of the available choices, updates to the requirements traceability matrix are the most likely outcome of the process described by the scenario and, thus, the best answer to the question asked."
61,"A project manager and team are assigned to a website development project. This project will be relatively small, so the same team members will perform the planning and execution of the project. When is the best time to conduct a project kick-off meeting in this scenario?",,Shortly after project initiation has been completed,Right before project execution begins,As part of pre-project work,During project execution,A,"The question describes a relatively small project where the same team members will perform project planning as well as execution. For small projects, there is usually only one team that performs the planning and the execution. In this case, the kick-off meeting occurs shortly after initiation, in the Planning Process Group, because the team is involved in planning. Therefore, of the available choices, conducting the kick-off meeting just after project initiation is the best answer to the question asked."
62,"You and your project team are developing approaches to involve project stakeholders based on their needs, expectations, interests, and potential impact on the project. To help you with this process, you have asked a team member to create a stakeholder engagement assessment matrix. The project team member states that he has never produced a stakeholder engagement assessment matrix and asks you where to find the stakeholder classifications. How should you respond?",,Conduct interviews with the identified stakeholders to determine their engagement levels,Perform stakeholder analysis to determine the stakeholder classification levels,Initial classification information can be obtained from the stakeholder engagement plan,Check the stakeholder register for the initial classification information,D,"The question implies that the Plan Stakeholder Engagement process is underway, and the stakeholder engagement assessment matrix is a data representation technique that may be used during this process. Stakeholder analysis is performed during the Identify Stakeholders process before project planning, and this process identifies stakeholders along with relevant information including the stakeholders' levels of support for the project. This information is then captured in the stakeholder register which is used as one of the inputs into the Plan Stakeholder Engagement process. Therefore, the project manager should advise the team member to check the stakeholder register for the initial classification information."
63,You are satisfied with the vendor's deliverables and have sent the vendor the formal written notice that the contract has been completed. Which of the following would not be updated during this process?,,Procurement file,Risk report,Seller performance evaluation documentation,Lessons learned register,B,"In this scenario, you have closed the procurements with the vendor; therefore, you are in the Control Procurements process. The question is asking you to evaluate the answers to determine which activity is 'not' performed during Control Procurements. Updating the procurement file, updating the lessons learned register, and completing seller performance evaluation documentation are all activities that can be performed during the Control Procurements process making all three of these answer choices incorrect. The risk report, however, is not updated as part of carrying out the Control Procurements process making the risk report the correct answer."
64,One of your contractors is not performing to the agreed-upon standards. You want to terminate the contract and engage another contractor for the same job. You need to determine the specific legal procedure for the early termination of the contract. What should you do?,,Check the procurement management plan,Look at the scope statement,Review the risk register,Consult the contract,D,"The contract is the document you would refer to in order to understand the early termination procedure. A contract is a mutually binding agreement that obligates the seller to provide the specified deliverable. It constitutes a legal relationship. The early termination of a contract is a special case of the Control Procurements process that can result from an agreement by both parties, from the default of one party, or for the convenience of the buyer if provided for in the contract. The rights and responsibilities of the parties in the event of an early termination are contained in the termination clause of the contract."
65,A project manager is planning a project to build a new apartment complex on the site of a long- abandoned airport that was closed due to illegal dumping of fuel and oil. The project manager will need to provide a regulatory agency with a detailed explanation of how the cleanup will be performed before a permit can be issued. What would be the most appropriate bid document to send to potential vendors for the environmental cleanup?,,Request for information (RFI),Request for advisement (RFA),Request for proposal (RFP),Request for quotation (RFQ),C,"The scenario implies the project manager is carrying out the Plan Procurement Management process. Bid documents are among the outputs of this process. Bid documents are used to solicit proposals from the prospective sellers. An RFP is used when there is a problem in the project, and the solution is not easy to determine. This type of bid document is the most formal and has strict procurement rules for content, timeline, and seller responses. Since the project manager needs a highly detailed explanation of how the seller will perform the work, the most appropriate bid document to use in this situation is an RFP."
66,An important event indicated in the milestone schedule of a project is approaching when the project manager realizes that a key stakeholder that was supposed to lead the event is on vacation. What did the project manager likely miss?,,Canceling the vacations of all stakeholders prior to the start of the project,Providing the stakeholder with the approved project charter,Signing a mutually binding agreement with the stakeholder to lead the event,Submitting a change request to update the stakeholder register,B,"The project charter is the document issued by the project initiator or sponsor that formally authorizes the existence of the project and provides the project manager with the authority to apply organizational resources to project activities. Additionally, the project charter includes high-level information about the project. The milestone schedule, as well as the roles and responsibilities of the key project stakeholders, are part of the information specified in the project charter. All identified project stakeholders should be informed of the approved project charter to ensure a common understanding of the key deliverables, milestones, and their roles and responsibilities. If the project manager provided the stakeholder with the approved project charter, the stakeholder would have seen the milestone schedule as well as her role and responsibility for the event indicated by the schedule and would unlikely have taken the vacation that coincided with the event."
67,"A project team is meeting to discuss and assess project risks that have been identified on their planned construction project. A facilitator has been brought in to lead the discussion and help the group determine which risks to prioritize based on their probability and potential impact. During the discussion, the group identifies additional risks and assigns risk owners to all identified risks. What technique is being employed in this scenario?",,Risk workshop,Root cause analysis,Brainstorming,Risk identification,A,"This scenario closely describes a risk workshop - a technique used to undertake qualitative risk analysis. The purpose of a risk workshop is to review previously identified project risks, assess risk probability and impact, categorize and prioritize risks, assign risk owners, and identify additional risks. Their use of a facilitator was a hint that the project team is conducting a specialized meeting."
68,"As the project manager, you are analyzing the project schedule and discover that the project is behind schedule due to shipment delays and inclement weather. You want to bring current project performance into alignment with the original planned schedule. What is your best course of action?",,Apply resource leveling,Adjust the level of effort,Adjust the leads and lags,Apply resource smoothing,C,"Lead is the amount of time a successor activity can be advanced with respect to a predecessor activity. Lag is the amount of time a successor activity will be delayed with respect to a predecessor activity. Adjusting leads and lags is a technique that can be applied in the Control Schedule process during schedule network analysis to bring activities that are behind schedule into alignment with the plan. Therefore, of the choices provided, adjusting leads and lags is the best answer to the question asked."
69,"A project manager is planning a project for his company under a project management office (PMO) that can best be described as supportive. The company policy mandates that a change control board (CCB) must be used for all projects. A project team member shares a draft of the change management plan with the project manager, which contains the following elements: • A definition of the roles and responsibilities of the CCB • A clear description of the process for managing change on the project • Information on how seller-created changes will be processed • A list of the stakeholders that are authorized to request changes to the project What feedback might the project manager provide to the project team member regarding the draft of the change management plan?",,There is no need to specify the roles and responsibilities of the CCB since it is the,Changes can be requested by any stakeholder involved in the project and not be restricted,Vendors are responsible for producing project deliverables and are not supposed to request,There is no need to include a description of the process for managing changes since the,B,"Any stakeholder involved with the project can request a change, and no authorization is required. It would not make sense to include a list of the stakeholders that are authorized to request changes to the project. The change management plan might assign responsibility to the project manager, or another team member, for submitting change requests to the CCB to ensure the CCB is presented with all of the necessary information to render a decision. However, it is not realistic to restrict stakeholders from making requested changes and would likely be counterproductive. Of the available choices, stating that changes can be requested by any stakeholder and not be restricted to only authorized stakeholders is the most appropriate response to the team member that drafted the change management plan."
70,You are managing a project with four phases and feel the project has completed the work required to move to the next phase. What should you do next?,,Gather and record any lessons learned in that phase,Determine the stakeholder roles and responsibilities for the kick-off of the second phase,Move on to the next project phase,Gather stakeholders to compare the project and business documents with the project's,D,"A phase gate, also known as a phase review, is held at the end of a phase. During a phase review,"
71,"The sponsor asked the project manager to share the project progress and recommunicate project objectives to the stakeholders. After reviewing the communications management plan and the stakeholder engagement plan, the project manager decides that a presentation at the upcoming project status meeting would be the best way to share the information. The presentation is well received with a lot of positive feedback. What should the project manager do next?",,Update the project communications log,Update the organizational process assets,Update the communications management plan,Update the stakeholder engagement plan,B,"Organizational process assets (OPAs) are the plans, processes, policies, procedures, and knowledge bases specific to and used by the organization performing the project. Any artifact, practice, or knowledge involved in the project is considered an OPA. The scenario suggests the project is in the Manage Communications process. The communications management plan and the stakeholder engagement plan are among the inputs to this process. The project manager reviewed both plans and determined that a presentation at the upcoming project status meeting would be the best way to share the information with the stakeholders. Updates to the OPAs, including project reports and presentations, is one of the outputs from the Manage Communications process. The presentation the project manager delivered is considered an OPA. Since the presentation was a success, a lesson could be learned and used during the remainder of the project and on future projects. Therefore, the next thing the project manager should do is update the OPAs with his presentation."
72,"Your project team is located in a building that undergoes renovation. During project execution, the power goes out. You know that response plans were made in the event of a power outage which includes the use of a generator, fuel, and an uninterruptible power supply, but you cannot recall where all these items are located. What should you do next?",,Review the risk register,Read the risk management plan,Implement the agreed-upon risk response,Search any storage areas of the building for the supplies,A,"The realized risk described in the scenario should trigger the Implement Risk Responses process. One of the inputs to the Implement Risk Responses process is the risk register. The risk register records the agreed-upon risk responses for each individual risk and the nominated owners for each response plan. After reviewing the information in the risk register, you, as the project manager, should contact the risk response owner to take the appropriate action outlined in the risk register. It is reasonable to assume that if planned properly, the risk response specified in the risk register will have all the necessary details including the location of the supplies needed to provide the additional power during the outage. Therefore, of the available choices, reviewing the risk register is what you should do next in this scenario."
73,"After completing the process of developing cost estimates for the project, you provide all of the documentation to the director of finance for review. The following day, the director of finance calls you with questions on your completed work. She is looking for a range of possible estimates along with the confidence level of the final estimate, and she cannot find that information in what you submitted. What did you likely forget to produce during this process?",,Cost management plan,Three-point estimating,Cost estimates,Basis of estimates,D,"The question implies that the Estimate Costs process is being carried out. One output of the Estimate Costs process is the basis of estimates. The basis of estimates contains additional details supporting the cost estimate and may include an indication of the range of possible estimates along with the confidence level of the final estimate. In this case, the basis of estimates was most likely forgotten during the Estimate Costs process."
74,"You just received an email from your client stating that as a result of changing government regulations, the current project is being canceled. You contact your supervisor, who confirms the news and asks you to terminate the project. What should you do next?",,Release payments to your supplier,Relieve the project team from their duties,Identify lessons learned,Check the termination clause of the contract,D,"Agreements, or contracts, are an output from the Conduct Procurements process and an input to the Close Project or Phase process which is, according to the scenario described, you are going to perform. A termination clause is one of the major components of an agreement. Therefore, before closing the project, you must first review the contractual rights and obligations with regard to contract termination and fulfill these obligations. In other words, to ensure that activities required by the contract are performed when closing the project, you must understand the termination clause in the contract."
75,"A project is underway for the launch of a new tea. Before launch, the tea will be subjected to internal tests to ensure conformance to specific standards. After the initial tests are conducted, recommendations to improve both the hand-picking technique and the way the tea is delivered for processing are identified. The project manager is preparing a progress report and would like to include information about the recommendations. Where can the project manager find this information?",,Change log,Quality report,Issue log,Risk report,B,"In the scenario, the project manager is gathering information for a progress report that he wants to share with the stakeholders, implying that the Manage Communications process is underway. One of the inputs to the Manage Communications process is the quality report which is an output of the Manage Quality process. The quality report contains information on quality issues and process improvements. Since the project manager wants to include the recommendations for process improvements in his progress report, he should consult the quality report."
76,"Your project team has evaluated each identified risk and assigned an estimated dollar amount or time impact to it. To determine which risks will require more detailed response plans, you ask them to compare the risks and determine which ones could most impact the project. You want the data in graph form, with the risks displayed in order from greatest to least potential impact on the project. What would be the best tool for the team to use in this case?",,Ishikawa diagram,Tornado diagram,Decision tree diagram,Bubble chart,B,"In this scenario, you are looking for a diagram that will depict the relative potential impact of each risk on project outcomes, with the risks ranked from greatest to least potential impact. A tornado diagram is the best tool to accomplish that. The other answer choices are all tools used in risk assessment or sensitivity analysis, but the tornado diagramming technique is perfectly suited for this purpose."
77,"The project is behind schedule. A team member thinks activity A needs more resources, while another wants the resources added to activity B. A third team member suggests a compromise by adding resources to both activities and recovering a week from each. The project manager ends the discussion and makes the unilateral decision to run activities D and E in parallel instead of sequentially. Which conflict management technique is the project manager using to resolve the issue?",,Force or direct,Compromise,Crashing,Fast tracking,A,"The PMBOK® Guide describes five techniques for conflict management. These techniques include withdraw/avoid, smooth/accommodate, compromise/reconcile, force/direct, and collaboration/problem solve. In this scenario, the project manager used a position of power to enforce a decision in order to resolve the conflict. Pushing one’s viewpoint at the expense of others is known as a force/direct approach. Note, force/direct conflict resolution technique is typically used to resolve an emergency. There is not enough information in the question to determine if the two weeks delay is considered an emergency. However, among the choices given, force/direct is the best answer to the question asked as it accurately describes the action taken by the project manager."
78,"You are leading a large and complex project. Due to the size and complexity of the project, you have decided that a project management team will perform most of the planning, and the remainder of the project team will be brought on when the initial planning is complete. In this scenario, when is the best time to conduct the project kick-off meeting?",,During project execution,Shortly after project initiation,As part of pre-project work,During initial project planning,A,"The question describes a large and complex project. In large projects, a project management team normally does the majority of the planning, and the remainder of the project team is brought on when the initial planning is complete, at the start of the development/implementation. In this instance, the kick-off meeting takes place with processes in the Execution Process Group. Therefore, of the choices provided, conducting the kick-off meeting during project execution is the best answer to the question asked."
79,The vendor selection process is underway for a natural gas pipeline project. The project manager has received numerous proposals in response to a request for proposal (RFP). He wants to ensure that the submitted proposals are complete and meet the requirements as specified in the procurement documentation provided to the prospective vendors. What tool or technique should the project manager use in this situation?,,Data analysis,Performance reviews,Audits,Inspection,A,"The question implies that the Conduct Procurements process is being performed. To evaluate the proposals of the prospective vendors during that process, a data analysis technique can be used. Proposals are evaluated to ensure they are complete and respond in full to the bid documents, procurement statement of work, source selection criteria, and any other documents that went out in the bid package. Additionally, of the available choices, only data analysis is a tool or technique used in the Conduct Procurements process."
80,"A project manager is leading a project to produce a new model of an x-ray machine. The quality assurance lead provides checklists that the team needs to use and follow at all times. Also, rigorous reviews are required at the end of each stage of the manufacturing process. What tool or technique should the project manager use to determine if project activities comply with organizational and project policies, processes, and procedures?",,Process analysis,Quality audits,Design for X (DfX),Quality reports,B,"The question implies that the Manage Quality process is being conducted. A quality audit is a tool used during the Manage Quality process to provide a structured, independent process to determine if project activities comply with organizational and project policies, processes, and procedures. Therefore, of the choices provided, the best tool or technique for the project manager to use to ensure compliance is quality audits."
81,"During a status update meeting, you provide stakeholders with a chart that tracks the work that remains to be completed against the time left in this period of the project. You point out that the actual rate at which the work is being completed is close to the ideal rate at which the work is planned to be completed. What type of chart did you show the stakeholders?",,Burndown chart,Milestone chart,Gantt chart,Project schedule network diagram,A,A burndown chart graphically depicts the work that remains to be completed versus the days in
82,"A project to develop a new online game is in execution. One key stakeholder is adamant that a feature, currently not included in the scope baseline, is added to allow the game to be played on smartphones. Another key stakeholder is just as convinced that a smartphone is too small to provide adequate gameplay experience, and, if the feature is added, she says she will no longer support the project. What is the best course of action for the project manager?",,Reject the feature since it represents scope creep,Meet with both stakeholders to negotiate a resolution,Instruct the project team to implement the feature,Reject the feature since the project is in execution,B,"The question suggests that the Manage Stakeholder Engagement process is about to be carried out. Meetings and negotiation are two of the tools and techniques associated with this process. It is not known from the question whether or not the added functionality will provide sufficient benefit warranting a change request to be submitted to update the project management plan, including the baselines. Regardless of whether or not a change request is ultimately submitted, the project manager must address the conflict between the two key stakeholders. Additionally, more information regarding the proposed changes and the objections should be gathered before submitting the change request, thus supporting the need for the meeting between the project manager and the stakeholders. Therefore, of the available choices, the next logical step is to meet with the stakeholders to better understand their positions and negotiate a resolution to mitigate any negative effects on stakeholder engagement."
83,A project manager has just presented the project management plan at a meeting to the project sponsor and other stakeholders who have signed off on the plan. What should the project manager do next?,,Develop the project schedule,Have the project sponsor approve the project charter,Acquire the necessary resources for the project,Request approval from the project sponsor to proceed with project execution,C,"The Project Management Professional (PMP)® Examination Content Outline contains a list of tasks for each domain, with which PMP aspirants are expected to be familiar. Task #11 of the planning domain states, ""Present the project management plan to the relevant stakeholders according to applicable policies and procedures in order to obtain approval to proceed with project execution."" Of the available choices, only acquiring project resources is part of project execution, making this the correct answer."
84,"You are leading a project to build a bridge that will span a deep gorge. You require the use of safety harnesses which are tethered to the structure during construction. However, you are concerned that these efforts may not be enough to ensure the safety of the crew. Therefore, you take action by having a net secured under the bridge as an additional safety measure. What best describes the action you have taken in this scenario?",,A preventive action to protect the workers,A corrective action to ensure safety,A defect repair to fix the safety systems,A reactive measure to prevent a tragedy,A,"Preventive action is an intentional activity that ensures the future performance of the project work is aligned with the project management plan. Preventive action is distinguished from a corrective action in that a problem is identified ‘before’ it occurs and steps are taken proactively to avoid the problem from occurring. In this scenario, the safety issue is proactively addressed before an accident occurs. Therefore, the action taken in this scenario is best described as a preventive action."
85,"Approximately halfway through your project, a team member accidentally deleted computer files representing hundreds of hours of work. You want to ensure this situation does not recur on the project. Where should you capture the knowledge gained by recording the impact, recommendations, and proposed actions associated with this situation?",,Lessons learned register,Lessons learned repository,Lessons learned log,Risk register,A,"The question suggests that the Manage Project Knowledge process is being performed. One output of the Manage Project Knowledge process is the lessons learned register. The lessons learned register is a project document used to record knowledge gained during a project so that it can be utilized in the current project. At the end of the project or phase, the information is transferred to an organizational process asset called the lessons learned repository. The knowledge gained during the project should be captured in the lessons learned register."
86,"A project manager is leading the development of a new car model. During testing, it is discovered that the power seats failed before 1,000 cycles, which is an unacceptable failure rate. The problem is traced to an interference issue with the wiring harness and the seat rail. The wiring diagram is updated to reroute the wiring harness to avoid the interference issue for the production cars and prevent it from occurring in the future. What best describes the measure taken to solve the problem in this scenario?",,A preventive action was performed,A corrective action was taken,The defect was repaired,A component was replaced,B,"Corrective action is an intentional activity that realigns the performance of the project work with the project management plan. In this scenario, the problem of interference between the power seat wiring harness and seat rail was identified after a failure occurred and steps were taken to prevent the problem from happening in the future. The action of updating the wiring harness diagram to prevent the failure from occurring in the future is best described as a corrective action. It is important for PMP aspirants to understand the difference between corrective action and preventive action. The fundamental difference between a corrective and preventive action is in how the problem is identified. If the problem is proactively identified 'before' the problem even occurs, then the action taken to avoid the problem from occurring in the future is a preventive action. However, if the problem is discovered after the fact, like the example of the power seat failure, then the action taken to avoid the issue from recurring in the future is considered a corrective action."
87,"A team member is comparing one of the project deliverables, a web user interface, to the scope baseline to determine if there is any variance in the actual results. The team member encounters a function named ‘customer detail print’ and wants to understand where this requirement came from. What should the team member review to understand the origin of this requirement?",,Scope management plan,Scope baseline,Configuration management plan,Requirements traceability matrix,D,"Based on the scenario described, the project is in the Control Scope process, and the requirements traceability matrix is an input to this process. The requirements traceability matrix is a grid that links product requirements from their origin to the deliverables that satisfy them. Therefore, reviewing the requirements traceability matrix would allow the team member to understand where the ‘customer detail print’ function came from, making the requirements traceability matrix the best answer to the question asked."
88,"You and appropriate stakeholders have conducted the project benefit analysis and developed the business case for a project to build a new robotic production line. The business case indicates that the total cost of the project will be $150,000 including installation and setup, and the cost savings are expected to be $40,000 annually. What can be said about this project?",,"The $150,000 investment is considered a sunk cost at this point in the project",The opportunity cost is too high to continue with this project,The robot will pay for itself within three years,The payback period is 45 months,D,"Payback period is the time it takes for the organization to earn back the initial investment (in terms of monetary cost) to the project and begin making profits. In this case, the $150,000 investment divided by the cost savings of $40,000 annually is 3.75 years or 45 months. Therefore, the payback period is 45 months, and the only correct answer among the available choices. While the topic of this question is just briefly mentioned in the PMBOK® Guide, the Project Management Professional (PMP)® Examination Content Outline, June 2015, covers knowledge and skills with which PMP aspirants are expected to be familiar. Project finance principles are among these knowledge and skills."
89,"The sponsor has signed the project charter, and you have been assigned to manage the project. Several employees have already been selected for the project team, and you have not worked with any of them on previous projects. Which of the following will help build relationships between the team members",,Creating an issue log,Colocation,Team performance assessments,Observation and conversation,B,"Building relationships between the team members is an important part of team development, and a cohesive team will enhance the project's performance. Many of your team members have been pre-assigned enabling you to begin team building early in the project. Placing the team in the same room, hence colocating, allows the team to build relationships with each other and develop a sense of community. While colocation is not always feasible, of the choices provided, it is the best answer to the question asked."
90,A project manager is in the process of selecting vendors for her project. She wants to ensure that individual vendors do not receive preferential treatment and that everyone has a clear and shared understanding of the procurement. What tool or technique will best address the project manager's need,,Advertising,Prequalified seller lists,Pre-bid conferences,Procurement management plan,C,"Selecting vendors for a project implies the project manager is in the Conduct Procurements process. Bidder conferences are one of the tools and techniques of this process. Bidder conferences are also known as contractor conferences, vendor conferences, and pre-bid conferences, are meetings between the buyer and prospective sellers prior to proposal submittal. They are used to ensure that all prospective bidders have a clear and common understanding of the procurement, and no bidders receive preferential treatment."
