No,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Hint,Explanation,Details for Answer A,Details for Answer B,Details for Answer C,Details for Answer D
45,"As a project manager for a small company, you have been responsible for negotiating and issuing contracts. Although your company has pre-qualified vendors, and the agreements are standard, you think the procurements should be handled by someone with more knowledge on the subject rather than the project managers. Which of the following will you recommend?",Decentralized purchasing,Centralized purchasing,Pre-qualified vendors,Supply chain management,B,The project manager wants to recommend a separate purchasing department.,"For smaller organizations or startup companies and those without a purchasing, contracting, or procurement department, the project manager may assume the purchasing authority role to --- negotiate and sign contracts directly. This is called decentralized purchasing and is the situation described in the scenario. More mature organizations have a separate department responsible for the actual procurement and contracting functions which is referred to as centralized purchasing. Even though the orga","Decentralized purchasingIncorrect. In a company using decentralized purchasing, there is no purchasing, contracting, or procurement department. The project manager may assume the purchasing authority to negotiate and sign contracts directly. This is the type of environment described in the scenario; therefore, it would not be an improvement, nor a change.","Centralized purchasingCorrect. In a centralized purchasing environment, the actual procurement and contracting functions are carried out by a separate department with the specific role and authority to purchase, negotiate, and sign contracts. Project managers would not be responsible for conducting procurements in this type of organizational structure.","Pre-qualified vendorsIncorrect. The company already uses pre-qualified vendors as described in the scenario. Therefore, this would not be the change you are seeking.","Supply chain managementIncorrect. Supply chain management is an emerging practice in procurement management responding to the global nature of projects and the use of international suppliers. In this scenario, there is no mention of foreign suppliers. You want someone instead of the project manager to conduct procurements. Therefore, this is not a correct answer."
46,"One of the key deliverables on a project has been found to contain a defect, and it does not meet the project requirements. To scrap the deliverable and replace it would cost $12,000 and take five days to complete. To repair the defect would cost $4,000 and take two days to complete. What should the project manager do first?",Submit a change request,Repair the defective deliverable as it will have the least impact on the budget and schedule,Consult with the project sponsor,Scrap and replace the defective deliverable as it will increase customer satisfaction,A,--- Which output of the Direct and Manage Project Work process would be applicable in this scenario?,"In this scenario, a key deliverable does not meet project requirements. Whether the deliverable is replaced or repaired, a change request is required. In the scenario provided, only cost and schedule constraints have been analyzed so far. Additional project aspects, such as risk, quality, customer satisfaction, etc. should be considered to render a decision. Therefore, in this situation, of the choices provided, a change request should be submitted first to conduct further analysis and assess th","Submit a change requestCorrect. If the deliverable is replaced, a change request is required. If the deliverable is repaired, the change request may be required depending on the change management process defined for the project. Since there is no answer choice that makes this differentiation, of the available options, submitting a change request is the best answer to the question asked.","Repair the defective deliverable as it will have the least impact on the budget and scheduleIncorrect. Regardless of what action, either a replacement or a repair of the deliverable, has the least impact on the budget and schedule, the action cannot be approved without submitting a change request first and assessing the impacts of the change on all project constraints.","Consult with the project sponsorIncorrect. There is not enough information in the question suggesting that the involvement of the project sponsor is required. Therefore, consulting with the project sponsor is not the first thing the project manager should do.","Scrap and replace the defective deliverable as it will increase customer satisfactionIncorrect. There is not enough information in the question to determine whether or not the replacement deliverable will increase customer satisfaction. Regardless of what action, either a replacement or a repair of the deliverable, will increase customer satisfaction, the action cannot be approved without submitti"
47,"The project you are leading is in planning, and you know that some of the stakeholders are unsupportive. What is your best course of action to increase the support of these stakeholders?",Perform a communication styles assessment,Remove the unsupportive stakeholders from the project,Escalate the issue to the project sponsor,Update the stakeholder engagement assessment matrix,A,Understanding the way people interact and share information will likely improve your ability to influence non-supportive stakeholders.,"According to the scenario, the project is in planning. A communication styles assessment is one of the tools and techniques that can be employed as part of the Plan Communications Management process. Often used with unsupportive stakeholders, a communication styles assessment may follow a stakeholder's engagement assessment to identify gaps in stakeholder engagement. As a result, communications can be tailored to the stakeholders' preferences. The adjustment in communications can lead to more po","Perform a communication styles assessmentCorrect. A communication styles assessment is a technique that used to assess communication styles and identify the preferred communication method, format, and content for planned communication activities. By understanding the stakeholders' communication styles, you can tailor project communications to meet the needs of the unsupportive stakeholders and hop","Remove the unsupportive stakeholders from the projectIncorrect. This action seems neither reasonable nor realistic. It is unlikely that the project manager has the authority to 'remove' stakeholders from the project. Instead of thinking about how to isolate the unsupportive stakeholders, the project manager should act towards engaging them.",Escalate the issue to the project sponsorIncorrect. The escalation to the project sponsor is premature. This action may actually have a negative effect and make the situation worse. It is the responsibility of the project manager to --- engage with the stakeholders and make the necessary efforts to increase their support of the project.,Update the stakeholder engagement assessment matrixIncorrect. A stakeholder engagement assessment matrix shows the current level of engagement by stakeholders compared with the desired level of engagement necessary for successful project completion. The question is asking about how to increase the support of the stakeholders. While the matrix should be updated to reflect the engagement level of th
48,"A_project manager presents a project status update in a steering committee weekly meeting. A senior executive who attends the meeting for the first time, asks various questions about all aspects of the project and insists on extensive changes. After the meeting, the sponsor informs the project manager that the senior executive joined the company just a few days ago. What should the project manager do first?",Ask the sponsor to increase management reserves to cover the cost of the changes requested,Update the stakeholder register and power/interest grid to account for changes in the,Instruct the project team to implement all the changes that have been requested by the senior,Look for ways to limit the senior executive's involvement since she was not involved in the,B,Record any changes or issues that arise through the course of the project.,"Part of the Monitor Stakeholder Engagement process is updating project documents. At the steering committee meeting, when the project manager presented the project update to keep the stakeholders informed, engaged, and supportive, the project manager identified the senior executive as a new stakeholder. The senior executive appears to be an interested and influential stakeholder that has joined the company just a few days ago and obviously had not been part of the project earlier during the Iden","Ask the sponsor to increase management reserves to cover the cost of the changes requestedby the executive --- Incorrect. Management reserves are used to cover the cost of unknown unknowns, which are typically associated with risks. While the changes requested by the executive may introduce new unidentified risks to the project, or even be considered unknown unknowns as by themselves, increasing m","Update the stakeholder register and power/interest grid to account for changes in thestakeholder community Correct. Based on the scenario described, the senior executive has been identified as a new stakeholder. The project manager should first add the senior executive to the stakeholder register and record his interest and influence on the project so that his expectations can be appropriately man",Instruct the project team to implement all the changes that have been requested by the seniorexecutive Incorrect. Implementing changes without submitting corresponding change requests first goes against proper project management practices.,"Look for ways to limit the senior executive's involvement since she was not involved in theinitial planning Incorrect. The project manager must monitor and manage stakeholder engagement. The project manager should be looking for ways to engage stakeholders and meet their expectations, not to limit or avoid their involvement."
49,"The project manager arranges a series of planning meetings with the functional manager, project sponsor, and key project team members to determine the type and quantity of materials and hardware needed to complete the project. They also discuss the required skill levels of each team resource to be brought to the project and the level of effort needed to complete each activity in the work packages. Which of the following documents is the project team least likely to produce as a result of these planning meetings?",Resource requirements,Project team assignments,Basis of estimates,Resource breakdown structure,B,Find three outputs of the Estimate Activity Resources process and eliminate them as incorrect answer choices.,"According to the scenario, the team is performing the Estimate Activity Resources process by holding planning meetings to determine resource needs for the project. Project team assignments, however, are a key output of the Acquire Resources process which is carried out later in the project life cycle, as part of project execution. Project team assignments is a project document that records the team members and their roles and responsibilities for the project. Recording this information can only ",Resource requirementsIncorrect. The project manager is performing the Estimate Activity Resources process by holding planning meetings to determine the resources needed for the project. Resource requirements are one of the outputs of the Estimate Activity Resources process.,"Project team assignmentsCorrect. The team is performing the Estimate Activity Resources process by holding planning meetings to determine the resources needed for the project. Project team assignments, however, are a key output of the Acquire Resources process. The project team would have to acquire the team members first, then they could record the team members and their roles and responsibilitie",Basis of estimatesIncorrect. The scenario implies that the Estimate Activity Resources process is carried out. Basis of estimates is one of the outputs of this process.,"Resource breakdown structureIncorrect. According to the scenario, the project manager is performing the Estimate Activity Resources process by holding planning meetings to determine the resources needed for the project. The resource breakdown structure is one of the outputs of this process."
50,Which statement would you use to correctly explain the tools and techniques of the Manage Communications process to your project team?,Political awareness can be useful in helping the project manager maintain stakeholder support,An organization's culture is not a factor that influences the organization's communication,Once a communication method is established with the membership of the stakeholder,Presentations should consider the needs and expectations of the audience rather than the needs,A,Effective communication should involve flexibility in methodology and awareness of an organization’s environment and should take the needs of all involved in the project into consideration. ---,"The key benefit to properly managing project communication is that it enables an efficient and effective flow of information between the project team and stakeholders. This often requires effective use of interpersonal and team skills such as political awareness to understand the power structures and relationships and how to work within them. These skills can assist project managers in properly engaging stakeholders to maintain their support throughout the project. When managing communication, a",Political awareness can be useful in helping the project manager maintain stakeholder supportthroughout a project. Correct. Political awareness involves the recognition of power relationships and the ability to work within those structures. This would include understanding the power structure of the stakeholder community on any project and fostering relationships accordingly. All of which will ass,An organization's culture is not a factor that influences the organization's communicationtechnology. Incorrect. There are several factors that influence technology within an organization including its culture and the culture's influence on how meetings and discussions are normally conducted.,"Once a communication method is established with the membership of the stakeholdercommunity, it should not be changed. Incorrect. Options for communication methods during the Manage Communications process should be flexible in the event of changes in the needs and expectations of the stakeholder community.","Presentations should consider the needs and expectations of the audience rather than the needsof the project team. Incorrect. During presentations, the audience, their needs and expectations, as well as the needs and objectives of the project and project team should be taken into account. ---"
51,"During the closure of an internal process improvement project, the project manager confirms that one of the improved processes transitioned into operations resulted in a significant improvement in that unit’s efficiency. In which of the following would the project manager record this information?",The benefits management plan,The project management plan,The final report,The business case,C,--- What document is compared with business documents created during initiation to help to determine project success?,"According to the question, the project is in the Close Project or Phase process. The final report is an output of this process and provides the summary of the project performance, including information such as the summary level description of the project or phase, scope, cost, schedule, and quality objectives, and the summary of how the final product, service or result achieved the business needs identified in the business plan. Since news of this benefit/objective was received during project cl","The benefits management planIncorrect. The benefits management plan is created before the project is initiated and is commonly referenced during the project, i.e., to identify a stakeholder such as a benefits owner, etc. This plan and business case are reviewed during and after the project closure to assess the project’s success. The plan is not modified to record benefits achieved as they are rec","The project management planIncorrect. The project management plan is created during the planning phase and describes how the project will be executed, monitored and controlled and closed. The plan can and is often updated to reflect changes in the project which are approved through change management procedures. The project management plan, however, is not updated during project closure to record b","The final reportCorrect. The final report is prepared during project closure and provides a summary of the project performance. The final product(s), services delivered, and other results are recorded and summarized to demonstrate how these accomplishments achieved the benefits and objectives described in the business case and the benefits management plan. ---","The business caseIncorrect. The business case is an economic feasibility and cost-benefit study used to identify reasons and benefits to the organization that justifies initiating the project. While the business case is used and referenced throughout the project, it is not used to record business benefits realized at project closure. These are recorded in the final report which is reviewed with th"
52,A_project manager is about to start the process of identifying quality requirements and standards for an infrastructure project. The project manager examines the project charter to gain a high- level understanding of project objectives and reviews relevant information from the available components of the project management plan. What else should the project manager do to gather inputs to the process?,Review the requirements documentation to gain an understanding of the project and product,Conduct a brainstorming session with the project team and subject matter experts to develop,Perform a cost-benefit analysis to determine if the planned quality activities are cost-effective,Update the lessons learned register with information on challenges encountered in the quality,A,What action that serves as an input to the Plan Quality Management process still needs to be completed?,"Plan Quality Management is the process of identifying quality requirements and standards for the project and its deliverables which is what is described in the scenario provided. The project charter and components of the project management plan are inputs to the Plan Quality Management process, which have already been reviewed as per the scenario. Project documents including the requirements documentation are also inputs to the Plan Quality Management process. Project management best practices i",Review the requirements documentation to gain an understanding of the project and productquality requirements --- Correct. The question suggests that the Plan Quality Management process is about to begin. Project documents including the requirements documentation are inputs to this process.,"Conduct a brainstorming session with the project team and subject matter experts to developthe quality management plan Incorrect. A brainstorming session is one of the tools and techniques of the Plan Quality Management process implied by the scenario. However, before a brainstorming session can begin, the actions related to collecting the process inputs should be completed. Then, information gain",Perform a cost-benefit analysis to determine if the planned quality activities are cost-effectiveIncorrect. One of the tools and techniques used during the Plan Quality Management process suggested by the scenario is a cost-benefit analysis. A cost-benefit analysis is used to determine if the planned quality activities are cost-effective. The question indicates that a review of project documents t,"Update the lessons learned register with information on challenges encountered in the qualityplanning process Incorrect. The question implies that the Plan Quality Management process is underway, and the project manager is still gathering the inputs for this process. It is unlikely that any lessons learned have been gained at this point in the process. Additionally, updating project documents incl"
53,"You are the project manager for a project that is in its early stages. During a meeting, your boss informs you that senior management would like you to include a particular staff member on your project team because of their necessary expertise. You have not recruited any other team members, and the project has not even been formally authorized yet. How should you handle senior management's request?",Deny the request because the project manager should be the one to acquire project resources.,"Accept the request, since identifying specific resources for the project can occur as part of the",Accept the request only after you have finished creating the project management plan.,Deny the request since you have not had an opportunity to verify that the individual has the,B,"Pre-assignment is when physical or team resources for a project are determined in advance, often as part of a competitive proposal or if the project is dependent upon the expertise of particular persons.","Pre-assignment is a formally defined tool of the Acquire Resources process. It involves identifying physical or team resources for a project in advance and is often used when a project is dependent upon the expertise of particular persons. In this scenario, senior management has requested a particular individual for the project team because of their necessary expertise. Therefore, the project manager should accept the request. Although denying the request until the project manager has had a chan","Deny the request because the project manager should be the one to acquire project resources.Incorrect. Pre-assignment may occur as part of the Acquire Resources process, even before the project management plan has been completed. Assigning resources to a project is not necessarily the sole responsibility of the project manager.","Accept the request, since identifying specific resources for the project can occur as part of theearly planning process. Correct. This scenario describes pre-assignment, which is the act of determining physical or team resources for a project in advance. This can occur during the Develop Project Charter process or other processes before the initial resource management plan has been completed.","Accept the request only after you have finished creating the project management plan.Incorrect. Pre-assignment is a technique that can be used during the initial stages of a project to identify specific resources, before the project management plan or project charter has been completed.","Deny the request since you have not had an opportunity to verify that the individual has theproper skills. Incorrect. Though there is merit to questioning whether or not a resource has the proper skills, there is nothing stated in the question that implies this would be necessary. There will be times when the project manager will need to defer to the expertise of others, such as senior management,"
54,You are selecting the appropriate contract agreement for your project. The services to be provided will be well-defined. The schedule and price will be agreed up front. You expect that there will be no significant change in the work to be performed. The contract will include criteria that you and the seller agree on that will allow the seller additional earnings for completing the project work early. What type of contract should you select?,Firm fixed price (FFP),Cost plus incentive fee (CPIF),Cost plus award fee (CPAF),Fixed price incentive fee (FPIF),D,Which contract type is based on a fixed-price and incentive amount for additional earnings?,"--- Contract types are split into two broad categories, fixed-price and cost-reimbursable. A third hybrid contract type, time and material, combines aspects of both fixed-price and cost- reimbursable. The elements described in this question point to the fixed price incentive fee (FPIF) contract as the most appropriate selection. This type of contract involves the buyer and the seller agreeing on a set price for the work to be performed at the outset of the contract and ties incentives to achievi","Firm fixed price (FFP)Incorrect. The firm fixed price (FFP), the most commonly used contract type, involves setting a fixed total price for a defined product, service, or result but does not include the incentive option described in this question.",Cost plus incentive fee (CPIF)Incorrect. The cost plus incentive fee (CPIF) contract type is used when the scope of work is expected to change significantly during the project and involves reimbursements for allowable costs for work performed by the seller versus a set price.,"Cost plus award fee (CPAF)Incorrect. The cost plus award fee (CPAF) contract type is used when the scope of work is expected to change significantly during the project and is not based on a fixed price as described in this question. Instead, it involves reimbursements for actual costs incurred for work completed and award fees are earned solely on the buyer's subjective determination of the seller","Fixed price incentive fee (FPIF)Correct. The question references elements of the fixed price incentive fee (FPIF) contract including an agreed upon or fixed price for services, no expected change in work to be performed and criteria that will allow the seller to earn additional funds or incentive. This fixed price contract type allows the buyer and seller flexibility in performance deviation, tyin"
55,"Which of the following, once approved, does not require an approved change request to be modified?",Policies or procedures in the project management plan,Contract terms,"Cost, scope, or schedule baselines",Project charter,D,Which of these project components is created early in the project and is not changed once the final version has been approved and signed? ---,"This question is tricky and counter-intuitive because the project charter once completed and signed typically does not change except under very unusual circumstances; for example, the change of a project sponsor or project manager mid-project, both of which are rare occurrences. In those instances, however, typically an addendum is added to the project charter rather than a change made to the charter. The addition reflects the change, and all project stakeholders should be informed. Before signa","Policies or procedures in the project management planIncorrect. As part of the Perform Integrated Change Control process, any changes to the project management plan require an approved change request.","Contract termsIncorrect. Changes to contract terms could impact other parts of the project such as the performance measurement baseline or project risk and needs to be considered in an integrated manner. Therefore, a change to contract terms would require an approved change request.","Cost, scope, or schedule baselinesIncorrect. Changes to any one of these baselines will most certainly impact the others. Changes need to be considered in an integrated manner and therefore would require an approved change request.","Project charterCorrect. The project charter is created as part of the Initiating Process Group at the beginning of the project. Typically, the charter is not changed once its final version has been approved and --- signed. The question asks which document would 'not' require an approved change request. Since the project charter is not a controlled document, unlike the project management plan with "
56,"On October 3rd (represented by the red line on the Gantt chart below), the project sponsor asks you to provide a progress report including the CPI for a project status meeting the following morning. You update the project schedule management tool, which produces the following chart. The method used to determine the earned value is based on percent complete. What are the project's current CPI and status?","The CPI is $650, and the project is running under planned costs.","The CPI is 0.83, and the project is running over budget.","The CPI is 1.21, and the project is running under planned costs.","The CPI is 1.0, and the project is on budget.",C,The current cost performance index (CPI) can be calculated by dividing current earned value (EV) by the current actual costs (AC).,"The current cost performance index (CPI) can be calculated by dividing the current earned value (EV) by the current actual costs (AC). Because the question is asking for the current CPI, only the activities (tasks) that should have been completed by the end of October 3rd should be considered, which are the first three activities. Since the scenario mentions that the method used to determine the earned value is based on percent complete, the earned value of a partially completed work package is ","The CPI is $650, and the project is running under planned costs.Incorrect. The cost variance (CV) can be calculated as earned value (EV) minus actual costs (AC) which is $650. However, the question is asking for the CPI and not the CV.","The CPI is 0.83, and the project is running over budget.Incorrect. The current cost performance index (CPI) can be calculated by dividing current earned value (EV) by the current actual costs (AC). If EV and AC are transposed in the formula, the result is 0.83, making this choice an incorrect answer.","The CPI is 1.21, and the project is running under planned costs.Correct. The current cost performance index (CPI) can be calculated by dividing current earned value (EV) by the current actual costs (AC). The EV is the sum of the planned work completed, which, in this case, is 100% of activity 1, 75% of activity 2, and 50% of activity 3. The AC is the sum of the costs for the first three activities","The CPI is 1.0, and the project is on budget.Incorrect. If the CPI were at 1.0, then the project would be on budget. However, when calculated correctly, the CPI is 1.21 meaning the project is currently running under planned costs."
57,"During a daily stand-up meeting, one of the programmers mentions that she had some extra time and added functionality, which was not included in the original design. She believes the customer will appreciate the added functionality. What is your best course of action?",Remove the added functionality and ensure that the project team builds the software as,Thank the programmer for the extra effort and notify the customer of the new functionality,Update the cost baseline since the project will run over budget due to the cost of adding new,"Accept the added functionality, but ask the programmer to build only what has been designed",A,--- How should scope creep be addressed?,"The extra code that was written to add the functionality should be removed from the build, and the project manager should ensure software is written as designed going forward. Adding unplanned functionality, sometimes referred to as gold plating, will increase the overall project risk. For example, there may have been a good reason the client did not want this added functionality. Perhaps the client's computer system cannot support more advanced functionality. Additionally, the added code may in","Remove the added functionality and ensure that the project team builds the software asdesigned going forward Correct. The added software code should be removed, and the project manager should ensure that the code is written as planned in the future. Removing the extra software code will reduce the overall project risk introduced with the added functionality. The project manager should control the ","Thank the programmer for the extra effort and notify the customer of the new functionalitythat has been added --- Incorrect. Adding functionality, as is described by the question, is sometimes referred to as gold plating. Gold plating should be avoided as it adds unnecessary risk to the project, and the customer may reject the deliverable since it is not built as specified in the contract.","Update the cost baseline since the project will run over budget due to the cost of adding newfunctionality Incorrect. There is not enough information in the scenario to determine if the added functionality will cause the project to run over budget. Therefore, updating the cost baseline is unlikely to be your best course of action. Additionally, an approved change request is required to modify any ","Accept the added functionality, but ask the programmer to build only what has been designedgoing forward Incorrect. This answer choice might be tempting, but this action may have unintended consequences. The client may reject the deliverables since it is not built according to the original agreement. Adding the functionality brings unnecessary risk to the project which should be avoided."
58,Your project has just begun its execution when hurricane warnings are issued for the area. The possibility of a hurricane was one of the risks identified during risk management planning. Which of the following should you review first to determine how to address this risk?,Risk register,Risk management plan,Risk audit,Risk contingency plan,A,Where are details of individual project risks documented?,"As risks are identified, they are analyzed, and responses are planned and implemented. The resulting information from each risk management process is recorded in the risk register. During execution, the risk register has the response plan for any identified risk. Therefore, the risk register would be the place to find the response to be implemented in the case of a hurricane.","Risk registerCorrect. The risk register is where the details of identified individual risks are documented. The risk details include items such as risk owners, agreed-upon responses, contingency plans, and risk triggers. In this scenario, the chance of a hurricane has been identified as a risk. Therefore, the agreed-upon risk response will be recorded in the risk register making this the correct a","Risk management planIncorrect. The risk management plan defines how risk management will be performed. Individual risks are not addressed in the plan, but rather the methods by which they will be identified and categorized. Therefore, this is not the correct answer. ---","Risk auditIncorrect. Risk audits are used to consider the effectiveness of the risk management process. In the scenario, you are looking for a project artifact that can help address the specific risk rather than consider the effectiveness of the process. Additionally, the way the question is worded, ""Which of the following should you review first"", invalidates the risk audit as the correct answer ","Risk contingency planIncorrect. A contingency plan (or fallback plan), can be developed if the selected strategy turns out not to be effective or if an accepted risk occurs. In this scenario, however, developing a contingency plan is premature as the response originally planned for this risk (if one exists) has yet to be implemented. If the response exists and is implemented, but turns out not to "
59,"You are managing a project for a customer with whom you have signed an Intellectual Property (IP) agreement requiring that the component design be unique. When the vendor to whom you outsourced the design makes a delivery, you are surprised to see that it is the same as one that the vendor had delivered to another of your clients. You review your contract with the vendor and realize that it does not include the uniqueness clause that would protect your customer's IP. Which of the following actions should you take to resolve this situation?",Include the vendor in client meetings and make them realize the importance of protecting,Use the contract change control system,Show the designs to the customer to get approval before beginning the manufacturing of the,Cancel the contract with the vendor,B,Contracts can be amended at any time by mutual consent before contract closure.,"In this scenario, you are a project manager at the company executing the project. Your contract with the customer includes specific conditions to ensure that the IP for the design is protected. You have outsourced the design work to a vendor. Unfortunately, your contract with the vendor does not specify the conditions that establish and protect the customer's IP. The vendor has done nothing wrong by submitting the previous design to your company, and nothing in the question indicates that you ha","Include the vendor in client meetings and make them realize the importance of protectingintellectual property --- Incorrect. The vendor likely understands the importance of protecting IP in general. However, in this scenario, your contract with the vendor did not include an IP clause, so they are not obligated to protect your customer's IP. Therefore, including the vendor in client meetings withou","Use the contract change control systemCorrect. The contract change control system, part of your company's enterprise environmental factors, is used to collect, track, arbitrate, and communicate changes to a contract. The design, submitted by the vendor, violates one of the IP restrictions you agreed to in the contract with your customer. You need to inform the vendor about the IP protection clause",Show the designs to the customer to get approval before beginning the manufacturing of thecomponents Incorrect. Showing the designs to the customer to get approval before beginning the manufacturing of the components is unethical; you know the designs are not unique and violate the contract with the customer.,"Cancel the contract with the vendorIncorrect. There is nothing in the scenario that indicates that the vendor is bound by an IP clause or is sharing a design that is protected by the intellectual property of another client. In the described scenario, your company failed to obtain assurance from the vendor you outsourced the design work to that your customer's design would be unique and become part"
60,"An organization has established a threshold for all projects that the expected incremental revenue must exceed costs by at least 25%. The current project is projected to have a benefit-cost ratio (BCR) of 1.75. Based on this information, what can be said about the project?","The BCR does not meet the minimum threshold established by the organization; therefore, the","The BCR meets but does not exceed the minimum threshold; therefore, the project should not",The BCR exceeds the minimum threshold and is in alignment with corporate strategy;,There is not enough information in the question to calculate the BCR and make an informed,C,The benefit-cost ratio (BCR) represents the benefits divided by the costs.,"In order to correctly answer the question, one must understand benefit-cost ratio. The benefit- cost ratio (BCR) represents the benefits divided by the costs. In this case, the benefits are the expected incremental revenues from the project, and the costs are represented by the project budget. Typically, the revenues and costs are adjusted for inflation by using the net present value (NPV), but that is not stated in the question. In this scenario, the organization has established a threshold for","The BCR does not meet the minimum threshold established by the organization; therefore, theproject should not be undertaken. Incorrect. A BCR of 1.75 means that projected revenues will exceed costs by 75% for the project. Therefore, the project's BCR exceeds the minimum threshold established by the company of 25%. Note, if the project has not yet been authorized, for example, if the project charte","The BCR meets but does not exceed the minimum threshold; therefore, the project should notbe undertaken. Incorrect. The question states that the organization has established a threshold for all projects that the expected incremental revenue must exceed costs by at least 25%. This threshold translates to a BCR of 1.25. The projected BCR of 1.75 exceeds the threshold of 1.25, so the project should n","The BCR exceeds the minimum threshold and is in alignment with corporate strategy;therefore, the project can be undertaken. Correct. The BCR of 1.75 indicates that the expected revenues from the project exceed the costs by 75%. 75% exceeds the minimum threshold of 25% established by the company.","There is not enough information in the question to calculate the BCR and make an informeddecision about the project. Incorrect. A BCR of 1.75 means that projected revenues for the project will exceed costs by 75%. Therefore, the project's BCR exceeds the minimum threshold established by the company of 25%. ---"
61,"A_request for proposal (RFP) which includes a procurement statement of work (SOW) has been prepared and forwarded to three of the prospective sellers. You have just received the last of the seller responses, and after reviewing all three responses, you see there is a 100% difference between the lowest and highest estimates. What should you do first?",Select the seller with the highest estimate,Take the seller with the highest estimate to court,Select the seller with the lowest estimate,Review the procurement statement of work,D,--- What procurement document provides sellers with the requirements for the outsourced product?,The procurement SOW is developed from the project scope baseline and describes the item of acquisition in sufficient detail to allow prospective sellers to provide an estimate for the work. A significant discrepancy between sellers' responses suggests the information furnished to them did not wholly or clearly describe the procurement item. The prospective sellers either misunderstood or failed to respond adequately to the procurement SOW. Expert judgment and data analysis can be used as tools a,"Select the seller with the highest estimateIncorrect. The large discrepancy between the estimates suggests there is something wrong with the quotes; perhaps there was not a clear understanding of the requirements by the sellers. In addition, there is not enough information provided in the question to suggest that the seller with the highest estimate is better than the other quotes. With the highes","Take the seller with the highest estimate to courtIncorrect. Taking the seller to court is an example of claims administration tools and techniques that can be used as part of the Control Procurements process to resolve contested changes between a buyer and a seller. Not only this action is extreme, but it is also premature as the scenario does not describe any conflict between the parties.","Select the seller with the lowest estimateIncorrect. The large discrepancy between the estimates suggests there is something wrong with the quotes; perhaps there was not a clear understanding of the requirements by the sellers. If the seller with the lowest estimate is chosen, it may end up costing more in the future when change orders are needed to meet the desired requirements.","Review the procurement statement of work--- Correct. Significant differences in the estimates can suggest that the procurement SOW was incomplete or that the prospective sellers did not fully understand the requirements. The procurement SOW must be clear and describe all the work the seller is required to complete. Since there is a significant discrepancy in the received seller responses, reviewin"
62,"As a project manager, you monitor resource availability and determine that a machine, which is needed for the testing is down for unscheduled maintenance, which will cause a two-day delay. To avoid the delay, you check alternatives and discover that you can swap this type of test with another activity. What tool or technique did you use?",Acquire Resources,Problem solving,Contingency reserve,Control Resources,B,What tool or technique of the Control Resources process is used to address issues?,"The question implies that the Control Resources process is underway in this scenario. Problem solving is one of the tools and techniques that can help the project manager solve problems that arise during the Control Resources process. Problem solving involves identifying the problem, defining the problem, investigating, analyzing, solving, and checking the solution. Although the question does not explicitly describe these steps, it is reasonable to assume that the project manager has applied the",Acquire ResourcesIncorrect. The question is asking for a tool or technique. Acquire Resources is a process rather than a tool or technique.,"Problem solvingCorrect. Problem solving is a set of tools and techniques that can help the project manager solve problems that arise during the Control Resources process. The project manager has identified the problem, checked alternatives, and found the solution that may resolve the problem.","Contingency reserveIncorrect. A contingency reserve represents time or money allocated in the schedule or cost baseline for known risks with active response strategies. The question states that the problem was solved by adjusting activities within the schedule rather than using the contingency reserve. Also, contingency reserve is not a tool or technique.","Control ResourcesIncorrect. The question does suggest that Control Resources is the process being performed. However, Control Resources is a process and not a tool or technique. ---"
